method	samples	SNVs	clusters	coverage	seed	ARI	RI	dist	recall	precision	inferred_clusters
DECIFER	2	100	3	200	1	0.972183689536	0.987676767677	0.00696616666667	0.982895540623	0.979902557856	3
DECIFER	2	100	3	200	10	1.0	1.0	0.00816851666667	1.0	1.0	3
DECIFER	2	100	3	200	11	1.0	1.0	0.0114211666667	1.0	1.0	3
DECIFER	2	100	3	200	12	1.0	1.0	0.00694966666667	1.0	1.0	3
DECIFER	2	100	3	200	13	0.711866003681	0.869696969697	0.006804	0.824613555291	0.798503166379	3
DECIFER	2	100	3	200	14	0.913384287129	0.961818181818	0.00590833333333	0.940344403444	0.943244910549	3
DECIFER	2	100	3	200	15	0.935969855821	0.971313131313	0.00487216666667	0.957662492546	0.957662492546	3
DECIFER	2	100	3	200	16	0.685621192824	0.85696969697	0.00484643333333	0.822474596533	0.770005595971	3
DECIFER	2	100	3	200	17	1.0	1.0	0.00914716666667	1.0	1.0	3
DECIFER	2	100	3	200	18	0.96972933186	0.986666666667	0.00869756666667	0.980852378011	0.978434996919	3
DECIFER	2	100	3	200	19	0.852002752132	0.934545454545	0.00720533333333	0.900856793146	0.900856793146	3
DECIFER	2	100	3	200	2	1.0	1.0	0.0050609	1.0	1.0	3
DECIFER	2	100	3	200	20	0.599468300989	0.821414141414	0.0114825	0.748617086663	0.719432959244	3
DECIFER	2	100	3	200	3	1.0	1.0	0.00649965	1.0	1.0	3
DECIFER	2	100	3	200	4	0.905635911639	0.958181818182	0.00631393333333	0.937766931056	0.936053593179	3
DECIFER	2	100	3	200	5	0.971835359921	0.987474747475	0.00643466666667	0.978273989137	0.984213721919	3
DECIFER	2	100	3	200	6	0.855607173725	0.934545454545	0.0123268333333	0.922894424674	0.889142857143	3
DECIFER	2	100	3	200	7	0.707358065177	0.868888888889	0.00816766666667	0.783188405797	0.830873308733	3
DECIFER	2	100	3	200	8	1.0	1.0	0.00483223166667	1.0	1.0	3
DECIFER	2	100	3	200	9	1.0	1.0	0.00635933333333	1.0	1.0	3
DECIFER	2	500	3	200	1	1.0	1.0	0.0030015	1.0	1.0	3
DECIFER	2	500	3	200	10	1.0	1.0	0.00517351666667	1.0	1.0	3
DECIFER	2	500	3	200	11	0.975861478356	0.989290581162	0.0021215	0.983784566382	0.983974513684	3
DECIFER	2	500	3	200	12	0.970830058934	0.987014028056	0.00353866666667	0.979388600292	0.981785894267	3
