k	loglikelihood	observations	parameters	BIC
1	-9318.12	10545	6	18691.8
2	-6811.64	10545	9	13706.6
3	-5626.28	10545	12	11363.7
4	-6415.58	10545	15	12970.1
5	-5371.08	10545	18	10908.9
6	-5204.67	10545	21	10603.9
7	-5075.23	10545	24	10372.8
8	-5030.65	10545	27	10311.4
9	-5032.29	10545	30	10342.5
10	-4833.28	10545	33	9972.25
11	-5008.65	10545	36	10350.8
12	-4950.08	10545	39	10261.4
13	-4873.18	10545	42	10135.4
14	-4874.66	10545	45	10166.2
15	-4788.69	10545	48	10022
16	-4793.58	10545	51	10059.6
17	-4690.47	10545	54	9881.16
18	-4690.09	10545	57	9908.19
19	-4701.66	10545	60	9959.13
20	-4678.15	10545	63	9939.9
