SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0
0	0.0019	0	0.012	0.88	0	0.11	3	0.18
1	0.0012	0	0.0068	0.95	0	0.046	3	0.18
2	0.00045	0	0.015	0.73	0	0.26	3	0.18
3	0.00062	0	0.0098	0.87	0	0.12	3	0.18
4	1.6e-05	0	0.014	0.8	0	0.19	3	0.18
5	0.0028	0	0.013	0.65	0	0.34	3	0.18
6	2.5e-05	0	0.013	0.84	0	0.15	3	0.18
7	0.00073	0	0.013	0.87	0	0.12	3	0.18
8	0.00028	0	0.011	0.92	0	0.064	3	0.18
9	0.00042	0	0.011	0.79	0	0.2	3	0.18
10	4.5e-06	0	0.016	0.61	0	0.38	3	0.18
11	0.00022	0	0.014	0.85	0	0.14	3	0.18
12	0.00024	0	0.016	0.75	0	0.23	3	0.18
13	0.00014	0	0.017	0.58	0	0.4	3	0.18
14	0	1	0	0	0	0	1	0.02
15	2.9e-05	0	0.018	0.74	0	0.24	3	0.18
16	0.00074	0	0.0094	0.94	0	0.048	3	0.18
17	0.0053	0	0.0078	0.95	0	0.041	3	0.18
18	0	1	0	0	0	0	1	0.02
19	0.0017	0	0.01	0.91	0	0.077	3	0.18
20	7.6e-05	0	0.018	0.69	0	0.29	3	0.18
21	0.0023	0	0.0089	0.94	0	0.051	3	0.18
22	5.5e-06	0	0.017	0.32	0	0.66	5	0.14
23	0.00043	0	0.016	0.71	0	0.27	3	0.18
24	0.0029	0	0.0074	0.96	0	0.031	3	0.18
25	0.002	0	0.013	0.84	0	0.15	3	0.18
26	0.0017	0	0.011	0.89	0	0.099	3	0.18
27	0	1	0	0	0	0	1	0.02
28	0.00023	0	0.015	0.79	0	0.2	3	0.18
29	0.36	0	0.00088	0.64	0	0.00056	3	0.18
30	0.0023	0	0.011	0.88	0	0.1	3	0.18
31	0.0009	0	0.014	0.8	0	0.19	3	0.18
32	0.33	0	0.00084	0.67	0	0.00044	3	0.18
33	0.00025	0	0.013	0.88	0	0.1	3	0.18
34	0.0051	0	0.012	0.84	0	0.14	3	0.18
35	0.00012	0	0.017	0.67	0	0.31	3	0.18
36	0.00012	0	0.017	0.73	0	0.25	3	0.18
37	0.00058	0	0.015	0.76	0	0.22	3	0.18
38	0.00017	0	0.014	0.88	0	0.11	3	0.18
39	0.089	0	0.0019	0.91	0	0.0018	3	0.18
40	0.0015	0	0.0062	0.98	0	0.017	3	0.18
41	9.2e-05	0	0.017	0.71	0	0.27	3	0.18
42	0.0012	0	0.012	0.86	0	0.12	3	0.18
43	5e-06	0	0.017	0.33	0	0.66	5	0.14
44	0.0093	0	0.0092	0.91	0	0.074	3	0.18
45	0.001	0	0.014	0.81	0	0.18	3	0.18
46	4e-05	0	0.017	0.8	0	0.18	3	0.18
47	0.012	0	0.005	0.97	0	0.014	3	0.18
48	0.0073	0	0.0047	0.98	0	0.011	3	0.18
49	0.0026	0	0.0094	0.93	0	0.062	3	0.18
50	0.011	0	0.0028	0.98	0	0.0029	3	0.18
51	9.4e-05	0	0.011	0.94	0	0.045	3	0.18
52	7.3e-05	0	0.018	0.56	0	0.43	3	0.18
53	0.0018	0	0.0089	0.94	0	0.048	3	0.18
54	0	1	0	0	0	0	1	0.02
55	2.1e-05	0	0.0069	0.98	0	0.01	3	0.18
56	0.00015	0	0.016	0.76	0	0.22	3	0.18
57	0.003	0	0.01	0.9	0	0.089	3	0.18
58	0.00028	0	0.012	0.9	0	0.088	3	0.18
59	0.018	0	0.0043	0.97	0	0.01	3	0.18
60	0.00039	0	0.014	0.84	0	0.14	3	0.18
61	0.0042	0	0.011	0.86	0	0.12	3	0.18
62	0	0	0.014	0.14	0	0.84	5	0.14
63	0.0039	0	0.0062	0.97	0	0.02	3	0.18
64	0.00085	0	0.0067	0.97	0	0.019	3	0.18
65	2e-06	0	0.016	0.26	0	0.72	5	0.14
66	0.0045	0	0.0074	0.95	0	0.034	3	0.18
67	2.1e-06	0	0.02	0.39	0	0.59	5	0.14
68	0.0037	0	0.01	0.91	0	0.08	3	0.18
69	0.00036	4.1e-05	0.016	0.62	0	0.37	3	0.18
70	0.0031	0	0.0069	0.96	0	0.026	3	0.18
71	0.0053	0	0.008	0.94	0	0.044	3	0.18
72	0	0	0.011	0.067	0	0.92	5	0.14
73	0.00091	1.7e-05	0.011	0.8	0	0.19	3	0.18
74	0.018	0	0.0077	0.92	0	0.051	3	0.18
75	2.4e-05	0	0.019	0.64	0	0.34	3	0.18
76	4.5e-05	0	0.017	0.79	0	0.19	3	0.18
77	0.00072	0.008	0.011	0.73	0	0.25	3	0.18
78	0.00013	0	0.017	0.69	0	0.29	3	0.18
79	0.00011	0.00025	0.017	0.49	0	0.49	5	0.14
80	0.00011	0	0.017	0.68	0	0.3	3	0.18
81	0.0073	0	0.0077	0.94	0	0.042	3	0.18
82	0.00012	0	0.017	0.67	0	0.31	3	0.18
83	5.9e-05	0	0.017	0.75	0	0.23	3	0.18
84	0.006	0	0.0064	0.96	0	0.024	3	0.18
85	0.0026	0	0.011	0.89	0	0.1	3	0.18
86	0.0039	0	0.0092	0.93	0	0.062	3	0.18
87	0.0029	0	0.0087	0.94	0	0.049	3	0.18
88	0.0046	0	0.0092	0.92	0	0.064	3	0.18
89	0.0014	0	0.009	0.88	0	0.11	3	0.18
90	0.00046	0	0.015	0.75	0	0.23	3	0.18
91	0.0002	0	0.017	0.64	0	0.35	3	0.18
92	0	3.7e-05	0.013	0.15	0	0.84	5	0.14
93	1.7e-06	0	0.019	0.36	0	0.63	5	0.14
94	0.0013	0	0.0086	0.95	0	0.041	3	0.18
95	0.0098	0	0.0039	0.98	0	0.0071	3	0.18
96	0.0014	0	0.013	0.84	0	0.14	3	0.18
97	0.0008	0	0.007	0.97	0	0.021	3	0.18
98	0.0083	0	0.0062	0.96	0	0.023	3	0.18
99	0.0013	0	0.0096	0.85	0	0.14	3	0.18
100	0.0042	0	0.0077	0.9	0	0.093	3	0.18
101	0.00019	0	0.016	0.75	0	0.23	3	0.18
102	0.0047	0	0.0068	0.96	0	0.027	3	0.18
103	0.0015	0	0.0094	0.93	0	0.056	3	0.18
104	0.0044	0	0.0089	0.93	0	0.058	3	0.18
105	4.2e-05	0	0.014	0.89	0	0.091	3	0.18
