SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	1	0	0	0	0	0	2	0.41	0.4	0.81	0.4	0.31
1	0	0	0.96	0	0.01	0.029	0	0	2	0.41	0.4	0.81	0.4	0.31
2	0	0	0	1	0	0	0	0	3	0.23	0.071	0.062	0	0
3	0	0	1	0	0	2.8e-05	0	0	2	0.41	0.4	0.81	0.4	0.31
4	0	0	0	0	0	0.024	0.98	4.3e-06	6	0.41	0.32	0.72	0.37	0.31
5	0	0	0	1	0	0	0	0	3	0.23	0.071	0.062	0	0
6	0	1	0	0	0	0	0	0	1	0.046	0.036	0.093	0.16	0.31
7	0	0	1	0	0.00075	0	0	0	2	0.41	0.4	0.81	0.4	0.31
8	0	0	0	1	0	0	0	0	3	0.23	0.071	0.062	0	0
9	1.5e-06	0	0	1	0	0	0	0	3	0.23	0.071	0.062	0	0
10	0	0	0.021	0	0.00047	0.004	0.95	0.023	6	0.41	0.32	0.72	0.37	0.31
11	0	1	0	0	0	0	0	0	1	0.046	0.036	0.093	0.16	0.31
12	7.7e-06	1	0	0	0	0	0	0	1	0.046	0.036	0.093	0.16	0.31
13	0	0	0.0045	0	6e-06	2.4e-05	1	0.00037	6	0.41	0.32	0.72	0.37	0.31
14	0	0	0	1	0	0	0	0	3	0.23	0.071	0.062	0	0
15	0	1	0	0	0	0	0	0	1	0.046	0.036	0.093	0.16	0.31
16	0	0	0	0	1	0	0	0	4	0.41	0.52	1	0.37	0.44
17	0	0	0	0	1	0	0	0	4	0.41	0.52	1	0.37	0.44
18	0	0	0	0	1	0	0	0	4	0.41	0.52	1	0.37	0.44
19	0	0	0.055	0	0	2e-05	0.94	0.00034	6	0.41	0.32	0.72	0.37	0.31
20	0	1	0	0	0	0	0	0	1	0.046	0.036	0.093	0.16	0.31
21	0	0	0.033	0	0	0.00025	0.96	0.0019	6	0.41	0.32	0.72	0.37	0.31
22	0	0	0.001	0	0	5e-06	1	0.00012	6	0.41	0.32	0.72	0.37	0.31
23	0	0	0	1	0	0	0	0	3	0.23	0.071	0.062	0	0
24	0	0	0.29	0	0.047	0.29	0.26	0.12	5	0.61	0.36	0.75	0.4	0.35
25	0	0	0.0002	0	0	2.2e-06	1	0.001	6	0.41	0.32	0.72	0.37	0.31
26	0	0	0.96	0	0.0082	3.7e-05	0.029	1.9e-06	2	0.41	0.4	0.81	0.4	0.31
27	1	0	0	0	0	0	0	0	0	0.046	0.11	0.28	0	0.034
28	0	0	2.8e-05	0	0	0.85	0.082	0.067	5	0.61	0.36	0.75	0.4	0.35
29	0	0	0	0	1	0	8.2e-06	0	4	0.41	0.52	1	0.37	0.44
30	0	0	0	0	1	0	0	0	4	0.41	0.52	1	0.37	0.44
31	0	0	1	0	0	6.3e-05	0	0	2	0.41	0.4	0.81	0.4	0.31
