SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
0	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
1	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
2	1	5.5e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
3	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
4	0.055	0.94	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
5	1	7.5e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
6	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
7	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
8	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
9	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
10	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
11	1	9.5e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
12	0.99	0.0098	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
13	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
14	0.87	0.13	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
15	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
16	0.72	0.28	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
17	1	0.00057	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
18	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
19	0.19	0.81	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
20	0.96	0.039	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
21	0.61	0.39	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
22	1	6e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
23	1	0.0021	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
24	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
25	1	0.00051	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
26	1	0.00019	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
27	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
28	0.97	0.026	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
29	0.94	0.06	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
30	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
31	0.97	0.031	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
32	0.74	0.26	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
33	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
34	1	5.1e-06	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
35	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
36	0.98	0.024	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
37	1	0.00059	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
38	0.96	0.041	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
39	0.62	0.38	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
40	0.16	0.84	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
41	0.76	0.24	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
42	1	0.0035	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
43	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
44	1	0.00028	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
45	0.098	0.9	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
46	0.52	0.48	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
47	0.97	0.03	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
48	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
49	0.99	0.005	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
50	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
51	1	2.4e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
52	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
53	1	0.001	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
54	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
55	1	8.7e-06	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
56	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
57	0.014	0.99	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
58	1	0.0047	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
59	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
60	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
61	1	0.00064	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
62	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
63	0.72	0.28	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
64	0.99	0.013	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
65	1	0.00015	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
66	1	4.2e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
67	1	9.2e-06	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
68	1	6.7e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
69	1	0.0016	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
70	0.0004	1	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
71	0.97	0.026	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
72	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
73	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
