SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.047	0.14	0.05
1	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1e-05	0.0079	0	3	0.42	0.048	0
2	0	0.00021	0.49	0	0	0	0	0.0011	0	0	0	0	0	0	0.49	0	0	0	0	0.017	2	0.58	0.43	0.45
3	1e-06	4.8e-06	0	0	0.017	0	0	1.1e-06	0.007	0	0	0.98	0	0	0	0	0	0	0	5.2e-06	11	0.63	0.55	0.82
4	2.1e-06	0.9	0.044	0	0	0	0	2.1e-05	6.3e-05	0	0	1.7e-05	0	0	0.044	0	0	0	0	0.014	1	0.58	0.62	0.45
5	0	0	2e-05	0	1	0	0	0	0	0	0	0	0	0	2e-05	0	0	0	0	1.5e-06	4	1	0.49	0.76
6	0	0	0	0	0	0	0	0	0	0	4.3e-05	0	1	0	0	0	0	0	0	0	12	0.047	0.14	0.05
7	0	0.007	0.42	0	0.088	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0.061	2	0.58	0.43	0.45
8	0	0	0	0	0	0	0	0	0	2e-05	0	0	0	0	0	0	1	0	0	0	16	0.047	0.048	0.35
9	9.3e-05	4.9e-05	0.23	0	0.52	0	0	0.0012	2.2e-06	0	0	0	0	0	0.23	0	0	0	0	0.0098	4	1	0.49	0.76
10	0	0	0	0	0	0	0	0	0	0	0.99	0	0.011	0	0	0	0	1.7e-06	0	0	10	0.14	0.24	0.05
11	0	0.042	0.45	0	0	0	0	0.00014	3e-06	0	0	0	0	0	0.45	0	0	0	0	0.059	2	0.58	0.43	0.45
12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.42	0.048	0
13	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0.36	0	0	0	9	0.047	0.063	0.46
14	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0.013	2	0.58	0.43	0.45
15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.42	0.048	0
16	0	0	0.35	0	0	0	0	0.0014	6.3e-05	0	0	0	0	0	0.35	0	0	0	0	0.29	2	0.58	0.43	0.45
17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.63	0.55	0.82
18	0	0	0	0	0	0	0	0	0	0	0.44	0	0.56	0	0	0	0	0.00056	0	0	12	0.047	0.14	0.05
