SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
0	0	0	0.0094	0.01	0.0033	0.0094	0	0.00014	0.0094	0.063	0.063	0	0.0094	0	0.69	0.063	0	0.063	0.0033	14	0.14
1	0	0	0.016	0.018	0.46	0.016	0	0	0.016	0	0	0	0.016	0	5.2e-06	0	0	0	0.46	4	0.26
2	0	0	0.042	0.047	0.39	0.042	0	0	0.042	4.1e-05	4.1e-05	0	0.042	0	0.0024	4.1e-05	0	4.1e-05	0.39	4	0.26
3	0	0	0	0	0	0	0	1	0	0.00013	0.00013	0	0	0	3.5e-06	0.00013	0	0.00013	0	7	0.058
4	0	0	0.00042	0.00047	0.5	0.00042	0	0	0.00042	0	0	0	0.00042	0	0	0	0	0	0.5	4	0.26
5	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
6	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	4	0.26
7	0	0.13	0	0	0.24	0	0.13	0	0	0	0	0.13	0	0	0	0	0.13	0	0.24	4	0.26
8	0	0	0.034	0.038	0.41	0.034	0	0	0.034	0	0	0	0.034	0	0.00021	0	0	0	0.41	4	0.26
9	0	0	0.018	0.02	0.45	0.018	0	0	0.018	0	0	0	0.018	0	1.5e-05	0	0	0	0.45	4	0.26
10	0	0	0.053	0.059	0.22	0.053	0	0.037	0.053	0.023	0.023	0	0.053	0	0.16	0.023	0	0.023	0.22	4	0.26
11	0	0	0	0	0	0	0	1	0	0.00061	0.00061	0	0	0	2.1e-05	0.00061	0	0.00061	0	7	0.058
12	0	0	0.067	0.074	0.096	0.067	0	0.0013	0.067	0.03	0.03	0	0.067	0	0.35	0.03	0	0.03	0.096	14	0.14
13	0	0	0	0	0	0	0	0.99	0	0.0019	0.0019	0	0	0	0.00012	0.0019	0	0.0019	0	7	0.058
14	0	0	0.052	0.057	0.37	0.052	0	0	0.052	0	0	0	0.052	0	8.2e-05	0	0	0	0.37	4	0.26
15	0	0	0.035	0.039	0.41	0.035	0	0	0.035	0	0	0	0.035	0	0	0	0	0	0.41	4	0.26
16	0	0	0.073	0.081	0.31	0.073	0	0	0.073	0	0	0	0.073	0	7.5e-06	0	0	0	0.31	4	0.26
17	0	0	0.069	0.076	0.31	0.069	0	8.1e-06	0.069	0.00061	0.00061	0	0.069	0	0.017	0.00061	0	0.00061	0.31	4	0.26
18	0	0	0.03	0.034	0.42	0.03	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0.42	4	0.26
19	0	0	0.026	0.029	0.43	0.026	0	0	0.026	0	0	0	0.026	0	0	0	0	0	0.43	4	0.26
20	0	0.25	0	0	0	0	0.25	1.5e-06	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
21	0	0	0	0	0	0	0	1	0	0.00011	0.00011	0	0	0	1.8e-06	0.00011	0	0.00011	0	7	0.058
22	0	0.25	0	0	0	0	0.25	4.2e-05	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
23	0	0	0.02	0.022	0.45	0.02	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0.45	4	0.26
24	0	0	7.3e-05	8.1e-05	4e-05	7.3e-05	0	0.9	7.3e-05	0.019	0.019	0	7.3e-05	0	0.026	0.019	0	0.019	4e-05	7	0.058
25	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
26	0	0	0.015	0.017	0.46	0.015	0	0	0.015	0	0	0	0.015	0	0	0	0	0	0.46	4	0.26
27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.058
28	0	0	0.056	0.062	0.36	0.056	0	0	0.056	0	0	0	0.056	0	1.3e-06	0	0	0	0.36	4	0.26
29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	1
30	0	0	1.2e-06	1.3e-06	0	1.2e-06	0	0.047	1.2e-06	0.19	0.19	0	1.2e-06	0	0.19	0.19	0	0.19	0	9	0.12
31	0	0	0	0	0	0	0	1	0	3.4e-05	3.4e-05	0	0	0	0	3.4e-05	0	3.4e-05	0	7	0.058
32	0	0	0.022	0.024	0.44	0.022	0	0	0.022	0	0	0	0.022	0	0	0	0	0	0.44	4	0.26
33	0	0	0.014	0.015	0.026	0.014	0	0.54	0.014	0.045	0.045	0	0.014	0	0.16	0.045	0	0.045	0.026	7	0.058
34	0	0	0.0011	0.0012	0.00017	0.0011	0	0.00045	0.0011	0.095	0.095	0	0.0011	0	0.61	0.095	0	0.095	0.00017	14	0.14
35	0	0	0.016	0.018	0.46	0.016	0	0	0.016	0	0	0	0.016	0	1.7e-06	0	0	0	0.46	4	0.26
36	0	0.25	0	0	0	0	0.25	0.00011	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
37	0	0	0.039	0.043	0.4	0.039	0	0	0.039	0	0	0	0.039	0	0	0	0	0	0.4	4	0.26
38	0	0	0.1	0.12	0.23	0.1	0	0	0.1	5.3e-06	5.3e-06	0	0.1	0	0.003	5.3e-06	0	5.3e-06	0.23	4	0.26
39	0	0	0.003	0.0033	0.0016	0.003	0	0.12	0.003	0.12	0.12	0	0.003	0	0.39	0.12	0	0.12	0.0016	14	0.14
40	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
41	0	0	0.069	0.076	0.32	0.069	0	0	0.069	0	0	0	0.069	0	2.8e-06	0	0	0	0.32	4	0.26
42	0	0	0.039	0.043	0.4	0.039	0	1.5e-05	0.039	0.00011	0.00011	0	0.039	7.1e-05	0.0025	0.00011	0	0.00011	0.4	4	0.26
43	0	0	0.076	0.084	0.27	0.076	0	0.00033	0.076	0.0037	0.0037	0	0.076	0	0.056	0.0037	0	0.0037	0.27	4	0.26
44	0	0	0.073	0.081	0.29	0.073	0	0.00016	0.073	0.0023	0.0023	0	0.073	0	0.039	0.0023	0	0.0023	0.29	4	0.26
45	0	0	0	0	0	0	0	1	0	0.0009	0.0009	0	0	0	6.5e-05	0.0009	0	0.0009	0	7	0.058
46	0	0	0.026	0.029	0.43	0.026	0	0	0.026	0	0	0	0.026	0	8.8e-05	0	0	0	0.43	4	0.26
47	0	0.25	0	0	0	0	0.25	2.4e-06	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
48	0	0	0.067	0.074	0.33	0.067	0	0	0.067	0	0	0	0.067	0	8.6e-05	0	0	0	0.33	4	0.26
49	0	0	0.029	0.032	0.43	0.029	0	0	0.029	0	0	0	0.029	0	1.1e-05	0	0	0	0.43	4	0.26
