SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
0	0	0	5.8e-05	0	1	3e-06	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
1	0	0	0.1	0	0.9	0.0029	0	0	0.00021	0	4	0.17	0.29	0.23	0.34	0.13	0.26
2	0	0	0.0002	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
3	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
4	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
5	0	0	0.0027	0	1	0.0013	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
6	0	0	0	0	0.00011	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
7	0	0	0.91	0	0.083	0	0	0	0.0071	0	2	0.17	0.38	0.29	0.34	0.13	0.26
8	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
9	0	4.7e-05	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
10	0	0	1.6e-05	0	1	1.3e-05	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
11	0	0	0.071	0	0.91	0.016	0	0	0.0014	0	4	0.17	0.29	0.23	0.34	0.13	0.26
12	0	0	0.0011	0	1	0.0005	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
13	0	0	0.00017	0	1	0.00041	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
14	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
15	0	0	0.014	0	0.99	0.00082	0	0	0.00054	0	4	0.17	0.29	0.23	0.34	0.13	0.26
16	0	0	0.051	0	0.93	0.02	0	0	0.00046	0	4	0.17	0.29	0.23	0.34	0.13	0.26
17	0	0	0.0015	0	0.99	0.009	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
18	0	0	0.41	0	0.53	0	0	0	0.061	0	4	0.17	0.29	0.23	0.34	0.13	0.26
19	0	0	0.76	0	0.23	0	0	0	0.014	0	2	0.17	0.38	0.29	0.34	0.13	0.26
20	0	0	3.7e-05	0	1	0.00045	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
21	0	0	0.0019	0	1	0.0023	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.058	0.087
23	0	0	0	0	1	4.4e-06	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
24	0	0	0.0029	0	1	0.0011	0	0	2.4e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
25	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
26	0	0	0.66	0	0.012	0	0	0	0.33	0	2	0.17	0.38	0.29	0.34	0.13	0.26
