SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0
0	0.97	0.0035	0	0.0024	0.0065	0.0022	0.0002	0.0037	3.5e-06	0	0	1.2e-05	0.00019	0.0088	0	0.61
1	0	0	0	0	0	0	0	0	0	0.00042	1	0	0	0	10	0.043
2	0.98	0.0042	0	0.00045	0.0028	1.6e-05	0	0.0044	0	0	0	6.1e-06	2.9e-06	0.0038	0	0.61
3	0	0	0	0	0	0	0	0	0	0.0091	0.99	0	0	0	10	0.043
4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.043
5	0	0	1	0	0	0	0	0	0	0	0.0015	0	0	0	2	0
6	0.49	0.008	0	0.00038	0.12	0.00022	2.7e-05	0.0084	0.037	3.6e-05	0	3e-06	0.16	0.17	0	0.61
7	0.57	0.00026	0	0.018	5.2e-05	0.2	0.21	0.00027	0	0	0	2.5e-05	0	7.2e-05	0	0.61
8	0.95	0.0037	0	0.00046	0.016	0.00014	2.9e-06	0.0039	0.00016	0	0	3.6e-06	0.0036	0.022	0	0.61
9	0.98	0.0016	0	0.0019	0.0031	0.0035	0.00093	0.0017	6.9e-06	0	0	7e-06	0.00027	0.0043	0	0.61
10	0.78	0.012	0	2.2e-05	0.078	0	0	0.013	3.5e-05	0	0	0	0.0046	0.11	0	0.61
11	0	0	0.92	0	0	0	0	0	0	0.00092	0.078	0	0	0	2	0
12	1	0.0005	0	0.0017	0.0001	0.00048	2.2e-06	0.00053	0	0	0	8.5e-06	0	0.00014	0	0.61
13	0	0	0	0.0078	0	3.2e-06	0	0	0	0.0062	0.99	0.00012	0	0	10	0.043
14	0	0	1	0	0	0	0	0	0	0	0.0035	0	0	0	2	0
15	0.93	0.003	0	0.0012	0.018	0.0022	0.00083	0.0031	0.002	0	0	5.1e-06	0.015	0.025	0	0.61
16	0	0	0	0.004	0	0.033	7.5e-05	0	0	0.96	4.1e-05	0	0	0	9	0.13
17	0	0	0	2.7e-05	0	0.29	0.0033	0	0	0.7	0	0	0	0	9	0.13
18	0	0	0	0.0048	0	0.0024	0	0	0	0.99	0	0	0	0	9	0.13
19	0.0014	7.9e-05	0	0.0005	0.0075	0.1	0.28	8.3e-05	0.14	0.28	6.1e-05	0	0.18	0.01	6	0.87
20	0.92	0	0	0.0093	0	0.043	0.023	0	0	0	0	2.1e-05	0	0	0	0.61
21	0.07	0.0031	0	1.2e-06	0.14	0	0.0028	0.0032	0.092	0	0	0	0.51	0.19	12	0.39
22	0	0	0	0	0	0	0	0	0	0.015	0.98	0	0	0	10	0.043
23	0.97	0.0036	0	0.00031	0.011	3.9e-05	0	0.0038	2e-05	0	0	3.1e-06	0.00096	0.015	0	0.61
24	0	0	0.96	0	0	0	0	0	0	0.00015	0.045	0	0	0	2	0
25	0.81	0.011	0	2.7e-05	0.069	0	0	0.012	3.3e-05	0	0	0	0.0041	0.095	0	0.61
26	0.99	0	0	0.0032	0	0.0055	0.0013	0	0	0	0	1.3e-05	0	0	0	0.61
27	0.99	0.00092	0	0.0017	0.00053	0.0014	7.9e-05	0.00097	0	0	0	7.5e-06	3.1e-06	0.00073	0	0.61
28	0.53	0.0048	0	0.00018	0.081	9.3e-05	1e-05	0.0051	0.049	1.3e-05	0	1.5e-06	0.22	0.11	0	0.61
29	0.43	0.0046	0	0.00011	0.091	4.2e-05	3.3e-06	0.0049	0.068	1.6e-05	0	1.1e-06	0.28	0.12	0	0.61
30	0.99	0.0016	0	0.0007	0.0014	0.00019	3.4e-06	0.0017	0	0	0	4.9e-06	1.1e-05	0.0019	0	0.61
31	0.94	5.8e-05	0	0.016	0	0.043	0.0033	6e-05	0	0	0	2.6e-05	0	1.1e-06	0	0.61
32	0.57	0.011	0	0.00024	0.14	5.3e-05	1.6e-06	0.011	0.0093	0	0	2.7e-06	0.08	0.19	0	0.61
33	0.95	0.003	0	0.0045	0.0069	0.012	0.0054	0.0032	2.1e-05	0	0	1.5e-05	0.0005	0.0094	0	0.61
34	0.99	0.0025	0	0.00086	0.00091	6e-05	0	0.0026	0	0	0	8.6e-06	0	0.0012	0	0.61
35	0.3	0.019	0	6.8e-06	0.27	0	0	0.02	0.00045	0	0	0	0.027	0.37	13	0.47
36	0.066	0.0035	0	8.6e-06	0.14	0	0	0.0037	0.14	2.5e-05	0	0	0.45	0.2	12	0.39
37	2.4e-06	4.7e-06	0	0	0.0048	0	0	5e-06	0.55	0.00035	0	0	0.43	0.0066	8	0.35
38	0.99	0.0011	0	0.005	0.00029	0.0042	0.00017	0.0011	0	0	0	1.9e-05	0	0.0004	0	0.61
39	0	0	0	0	0	0	0	0	1.7e-06	0.7	0.3	0	0	0	9	0.13
40	1.7e-05	2.6e-05	0	0	0.017	0	0	2.7e-05	0.38	0	0	0	0.58	0.023	12	0.39
41	0.96	0.0038	0	0.0026	0.009	0.0032	0.00049	0.004	1.4e-05	0	0	1.2e-05	0.00048	0.012	0	0.61
42	0	0	0	0	0	0	0	0	4.9e-05	1	4.2e-05	0	5e-06	0	9	0.13
43	0.58	0.01	0	0.0003	0.13	8.6e-05	3.6e-06	0.011	0.011	0	0	3e-06	0.084	0.18	0	0.61
44	8.3e-06	0	0.64	0	1.8e-05	0	0	0	0.00017	0.089	0.27	0	0.00018	2.5e-05	2	0
45	0.9	0.0035	0	0.0048	0.014	0.022	0.024	0.0037	0.00038	0	0	1.4e-05	0.0036	0.019	0	0.61
46	0.67	0.02	0	3.4e-05	0.12	0	0	0.021	2.7e-05	0	0	1.3e-06	0.0034	0.17	0	0.61
47	0.75	0.022	0	2.3e-05	0.086	0	0	0.023	1.8e-06	0	0	1.3e-06	0.00067	0.12	0	0.61
48	0.92	0.0039	0	0.0041	0.016	0.015	0.011	0.0041	0.00034	0	0	1.3e-05	0.0036	0.021	0	0.61
49	0.015	0.003	0	0	0.22	0	0	0.0031	0.048	0	0	0	0.4	0.3	12	0.39
50	0	0	0	0	0	0	0	0	0	1	4.8e-05	0	0	0	9	0.13
51	0.85	0.0017	0	0.0085	0.0026	0.058	0.073	0.0017	5.5e-06	0	0	1.9e-05	0.00014	0.0036	0	0.61
52	0.037	0.015	0	0	0.39	0	0	0.016	3e-06	0	0	0	0.0051	0.54	13	0.47
53	0.92	0.013	0	6.6e-05	0.024	0	0	0.014	0	0	0	2.4e-06	6.6e-05	0.033	0	0.61
54	0	0	0	0	0	0	0	0	1.3e-06	1	0	0	0	0	9	0.13
55	0.19	0.014	0	4.5e-06	0.3	0	0	0.015	0.0027	0	0	0	0.077	0.41	13	0.47
56	0.98	0.0068	0	6.1e-05	0.0025	0	0	0.0072	0	0	0	2.7e-06	0	0.0034	0	0.61
57	0.39	0.015	0	3.5e-05	0.22	0	0	0.015	0.0031	0	0	0	0.063	0.3	0	0.61
58	0	0	1	0	0	0	0	0	0	0	1.9e-05	0	0	0	2	0
59	0.85	0.0089	0	0.0006	0.052	0.00017	5.3e-06	0.0094	0.00038	0	0	5.4e-06	0.0079	0.071	0	0.61
60	0.88	0.0078	0	0.00081	0.04	0.00031	1.3e-05	0.0082	0.00024	0	0	6.3e-06	0.0053	0.055	0	0.61
61	0.75	0.006	0	0.00021	0.069	6.6e-05	3.3e-06	0.0063	0.0075	0	0	2e-06	0.07	0.094	0	0.61
62	0.91	0.0027	0	0.006	0.0072	0.031	0.032	0.0028	6.1e-05	0	0	1.6e-05	0.00092	0.0099	0	0.61
63	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.043
64	0	0	0	0	1.1e-06	0	0	0	0.00085	1	0.00059	0	0.00026	1.5e-06	9	0.13
65	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
66	0.73	0.0063	0	0.00018	0.074	4.8e-05	1.9e-06	0.0066	0.0072	0	0	1.9e-06	0.072	0.1	0	0.61
67	0	0	0.85	0	0	0	0	0	0	0.0066	0.14	0	0	0	2	0
68	0	0	0	0	0	0	0	0	0	0.0013	1	0	0	0	10	0.043
69	0.081	0.01	0	0	0.33	0	0	0.01	0.0048	0	0	0	0.12	0.45	13	0.47
70	0.99	0.0012	0	0.0034	0.00029	0.0014	2.2e-05	0.0012	0	0	0	1.6e-05	0	0.0004	0	0.61
71	0.45	0.023	0	1.1e-05	0.21	0	0	0.024	7.6e-05	0	0	0	0.0086	0.29	0	0.61
72	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
73	0.48	0.018	0	2.9e-05	0.2	0	0	0.019	0.00049	0	0	0	0.022	0.27	0	0.61
74	0.99	0.0005	0	0.0038	0.00016	0.0069	0.00097	0.00053	0	0	0	1.1e-05	0	0.00022	0	0.61
75	0.88	0.0076	0	8.9e-05	0.043	4.1e-06	0	0.008	7.8e-05	0	0	1.6e-06	0.0048	0.059	0	0.61
76	1.7e-06	0	0	0	0.00021	0	0	0	0.02	0.97	0.00018	0	0.012	0.00029	9	0.13
77	0	0	0	0	0	0	0	0	3.5e-05	1	0.0019	0	5.2e-06	0	9	0.13
78	0	0	0	0	0	0	0	0	0	0.97	0.032	0	0	0	9	0.13
79	0.24	0.017	0	5.1e-06	0.29	0	0	0.018	0.00083	0	0	0	0.039	0.39	13	0.47
80	0	0	0	0	0	0	0	0	3.8e-06	0.99	0.009	0	0	0	9	0.13
81	0.98	0.0011	0	0.0066	0.00037	0.0096	0.00091	0.0011	0	0	0	2.1e-05	0	0.00051	0	0.61
82	0.82	0.022	0	2e-05	0.059	0	0	0.023	0	0	0	1.3e-06	0.00018	0.08	0	0.61
83	0	0	0	0	0	0	0	0	0.00041	0.99	0.007	0	0.00014	1.2e-06	9	0.13
84	0.95	0.0084	0	0.00019	0.013	3.6e-06	0	0.0089	0	0	0	3.9e-06	4.8e-05	0.018	0	0.61
85	0.89	0.001	0	0.011	0.0007	0.059	0.04	0.0011	0	0	0	2.3e-05	7e-06	0.00096	0	0.61
86	0.98	0.00057	0	0.0087	7.1e-05	0.01	0.00049	0.0006	0	0	0	2.5e-05	0	9.7e-05	0	0.61
87	0.91	0.0087	0	0.00042	0.03	4.5e-05	0	0.0091	1.7e-05	0	0	5e-06	0.0011	0.041	0	0.61
88	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
89	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
90	0.02	0	0	0.048	0	0.88	0.05	0	0	0	0	1.2e-05	0	0	5	0.78
91	0.98	0.0013	0	0.0054	0.00056	0.0067	0.00055	0.0014	0	0	0	1.9e-05	1.3e-06	0.00077	0	0.61
92	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
93	0.97	0.0029	0	0.0041	0.0057	0.0086	0.0025	0.0031	7.9e-06	0	0	1.4e-05	0.00027	0.0078	0	0.61
94	0.89	0.011	0	0.00017	0.034	4.4e-06	0	0.012	3.5e-06	0	0	3.4e-06	0.00053	0.047	0	0.61
95	0	0	0	0	0	0	0	0	0	0.85	0.15	0	0	0	9	0.13
96	0.93	0.0089	0	0.00028	0.021	1.2e-05	0	0.0093	1.7e-06	0	0	4.3e-06	0.00027	0.029	0	0.61
97	0.99	0.0019	0	0.00077	0.0004	3e-05	0	0.002	0	0	0	8.6e-06	0	0.00054	0	0.61
98	0	0	0	0	0	0	0	0	0	1	0.00024	0	0	0	9	0.13
99	0.17	0.0071	0	2.5e-05	0.2	1.7e-06	0	0.0075	0.053	0	0	0	0.29	0.27	12	0.39
100	0.42	0.017	0	2.6e-05	0.22	0	0	0.018	0.0011	0	0	0	0.035	0.3	0	0.61
101	1	0	0	0.0021	0	0.0016	0.00012	0	0	0	0	1.1e-05	0	0	0	0.61
102	0.96	4.1e-05	0	0.028	0	0.013	3.6e-05	4.3e-05	0	0	0	6e-05	0	0	0	0.61
103	0	0	0	0	0	0	0	0	0	1	1.7e-06	0	0	0	9	0.13
