SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0.61	0	0	0.39	0	9	0.054	0.31
1	0.26	0.1	0	0.26	0	0.26	5.1e-06	0	0	0	0	0	0.12	0	5	0.51	0.31
2	0	0	0	0	0	0	0	0	0	0.055	0.79	0	0.047	0.1	10	0	0.31
3	0	1e-05	6.8e-06	0	0	0	0.42	0.0014	0.57	0	0	0	0	0	8	0.51	0.034
4	0.33	0	0	0.33	0	0.33	0	0	0	0	0	0.00027	0	0	5	0.51	0.31
5	0.28	0.094	0	0.28	0	0.28	0	0	0	0	0	0	0.052	0	5	0.51	0.31
6	0.32	0.042	0	0.32	0	0.32	0	0	0	0	0	0	5e-06	0	5	0.51	0.31
7	0.33	0	0	0.33	0	0.33	0	0	0	0	0	7.4e-05	0	0	5	0.51	0.31
8	0.3	0.083	0	0.3	0	0.3	0.0025	0	0	0	0	0.0032	0.0056	0	5	0.51	0.31
9	0.29	0.11	0	0.29	0	0.29	0	0	0	0	0	0	0.021	0	5	0.51	0.31
10	0.33	0.011	0	0.33	0	0.33	0	0	0	0	0	0	0	0	5	0.51	0.31
11	0.33	0	0	0.33	0	0.33	0	0	0	0	0	0.0027	0	0	5	0.51	0.31
12	0.25	0.22	0	0.25	0	0.25	0.0012	0	0	0	0	0	0.021	0	5	0.51	0.31
13	0.32	0.039	0	0.32	0	0.32	5.8e-05	0	0	0	0	0.001	5.8e-05	0	5	0.51	0.31
14	0	0	0	0	1	0	0	0	0.0047	0	0	0	0	0	4	0.44	0
15	0.22	0.31	0	0.22	0	0.22	0.00019	0	0	0	0	0	0.023	0	1	0.62	0.35
16	0.31	0.023	0	0.31	0	0.31	0	0	0	0	0	0	0.055	0	5	0.51	0.31
17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.054	0.31
18	0.24	0.28	0	0.24	0	0.24	0.00012	0	0	0	0	0	0.00095	0	1	0.62	0.35
19	0.29	0.12	0	0.29	0	0.29	1.3e-05	0	0	0	0	0	0.00068	0	5	0.51	0.31
20	0	0	0	0	0	0	0.17	0	0.83	0	0	0	0	0	8	0.51	0.034
21	0.15	0	0	0.15	0	0.15	0	0	0	0.017	0.36	0	0	0.15	10	0	0.31
22	0.33	0	0	0.33	0	0.33	0	0	0	0	0	0.018	0	0	5	0.51	0.31
23	0.2	0.41	0	0.2	0	0.2	0.0038	0	0	0	0	0	0.00058	0	1	0.62	0.35
24	2e-05	0	1.2e-05	2e-05	0.91	2e-05	0	0.00094	0.092	0	0	0	0	0	4	0.44	0
25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.054	0.31
26	0.14	0	0	0.14	0	0.14	0	0	9.3e-06	0.021	0.34	0	0	0.2	10	0	0.31
27	0.33	0	0	0.33	0	0.33	0	0	0	0	0	0.0054	0	0	5	0.51	0.31
28	0.29	0.13	0	0.29	0	0.29	0	0	0	0	0	0	0	0	5	0.51	0.31
29	0.26	0.22	0	0.26	0	0.26	0	0	0	0	0	0	1.1e-06	0	5	0.51	0.31
30	0.21	0.33	0	0.21	0	0.21	0.0057	0	0	0	0	0	0.05	0	1	0.62	0.35
31	0.33	0	0	0.33	0	0.33	0	0	0	0	0	0.00012	0	0	5	0.51	0.31
32	0.33	0.0093	0	0.33	0	0.33	0	0	0	0	0	9.3e-05	4e-06	0	5	0.51	0.31
33	0.33	0.013	0	0.33	0	0.33	0	0	0	0	0	0	0.00046	0	5	0.51	0.31
34	0.3	0.089	0	0.3	0	0.3	0	0	0	0	0	0	1.5e-05	0	5	0.51	0.31
35	0.33	0	0	0.33	0	0.33	0	0	0	0	0	0.0097	0	0	5	0.51	0.31
36	0	0.58	0	0	0	0	0	0	0	0.42	0	0	0	0	1	0.62	0.35
37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.054	0.31
38	0.3	0.043	0	0.3	0	0.3	0	0	0	0	0	0	0.042	0	5	0.51	0.31
39	0	0.023	0	0	0	0	0	0	0	0.98	0	0	0	0	9	0.054	0.31
40	0	0.32	0	0	0	0	0	0	0	0.24	0	0	0.44	0	12	0.56	0.61
41	0.27	0.069	0	0.27	0	0.27	0	0	0	0	0	0	0.11	0	5	0.51	0.31
42	0	1	0	0	0	0	0	0	0	0.002	0	0	0	0	1	0.62	0.35
43	0.23	0.071	0	0.23	0	0.23	0	0	0	0	0	0	0.24	0	12	0.56	0.61
44	0	0	0	0	0.87	0	0.019	3.5e-05	0.11	0	0	0	0	0	4	0.44	0
45	0	0	0	0	0	0	0	0	0	0.00031	0.28	0	0.00047	0.72	13	0	0.21
46	0	0	0	0	0	0	0	0	0	0.0019	0.93	0	0.002	0.069	10	0	0.31
47	0	0	0	0	0	0	0	0	0	0.0075	0.98	0	0.0054	0.0077	10	0	0.31
48	0.011	0.97	0	0.011	0	0.011	0	0	0	0	0	0	0	0	1	0.62	0.35
49	0	0	0	0	1	0	3.1e-05	0	0.00013	0	0	0	0	0	4	0.44	0
50	0.2	0.4	0	0.2	0	0.2	3.7e-05	0	0	0	0	0	0.0012	0	1	0.62	0.35
51	0.31	0.068	0	0.31	0	0.31	1.5e-06	0	0	0	0	0	0.00097	0	5	0.51	0.31
52	0	0	0	0	1	0	0.00049	0	0.0029	0	0	0	0	0	4	0.44	0
53	0.23	0.3	0	0.23	0	0.23	0.0039	0	0	0	0	0	0.0079	0	1	0.62	0.35
54	0	0	0	0	0	0	0	0	0	0.046	0.9	0	0.033	0.017	10	0	0.31
55	0.31	0.062	0	0.31	0	0.31	2.6e-05	0	0	0	0	1.2e-05	0.00014	0	5	0.51	0.31
56	0.28	0.12	0	0.28	0	0.28	0.00027	0	0	0	0	1.6e-05	0.026	0	5	0.51	0.31
57	0.29	0.14	0	0.29	0	0.29	0.00023	0	0	0	0	0	0.00023	0	5	0.51	0.31
58	0.29	0.097	0	0.29	0	0.29	0.032	0	0	0	0	0	5.2e-06	0	5	0.51	0.31
59	0.3	0.062	0	0.3	0	0.3	0.029	0	0	0	0	0	0	0	5	0.51	0.31
60	0	0	0	0	0	0	0	6.6e-06	1	0	0	0	0	0	8	0.51	0.034
61	0.19	0.24	0	0.19	0	0.19	1.8e-05	0	0	0	0	0	0.18	0	1	0.62	0.35
62	0.16	0.088	0	0.16	0	0.16	0.0013	0	0	0	0	0.00071	0.45	0	12	0.56	0.61
