SNV	cluster0	cluster	dcf0	dcf1	dcf2
0	1	0	0.23	0.14	0.13
1	1	0	0.23	0.14	0.13
2	1	0	0.23	0.14	0.13
3	1	0	0.23	0.14	0.13
4	1	0	0.23	0.14	0.13
5	1	0	0.23	0.14	0.13
6	1	0	0.23	0.14	0.13
7	1	0	0.23	0.14	0.13
8	1	0	0.23	0.14	0.13
9	1	0	0.23	0.14	0.13
10	1	0	0.23	0.14	0.13
11	1	0	0.23	0.14	0.13
12	1	0	0.23	0.14	0.13
13	1	0	0.23	0.14	0.13
14	1	0	0.23	0.14	0.13
15	1	0	0.23	0.14	0.13
16	1	0	0.23	0.14	0.13
17	1	0	0.23	0.14	0.13
18	1	0	0.23	0.14	0.13
19	1	0	0.23	0.14	0.13
20	1	0	0.23	0.14	0.13
21	1	0	0.23	0.14	0.13
22	1	0	0.23	0.14	0.13
23	1	0	0.23	0.14	0.13
24	1	0	0.23	0.14	0.13
25	1	0	0.23	0.14	0.13
26	1	0	0.23	0.14	0.13
27	1	0	0.23	0.14	0.13
28	1	0	0.23	0.14	0.13
29	1	0	0.23	0.14	0.13
30	1	0	0.23	0.14	0.13
31	1	0	0.23	0.14	0.13
32	1	0	0.23	0.14	0.13
33	1	0	0.23	0.14	0.13
34	1	0	0.23	0.14	0.13
35	1	0	0.23	0.14	0.13
36	1	0	0.23	0.14	0.13
37	1	0	0.23	0.14	0.13
38	1	0	0.23	0.14	0.13
39	1	0	0.23	0.14	0.13
40	1	0	0.23	0.14	0.13
41	1	0	0.23	0.14	0.13
42	1	0	0.23	0.14	0.13
43	1	0	0.23	0.14	0.13
44	1	0	0.23	0.14	0.13
45	1	0	0.23	0.14	0.13
46	1	0	0.23	0.14	0.13
47	1	0	0.23	0.14	0.13
48	1	0	0.23	0.14	0.13
49	1	0	0.23	0.14	0.13
50	1	0	0.23	0.14	0.13
51	1	0	0.23	0.14	0.13
52	1	0	0.23	0.14	0.13
53	1	0	0.23	0.14	0.13
54	1	0	0.23	0.14	0.13
55	1	0	0.23	0.14	0.13
56	1	0	0.23	0.14	0.13
57	1	0	0.23	0.14	0.13
58	1	0	0.23	0.14	0.13
59	1	0	0.23	0.14	0.13
60	1	0	0.23	0.14	0.13
61	1	0	0.23	0.14	0.13
62	1	0	0.23	0.14	0.13
63	1	0	0.23	0.14	0.13
64	1	0	0.23	0.14	0.13
65	1	0	0.23	0.14	0.13
66	1	0	0.23	0.14	0.13
67	1	0	0.23	0.14	0.13
68	1	0	0.23	0.14	0.13
69	1	0	0.23	0.14	0.13
70	1	0	0.23	0.14	0.13
71	1	0	0.23	0.14	0.13
72	1	0	0.23	0.14	0.13
73	1	0	0.23	0.14	0.13
74	1	0	0.23	0.14	0.13
75	1	0	0.23	0.14	0.13
76	1	0	0.23	0.14	0.13
77	1	0	0.23	0.14	0.13
78	1	0	0.23	0.14	0.13
79	1	0	0.23	0.14	0.13
80	1	0	0.23	0.14	0.13
81	1	0	0.23	0.14	0.13
82	1	0	0.23	0.14	0.13
83	1	0	0.23	0.14	0.13
84	1	0	0.23	0.14	0.13
85	1	0	0.23	0.14	0.13
86	1	0	0.23	0.14	0.13
87	1	0	0.23	0.14	0.13
88	1	0	0.23	0.14	0.13
89	1	0	0.23	0.14	0.13
90	1	0	0.23	0.14	0.13
91	1	0	0.23	0.14	0.13
92	1	0	0.23	0.14	0.13
93	1	0	0.23	0.14	0.13
94	1	0	0.23	0.14	0.13
95	1	0	0.23	0.14	0.13
96	1	0	0.23	0.14	0.13
97	1	0	0.23	0.14	0.13
98	1	0	0.23	0.14	0.13
99	1	0	0.23	0.14	0.13
100	1	0	0.23	0.14	0.13
101	1	0	0.23	0.14	0.13
102	1	0	0.23	0.14	0.13
103	1	0	0.23	0.14	0.13
104	1	0	0.23	0.14	0.13
105	1	0	0.23	0.14	0.13
106	1	0	0.23	0.14	0.13
