SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	0	4.9e-06	0	0.00024	1	0	0	4	0.078	0
1	0	0.013	0	0.13	0.86	0	0	4	0.078	0
2	0	1	0	0	0	0	0	1	0.14	0.018
3	0	2.9e-06	0.41	0	0	0.59	0	5	0.14	0.16
4	0	1	0	0	0	0	0	1	0.14	0.018
5	0	0.068	0	0.26	0.67	8.9e-06	0	4	0.078	0
6	0.91	0	0	0	0	0	0.09	0	0	0.11
7	0	1	0	0	0	0	0	1	0.14	0.018
8	0	0	0.8	0	0	0.2	0	2	0.22	0.24
9	0	1	0	0	0	0	0	1	0.14	0.018
10	0	0.16	0	0.81	0.032	0	0	3	0.14	0
11	0	0.018	0	0.98	5.5e-06	0	0	3	0.14	0
12	0.6	0	0	0	0	0	0.4	0	0	0.11
13	0	0	0.2	0	0	0.79	0.0019	5	0.14	0.16
14	0	0.054	0	0.94	0.0019	0	0	3	0.14	0
15	0.89	0	0	0	0	5.3e-06	0.11	0	0	0.11
16	0	0	0.99	0	0	0.007	0	2	0.22	0.24
17	0	0.0023	0	0.025	0.97	0	0	4	0.078	0
18	0	2.4e-05	0	0.0014	1	0	0	4	0.078	0
19	0.016	0	0	0	0	0	0.98	6	0.016	0.16
20	0.98	0	0	0	0	0	0.016	0	0	0.11
21	0	4.3e-06	0	0	0	0.00034	1	6	0.016	0.16
22	0.96	0	0	0	0	0	0.038	0	0	0.11
23	0	0	0.85	0	0	0.15	0	2	0.22	0.24
24	0	0	0.00083	0	0	1	0	5	0.14	0.16
25	0	0	0.34	0	0	0.66	0	5	0.14	0.16
26	0	0.0074	0	0.35	0.58	0.058	0	4	0.078	0
27	0.024	0	0	0	0	0.86	0.12	5	0.14	0.16
28	0	0.0068	0	0.32	0.61	0.054	0	4	0.078	0
29	0.96	0	0	0	0	0	0.037	0	0	0.11
30	0	1	0	0	0	0	0	1	0.14	0.018
31	0	1	0	0	0	0	0	1	0.14	0.018
32	0	0	0.54	0	0	0.46	0	2	0.22	0.24
33	0.74	0	0	0	0	0.21	0.044	0	0	0.11
34	0	1	4.4e-06	0	0	0.0045	0	1	0.14	0.018
35	0	0	0.98	0	0	0.023	0	2	0.22	0.24
36	1	0	0	0	0	8.7e-06	0	0	0	0.11
37	0	2.2e-05	0	0.0062	0.99	0.001	0	4	0.078	0
38	0.27	0	0	0	0	0.67	0.057	5	0.14	0.16
39	0	0	0	0	0	0	1	6	0.016	0.16
40	0	0	0.12	0	0	0.88	0	5	0.14	0.16
41	0	0.015	0	0.71	0.16	0.12	0	3	0.14	0
42	0	0.094	0	0.89	0	0.017	0	3	0.14	0
43	0.64	0	0	0	0	0.22	0.14	0	0	0.11
44	0	1	0	0	0	0	0	1	0.14	0.018
45	0	0.019	0	0.74	0.12	0.12	0	3	0.14	0
46	0	0	0.95	0	0	0.05	0	2	0.22	0.24
47	0.76	0	0	0	0	0.13	0.1	0	0	0.11
48	0	1	0	0	0	0	0	1	0.14	0.018
49	0.5	0	0	0	0	0.39	0.11	0	0	0.11
50	0	0	0.022	0	0	0.98	0	5	0.14	0.16
51	0	0	0	0	0	0	1	6	0.016	0.16
52	0.68	0	0	0	0	0.3	0.02	0	0	0.11
53	0	0	0.35	0	0	0.65	0	5	0.14	0.16
