SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0.00059	0	0.00029	0.0026	0	0.024	0	0.023	0.00064	0	0.81	0	0	0.00062	0	0	0.14	0.0023	0	11	0.84	0.84	0.86	0.85
1	0	4.7e-05	0	0.17	0.0005	2e-06	0.024	0	0.0096	0.0012	0	0.67	0	0	4.9e-05	0	0	0.11	0.0047	0	11	0.84	0.84	0.86	0.85
2	0	0.0016	0	9e-05	0.0073	0	0.02	0	0.027	0.0011	0	0.8	0	0	0.0017	0	0	0.14	0.0017	0	11	0.84	0.84	0.86	0.85
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.11	0	0.093	0
4	0	0.0024	0	0	0.021	1.4e-06	0.012	0	0.0085	0.049	0	0.77	0	0	0.0025	0	0	0.13	0.0015	0	11	0.84	0.84	0.86	0.85
5	0	3.9e-05	0	0	7.3e-05	0	0.016	0	0.0079	8.1e-05	0	0.83	0	0	4.1e-05	0	0	0.14	0.0024	0	11	0.84	0.84	0.86	0.85
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0.16	0.047	0.067
7	0	0.0009	0	0	0.0078	2e-05	0.019	0	0.011	0.015	0	0.81	0	0	0.00094	0	0	0.14	0.0019	0	11	0.84	0.84	0.86	0.85
8	0	0.0027	0	0	0.0023	0.003	0.021	0	0.013	0.0068	0	0.81	0	0	0.0029	0	0	0.14	0.0019	0	11	0.84	0.84	0.86	0.85
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0.16	0.047	0.067
10	0	9.4e-06	0	0	0	0	0.0097	0	0.0036	4.1e-06	0	0.84	0	0	9.8e-06	0	0	0.14	0.0031	0	11	0.84	0.84	0.86	0.85
11	0	0	0	0	0	0	0.00055	0	0.00086	0	0	0.85	0	0	0	0	0	0.15	0.0015	0	11	0.84	0.84	0.86	0.85
12	0	0.002	0	0	0.0081	0.0013	0.014	0	0.0079	0.043	0	0.79	0	0	0.0021	0	0	0.13	0.002	0	11	0.84	0.84	0.86	0.85
13	0	0.045	0	6.5e-05	3.7e-06	0.024	0.0042	0	0.0045	5.8e-05	0	0.75	0	0	0.046	0	0	0.13	0.0019	0	11	0.84	0.84	0.86	0.85
14	0	0	0	0	0	2.7e-06	0.025	0	0.03	0	0	0.81	0	0	0	0	0	0.14	0.0019	0	11	0.84	0.84	0.86	0.85
15	0	0	0	0	0	0.0042	0.028	0	0.016	0	0	0.81	0	0	0	0	0	0.14	0.0038	0	11	0.84	0.84	0.86	0.85
16	0	0	0	0	0	0	9.5e-05	0	0.00073	0	0	0.85	0	0	0	0	0	0.15	0.0003	0	11	0.84	0.84	0.86	0.85
17	0	0	0	0	0	0	0.0014	0	0.004	0	0	0.85	0	0	0	0	0	0.14	0.00083	0	11	0.84	0.84	0.86	0.85
