SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0.0036	0	1.6e-06	0.0036	0	0.47	0.0013	0	0	0.0036	0.012	0.43	0	0	0.031	0	0.0001	3.3e-06	0.045	0	5	0.076	0.083
1	0.0011	0	0	0.0011	0	0.29	0.00059	0	0	0.0011	0.00024	0.33	0	0	0.23	0	1.2e-05	0	0.14	0	11	0.094	0.083
2	8.8e-05	3.1e-06	3.5e-05	8.8e-05	3.1e-06	1.1e-05	0.0034	2e-05	3.1e-06	8.8e-05	0.99	0.00016	0	0.001	0	3.1e-06	6.8e-05	0.0013	1.1e-05	0	10	0.17	0.15
3	0.0043	0	0	0.0043	0	0.082	0.0022	0	0	0.0043	0.00024	0.53	0	0	0.016	0	5.4e-05	0	0.36	0	11	0.094	0.083
4	7.2e-06	0	0	7.2e-06	0	0.043	0	0	0	7.2e-06	0	0.023	0	0	0.92	0	0	0	0.018	0	14	0.076	0.05
5	0	6.8e-06	0	0	1.8e-06	0	6.3e-05	0	6.8e-06	0	0.73	0	0	0.27	0	6.8e-06	0	0	0	0	10	0.17	0.15
6	0.00014	3.3e-06	3.3e-05	0.00014	5.6e-06	1e-06	0.016	1.9e-05	3.3e-06	0.00014	0.98	9.7e-05	0	0.00022	0	3.3e-06	0.00014	2.7e-05	1.9e-05	0	10	0.17	0.15
7	0.0015	0	0	0.0015	0	0.18	0.0018	0	0	0.0015	0.0006	0.35	0	0	0.21	0	2.2e-05	0	0.25	0	11	0.094	0.083
8	0.00026	6.5e-05	2.9e-05	0.00026	3.2e-06	0.00046	0.0088	1.7e-05	6.5e-05	0.00026	0.97	0.0024	0.00053	0.0063	2.8e-06	6.5e-05	8.5e-05	0.0074	0.00043	0	10	0.17	0.15
9	0.0016	0.0021	9.5e-06	0.0016	7.9e-06	0.00011	0.5	5.4e-06	0.0021	0.0016	0.44	0.0093	0	0.00099	5.9e-06	0.0021	0.00037	0	0.034	0	6	0.17	0.1
10	0	0.016	1.8e-06	0	2.7e-06	0	0.015	1e-06	0.016	0	0.49	0	0.0062	0.44	0	0.016	0	0.00013	0	0	10	0.17	0.15
11	6.6e-05	7.7e-06	2.9e-05	6.6e-05	3.6e-06	2.6e-06	0.0066	1.6e-05	7.7e-06	6.6e-05	0.99	9.5e-05	0	0.0012	0	7.7e-06	6e-05	0.00091	1.9e-05	0	10	0.17	0.15
12	0.00087	0	6.4e-05	0.00087	2.8e-06	0.0018	0.0035	3.6e-05	0	0.00087	0.98	0.0063	0	0.00022	0	0	0.00024	0.004	0.00021	0	10	0.17	0.15
13	0.0029	0.00018	3.1e-05	0.0029	4.4e-06	0.025	0.041	1.8e-05	0.00018	0.0029	0.81	0.082	1.8e-05	0.0025	0.0012	0.00018	0.00035	0.00097	0.025	0	10	0.17	0.15
14	0.0036	0.0007	2e-05	0.0036	3.9e-06	0.056	0.068	1.1e-05	0.0007	0.0036	0.58	0.17	4.8e-05	0.0036	0.013	0.0007	0.00033	0.00048	0.096	0	10	0.17	0.15
15	0.0019	0.00015	3.3e-05	0.0019	4.8e-06	0.007	0.039	1.8e-05	0.00015	0.0019	0.9	0.035	1e-05	0.0026	0.00019	0.00015	0.0003	0.00089	0.011	0	10	0.17	0.15
16	0	0.00047	6.3e-06	0	2e-06	0	0.0024	3.6e-06	0.00047	0	0.75	0	0.09	0.15	0	0.00047	2.3e-06	0.0057	0	0	10	0.17	0.15
17	0.00055	4.8e-05	3.1e-05	0.00055	5.2e-06	0.00013	0.031	1.8e-05	4.8e-05	0.00055	0.96	0.0027	0	0.0012	0	4.8e-05	0.00019	0.00036	0.0012	0	10	0.17	0.15
18	0.00028	0.00026	2.4e-05	0.00028	3.4e-06	0.00066	0.013	1.4e-05	0.00026	0.00028	0.95	0.0033	0.0038	0.015	1.1e-05	0.00026	7.8e-05	0.0072	0.00091	0	10	0.17	0.15
19	0.0024	0.0023	1.9e-06	0.0024	1.7e-06	0.0029	0.29	1.1e-06	0.0023	0.0024	0.076	0.077	0	0.00025	0.0051	0.0023	0.00018	0	0.54	0	18	0.11	0.067
20	0.0022	0	0	0.0022	0	0.53	0.0012	0	0	0.0022	0.0087	0.35	0	0	0.064	0	5.6e-05	2.8e-06	0.041	0	5	0.076	0.083
21	0.019	1.1e-06	3.4e-05	0.019	3e-06	0.08	0.036	1.9e-05	1.1e-06	0.019	0.35	0.42	0	7.7e-06	0.00041	1.1e-06	0.0015	1.1e-05	0.055	0	11	0.094	0.083
22	9.5e-06	0.00029	1.2e-05	9.5e-06	4.5e-06	0	0.014	6.9e-06	0.00029	9.5e-06	0.97	5.9e-06	1.7e-05	0.018	0	0.00029	1.7e-05	0.00031	5.2e-06	0	10	0.17	0.15
23	0.001	0.0024	2e-05	0.001	4.8e-06	0.0054	0.061	1.1e-05	0.0024	0.001	0.85	0.026	0.0023	0.021	0.00093	0.0024	0.00016	0.0015	0.02	0	10	0.17	0.15
24	4.4e-05	0	9e-05	4.4e-05	3e-06	0	0.00057	5.1e-05	0	4.4e-05	1	2.9e-06	0	0	0	0	0.00015	1.3e-05	0	0	10	0.17	0.15
25	0.0003	4.1e-05	2.5e-05	0.0003	7.7e-06	3.5e-06	0.065	1.4e-05	4.1e-05	0.0003	0.93	0.0004	0	0.0005	0	4.1e-05	0.00021	1.2e-05	0.00029	0	10	0.17	0.15
26	0	0.00018	1.3e-06	0	2.6e-06	0	0.00092	0	0.00018	0	0.74	0	1.9e-06	0.26	0	0.00018	0	1.1e-05	0	0	10	0.17	0.15
27	0.00016	0.00052	1.7e-05	0.00016	7.4e-06	3.9e-06	0.074	9.5e-06	0.00052	0.00016	0.92	0.0003	0	0.0049	0	0.00052	0.00011	2.5e-05	0.00031	0	10	0.17	0.15
28	0	0	8.4e-06	0	1.4e-06	0	0.00014	4.8e-06	0	0	0.99	0	1.7e-06	0.0063	0	0	0	0.004	0	0	10	0.17	0.15
29	0.0013	0	0	0.0013	0	0.41	4.9e-05	0	0	0.0013	8.6e-06	0.47	0	0	0.048	0	6.6e-06	0	0.067	0	11	0.094	0.083
30	0.00093	0	0	0.00093	0	0.71	9.7e-05	0	0	0.00093	0.00098	0.23	0	0	0.043	0	1.6e-05	0	0.011	0	5	0.076	0.083
31	0.0089	0	2.1e-06	0.0089	0	0.38	0.0014	1.2e-06	0	0.0089	0.011	0.56	0	0	0.0014	0	0.00027	0	0.024	0	11	0.094	0.083
32	1.1e-05	0	0	1.1e-05	0	0.15	0	0	0	1.1e-05	0	0.14	0	0	0.65	0	0	0	0.053	0	14	0.076	0.05
33	0.00056	0.035	6.1e-06	0.00056	6e-06	0.00017	0.37	3.5e-06	0.035	0.00056	0.45	0.0065	1.2e-05	0.021	8.6e-05	0.035	0.00012	9.8e-06	0.04	0	10	0.17	0.15
