SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1
0	1	0	0	0	0	0.14	0.018
1	1	0	0	0	0	0.14	0.018
2	1	0	0	0	0	0.14	0.018
3	6.2e-06	0	0	1	3	0.14	0.16
4	1	0	0	0	0	0.14	0.018
5	1	0	0	0.00011	0	0.14	0.018
6	0	0.18	0.82	0	2	0	0.089
7	1	0	0	0	0	0.14	0.018
8	0	0	0	1	3	0.14	0.16
9	1	0	0	0	0	0.14	0.018
10	1	0	0	9.7e-06	0	0.14	0.018
11	1	0	0	0	0	0.14	0.018
12	0	0.79	0.21	0	1	0.016	0.16
13	0	0.0013	0	1	3	0.14	0.16
14	1	0	0	0	0	0.14	0.018
15	0	0.22	0.78	1.9e-05	2	0	0.089
16	0	0	0	1	3	0.14	0.16
17	1	0	0	0	0	0.14	0.018
18	1	0	0	0	0	0.14	0.018
19	0	1	0.00016	0	1	0.016	0.16
20	0	0.037	0.96	0	2	0	0.089
21	9.4e-06	1	0	0.0006	1	0.016	0.16
22	0	0.075	0.93	0	2	0	0.089
23	0	0	0	1	3	0.14	0.16
24	0	0	0	1	3	0.14	0.16
25	0	0	0	1	3	0.14	0.16
26	0.14	0	0	0.86	3	0.14	0.16
27	0	0.074	0.00025	0.93	3	0.14	0.16
28	0.14	0	0	0.86	3	0.14	0.16
29	0	0.18	0.82	0	2	0	0.089
30	1	0	0	0	0	0.14	0.018
31	1	0	0	0	0	0.14	0.018
32	0	0	0	1	3	0.14	0.16
33	0	0.079	0.25	0.67	3	0.14	0.16
34	1	0	0	0.0036	0	0.14	0.018
35	0	0	0	1	3	0.14	0.16
36	0	0	1	3.9e-06	2	0	0.089
37	0.025	0	0	0.97	3	0.14	0.16
38	0	0.045	0.01	0.94	3	0.14	0.16
39	0	1	0	0	1	0.016	0.16
40	0	0	0	1	3	0.14	0.16
41	0.14	0	0	0.86	3	0.14	0.16
42	0.87	0	0	0.13	0	0.14	0.018
43	0	0.22	0.21	0.57	3	0.14	0.16
44	1	0	0	0	0	0.14	0.018
45	0.16	0	0	0.84	3	0.14	0.16
46	0	0	0	1	3	0.14	0.16
47	0	0.17	0.45	0.39	2	0	0.089
48	1	0	0	0	0	0.14	0.018
49	0	0.12	0.067	0.81	3	0.14	0.16
50	0	0	0	1	3	0.14	0.16
51	0	1	0	0	1	0.016	0.16
