SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	1	8.8e-05	0	0	0.14	0.24	0.11
1	0.8	0.2	0	0	0.14	0.24	0.11
2	0.99	0.0093	0	0	0.14	0.24	0.11
3	0.99	0.0078	0	0	0.14	0.24	0.11
4	1	0	0	0	0.14	0.24	0.11
5	1	0	0	0	0.14	0.24	0.11
6	1	0	0	0	0.14	0.24	0.11
7	0.99	0.013	0	0	0.14	0.24	0.11
8	0.046	0.95	0	1	0.22	0.47	0.2
9	0	0	1	2	0.062	0	0.049
10	1	0.0028	0	0	0.14	0.24	0.11
11	0.93	0.068	0	0	0.14	0.24	0.11
12	0	0	1	2	0.062	0	0.049
13	1	0.00077	0	0	0.14	0.24	0.11
14	0.99	0.013	0	0	0.14	0.24	0.11
15	0.78	0.22	0	0	0.14	0.24	0.11
16	1	0.0001	0	0	0.14	0.24	0.11
17	0.97	0.028	0	0	0.14	0.24	0.11
18	1	4.2e-06	0	0	0.14	0.24	0.11
19	1	0	0	0	0.14	0.24	0.11
20	0.27	0.73	0	1	0.22	0.47	0.2
21	0.67	0.33	0	0	0.14	0.24	0.11
22	1	0.0001	0	0	0.14	0.24	0.11
23	0.29	0.71	0	1	0.22	0.47	0.2
24	0.89	0.11	0	0	0.14	0.24	0.11
25	0.97	0.026	0	0	0.14	0.24	0.11
26	0.95	0.05	0	0	0.14	0.24	0.11
27	1	0	6e-05	0	0.14	0.24	0.11
28	1	0	0	0	0.14	0.24	0.11
29	1	1.5e-05	0	0	0.14	0.24	0.11
30	0.74	0.26	0	0	0.14	0.24	0.11
31	1	0.00073	0	0	0.14	0.24	0.11
32	0.14	0.86	0	1	0.22	0.47	0.2
33	0.85	0.15	0	0	0.14	0.24	0.11
34	1	0.0014	0	0	0.14	0.24	0.11
35	1	0.0019	0	0	0.14	0.24	0.11
36	1	0.0011	0	0	0.14	0.24	0.11
37	0.96	0.04	0	0	0.14	0.24	0.11
38	1	0	0	0	0.14	0.24	0.11
39	0.99	0.011	0	0	0.14	0.24	0.11
40	0.84	0.16	0	0	0.14	0.24	0.11
41	1	0	0	0	0.14	0.24	0.11
42	0.99	0.01	0	0	0.14	0.24	0.11
43	1	0	0	0	0.14	0.24	0.11
44	0	0	1	2	0.062	0	0.049
45	0.93	0.07	0	0	0.14	0.24	0.11
46	1	0.00066	0	0	0.14	0.24	0.11
47	1	0.0001	0	0	0.14	0.24	0.11
48	0	0	1	2	0.062	0	0.049
49	0.95	0.047	0	0	0.14	0.24	0.11
50	1	0	0	0	0.14	0.24	0.11
51	0.95	0.053	0	0	0.14	0.24	0.11
52	0.21	0.79	0	1	0.22	0.47	0.2
53	0.37	0.63	0	1	0.22	0.47	0.2
54	0.91	0.087	0	0	0.14	0.24	0.11
55	0.93	0.07	0	0	0.14	0.24	0.11
56	7.9e-05	1	0	1	0.22	0.47	0.2
57	0.87	0.13	0	0	0.14	0.24	0.11
58	0.0011	1	0	1	0.22	0.47	0.2
59	0	0	1	2	0.062	0	0.049
60	0.11	0.89	0	1	0.22	0.47	0.2
61	0.99	0.0063	0	0	0.14	0.24	0.11
62	0.43	0.57	0	1	0.22	0.47	0.2
63	0	0	1	2	0.062	0	0.049
64	1	0	1.3e-05	0	0.14	0.24	0.11
65	1	0.0046	0	0	0.14	0.24	0.11
66	0.68	0.32	0	0	0.14	0.24	0.11
67	1	0	0.00035	0	0.14	0.24	0.11
68	0.93	0.071	0	0	0.14	0.24	0.11
69	1	0	0	0	0.14	0.24	0.11
70	1	0	0	0	0.14	0.24	0.11
71	0.061	0.94	0	1	0.22	0.47	0.2
72	0.64	0.36	0	0	0.14	0.24	0.11
73	0.32	0.68	0	1	0.22	0.47	0.2
74	1	0	0	0	0.14	0.24	0.11
75	1	0	0	0	0.14	0.24	0.11
76	0	0	1	2	0.062	0	0.049
77	0	0	1	2	0.062	0	0.049
78	5.1e-05	1	0	1	0.22	0.47	0.2
79	0.0018	1	0	1	0.22	0.47	0.2
80	0.12	0.88	0	1	0.22	0.47	0.2
81	0.017	0.98	0	1	0.22	0.47	0.2
82	0	0	1	2	0.062	0	0.049
83	0	0	1	2	0.062	0	0.049
84	0.0045	1	0	1	0.22	0.47	0.2
85	0.57	0.43	0	0	0.14	0.24	0.11
86	1	0	0	0	0.14	0.24	0.11
