SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
0	0.49	0.0034	0	0.49	0.0012	0.0012	0.0034	0.0002	0.00019	3.5e-06	0.0088	0	0.0066	0.0022	0	8.2e-06	0	0.61
1	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0	1	0	14	0.043
2	0.49	0.004	0	0.49	0.00022	0.00022	0.0041	0	2.9e-06	0	0.0038	0	0.0028	1.6e-05	0	4.3e-06	0	0.61
3	0	0	0	0	0	0	0	0	0	0	0	0.0091	0	0	0.99	0	14	0.043
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.043
5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	2	0
6	0.25	0.0077	0	0.25	0.00019	0.00019	0.0078	2.7e-05	0.16	0.038	0.17	3.6e-05	0.13	0.00022	0	2.1e-06	0	0.61
7	0.29	0.00025	0	0.29	0.0092	0.0092	0.00025	0.21	0	0	7.1e-05	0	5.3e-05	0.2	0	1.7e-05	0	0.61
8	0.48	0.0035	0	0.48	0.00023	0.00023	0.0036	2.9e-06	0.0036	0.00016	0.022	0	0.016	0.00014	0	2.5e-06	0	0.61
9	0.49	0.0015	0	0.49	0.00093	0.00093	0.0015	0.00093	0.00027	6.9e-06	0.0042	0	0.0032	0.0035	0	4.9e-06	0	0.61
10	0.39	0.012	0	0.39	1.1e-05	1.1e-05	0.012	0	0.0046	3.5e-05	0.11	0	0.08	0	0	0	0	0.61
11	0	0	0.92	0	0	0	0	0	0	0	0	0.00092	0	0	0.078	0	2	0
12	0.5	0.00048	0	0.5	0.00088	0.00088	0.00049	2.2e-06	0	0	0.00014	0	0.00011	0.00048	0	6e-06	0	0.61
13	0	0	0	0	0.004	0.004	0	0	0	0	0	0.0062	0	3.2e-06	0.99	8.5e-05	14	0.043
14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0035	0	2	0
15	0.47	0.0028	0	0.47	0.0006	0.0006	0.0029	0.00083	0.015	0.002	0.025	0	0.018	0.0022	0	3.6e-06	0	0.61
16	0	0	0	0	0.002	0.002	0	7.5e-05	0	0	0	0.96	0	0.033	4.1e-05	0	11	0.13
17	0	0	0	0	1.4e-05	1.4e-05	0	0.0033	0	0	0	0.7	0	0.29	0	0	11	0.13
18	0	0	0	0	0.0024	0.0024	0	0	0	0	0	0.99	0	0.0024	0	0	11	0.13
19	0.00072	7.6e-05	0	0.00072	0.00025	0.00025	7.7e-05	0.28	0.18	0.14	0.01	0.28	0.0076	0.1	6.1e-05	0	7	0.87
20	0.46	0	0	0.46	0.0047	0.0047	0	0.023	0	0	0	0	0	0.043	0	1.5e-05	0	0.61
21	0.035	0.003	0	0.035	0	0	0.003	0.0028	0.51	0.092	0.18	0	0.14	0	0	0	8	0.39
22	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0.98	0	14	0.043
23	0.48	0.0035	0	0.48	0.00016	0.00016	0.0035	0	0.00096	2e-05	0.015	0	0.011	3.9e-05	0	2.2e-06	0	0.61
24	0	0	0.96	0	0	0	0	0	0	0	0	0.00015	0	0	0.045	0	2	0
25	0.4	0.011	0	0.4	1.4e-05	1.4e-05	0.011	0	0.0041	3.3e-05	0.094	0	0.071	0	0	0	0	0.61
26	0.5	0	0	0.5	0.0016	0.0016	0	0.0013	0	0	0	0	0	0.0055	0	9e-06	0	0.61
27	0.5	0.00088	0	0.5	0.00086	0.00086	0.0009	7.9e-05	3.1e-06	0	0.00072	0	0.00054	0.0014	0	5.3e-06	0	0.61
28	0.27	0.0046	0	0.27	9e-05	9e-05	0.0047	1e-05	0.21	0.049	0.11	1.3e-05	0.083	9.3e-05	0	1.1e-06	0	0.61
29	0.21	0.0044	0	0.21	5.5e-05	5.5e-05	0.0045	3.3e-06	0.28	0.068	0.12	1.6e-05	0.093	4.2e-05	0	0	8	0.39
30	0.5	0.0015	0	0.5	0.00035	0.00035	0.0016	3.4e-06	1.1e-05	0	0.0019	0	0.0015	0.00019	0	3.4e-06	0	0.61
31	0.47	5.5e-05	0	0.47	0.0081	0.0081	5.6e-05	0.0033	0	0	1.1e-06	0	0	0.043	0	1.8e-05	0	0.61
32	0.28	0.01	0	0.28	0.00012	0.00012	0.01	1.6e-06	0.08	0.0093	0.19	0	0.14	5.3e-05	0	1.9e-06	0	0.61
33	0.48	0.0029	0	0.48	0.0023	0.0023	0.0029	0.0054	0.0005	2.1e-05	0.0094	0	0.007	0.012	0	1e-05	0	0.61
34	0.5	0.0024	0	0.5	0.00044	0.00044	0.0024	0	0	0	0.0012	0	0.00092	6e-05	0	6.1e-06	0	0.61
35	0.15	0.018	0	0.15	3.4e-06	3.4e-06	0.018	0	0.027	0.00045	0.36	0	0.27	0	0	0	10	0.47
36	0.033	0.0033	0	0.033	4.4e-06	4.4e-06	0.0034	0	0.45	0.14	0.19	2.5e-05	0.15	0	0	0	8	0.39
