method	samples	SNVs	clusters	coverage	seed	ARI	RI	dist	recall	precision	inferred_clusters
DECIFER	4	100	8	200	1	0.808016023598	0.954747474747	0.0181208166667	0.89507154213	0.780859916782	7
DECIFER	4	100	8	200	10	0.690238097779	0.921818181818	0.0133466392857	0.893155258765	0.623543123543	6
DECIFER	4	100	8	200	11	0.834957560516	0.961818181818	0.0163900803333	0.90127388535	0.816738816739	7
DECIFER	4	100	8	200	12	0.84754110579	0.963434343434	0.013275135	0.959871589085	0.793103448276	7
DECIFER	4	100	8	200	13	0.914901176484	0.981818181818	0.02062035	0.914614121511	0.936134453782	9
DECIFER	4	100	8	200	14	0.911489799789	0.98	0.01721734875	0.964227642276	0.885074626866	8
DECIFER	4	100	8	200	15	0.819051548115	0.957575757576	0.0148431467188	0.888540031397	0.802836879433	8
DECIFER	4	100	8	200	16	0.946575431174	0.988888888889	0.0202522025	0.934453781513	0.972027972028	11
DECIFER	4	100	8	200	17	0.871950860529	0.970707070707	0.0229446483333	0.957024793388	0.829512893983	7
DECIFER	4	100	8	200	18	0.432987865433	0.827474747475	0.0265927269231	0.778877887789	0.395973154362	5
DECIFER	4	100	8	200	19	0.732295912849	0.94	0.019118215625	0.788368336026	0.746177370031	8
DECIFER	4	100	8	200	2	0.810374497227	0.956565656566	0.0136890242647	0.897858319605	0.780802292264	9
DECIFER	4	100	8	200	20	0.907714134772	0.979595959596	0.01445300875	0.927536231884	0.911392405063	8
DECIFER	4	100	8	200	3	0.826299949672	0.962222222222	0.018105933125	0.874161073826	0.823064770932	8
DECIFER	4	100	8	200	4	0.840635825496	0.963636363636	0.01542956625	0.891719745223	0.833333333333	8
DECIFER	4	100	8	200	5	0.78397754484	0.951717171717	0.0232257840278	0.82268370607	0.800933125972	10
DECIFER	4	100	8	200	6	0.742305256284	0.929494949495	0.0143466935	0.967642526965	0.65690376569	7
DECIFER	4	100	8	200	7	0.768322764479	0.940808080808	0.022189664	0.923913043478	0.709177592372	7
DECIFER	4	100	8	200	8	0.869225181294	0.971919191919	0.0172075372222	0.872964169381	0.897822445561	10
DECIFER	4	100	8	200	9	0.747254783544	0.93898989899	0.0193025916667	0.891447368421	0.696658097686	7
DECIFER	4	500	8	200	1	0.9402310076	0.987054108216	0.00966097125	0.923787236734	0.972695791156	12
