SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0
0	0.48	0	0	0	0.48	0.017	0.017	0	0	4	0.15
1	0.089	0	2.1e-05	2.1e-05	0.089	0.41	0.41	0.00042	0	5	0.23
2	0.49	0	0.006	0.006	0.49	0.0024	0.0024	0	0	4	0.15
3	0.43	0	0.0098	0.0098	0.43	0.061	0.061	0	0	4	0.15
4	0.49	0	0.0012	0.0012	0.49	0.0073	0.0073	0	0	4	0.15
5	0.42	0	0.00062	0.00062	0.42	0.084	0.084	0	0	4	0.15
6	0.026	0	0	0	0.026	0.48	0.47	0.001	0	5	0.23
7	0.39	0	0.0094	0.0094	0.39	0.096	0.096	5.2e-06	0	4	0.15
8	0.5	0	7.1e-05	7.1e-05	0.5	0.0036	0.0036	0	0	4	0.15
9	0.44	0	0.0061	0.0061	0.44	0.055	0.054	1.8e-06	0	4	0.15
10	0.49	0	0.00042	0.00042	0.49	0.0076	0.0075	0	0	4	0.15
11	0.49	0	0.00063	0.00063	0.49	0.014	0.014	0	0	4	0.15
12	0.25	0	0	0	0.25	0.25	0.25	0	0	5	0.23
13	0.47	0	0.0044	0.0044	0.47	0.024	0.024	0	0	4	0.15
14	0.08	0	0	0	0.08	0.42	0.42	0.004	0	5	0.23
15	0.5	0	0.00047	0.00047	0.5	0.00088	0.00088	0	0	4	0.15
16	0.44	0	0	0	0.44	0.061	0.061	1.2e-05	0	4	0.15
17	0.43	0	0.04	0.04	0.43	0.031	0.031	2.7e-06	0	4	0.15
18	0.3	0	2e-05	2e-05	0.3	0.21	0.2	1.9e-05	0	4	0.15
19	0.49	0	0.00092	0.00092	0.49	0.0093	0.0092	0	0	4	0.15
20	0.26	0	6.4e-06	6.4e-06	0.26	0.24	0.24	2.1e-06	0	4	0.15
21	0.43	0	0	0	0.43	0.069	0.069	0.00046	0	4	0.15
22	0.47	0	0.016	0.016	0.47	0.016	0.015	0	0	4	0.15
23	0.49	0	0.0046	0.0046	0.49	0.00076	0.00075	0	0	4	0.15
24	0.39	0	0	0	0.39	0.11	0.11	0.00054	0	4	0.15
25	0.49	0	5.1e-05	5.1e-05	0.49	0.0093	0.0093	0	0	4	0.15
26	0.32	0	6.5e-05	6.5e-05	0.32	0.18	0.18	1.4e-05	0	4	0.15
27	0.16	0	0	0	0.16	0.34	0.34	0	0	5	0.23
28	0.17	0	0	0	0.17	0.33	0.33	1.4e-06	0	5	0.23
29	0.25	0	0	0	0.25	0.25	0.25	1.1e-05	0	4	0.15
30	0.45	0	0	0	0.45	0.048	0.048	2.6e-05	0	4	0.15
31	0.44	0	0.017	0.017	0.44	0.04	0.04	1.9e-06	0	4	0.15
32	0.36	0	0.00052	0.00052	0.36	0.13	0.13	1.6e-05	0	4	0.15
33	0.34	0	0	0	0.34	0.16	0.16	0.0013	0	4	0.15
34	0.49	0	0.004	0.004	0.49	0.0051	0.0051	0	0	4	0.15
35	0.44	0	0	0	0.44	0.055	0.055	0	0	4	0.15
36	0.5	0	0.0007	0.0007	0.5	0.0023	0.0023	0	0	4	0.15
37	0.26	0	0	0	0.26	0.24	0.23	3.8e-06	0	4	0.15
38	0.0053	0	0	0	0.0053	0.49	0.49	0.0035	0	5	0.23
39	0.32	0	0	0	0.32	0.17	0.17	0.0015	1.1e-05	4	0.15
40	0.35	0	0.00028	0.00028	0.35	0.15	0.15	4.2e-05	0	4	0.15
41	0.31	0	2.9e-05	2.9e-05	0.31	0.19	0.19	1.6e-06	0	4	0.15
42	0.35	0	0	0	0.35	0.15	0.15	0.00013	0	4	0.15
43	0.46	0	0	0	0.46	0.038	0.037	0.00011	0	4	0.15
44	0.49	0	0.0015	0.0015	0.49	0.012	0.012	0	0	4	0.15
45	0.36	0	1.9e-05	1.9e-05	0.36	0.14	0.14	0.00066	3e-06	4	0.15
46	0.31	0	0	0	0.31	0.19	0.19	0.0022	0.0013	4	0.15
47	0.24	0	2.6e-06	2.6e-06	0.24	0.26	0.26	4.1e-06	0	5	0.23
48	0.0078	0	0	0	0.0078	0.49	0.49	2.5e-05	0	5	0.23
49	0.33	0	0	0	0.33	0.17	0.16	0.0014	0	4	0.15
50	0.35	0	0	0	0.35	0.15	0.15	0.0012	0	4	0.15
51	0.32	0	3.9e-05	3.9e-05	0.32	0.18	0.18	4.8e-05	0	4	0.15
52	0.31	0	0	0	0.31	0.19	0.19	0.00024	0	4	0.15
53	0.12	0	0	0	0.12	0.38	0.38	2.9e-06	0	5	0.23
54	0.49	0	0.0025	0.0025	0.49	0.0067	0.0066	0	0	4	0.15
55	0.07	0	0	0	0.07	0.43	0.43	0	0	5	0.23
56	0.36	0	0.00037	0.00037	0.36	0.14	0.14	0.00024	0	4	0.15
57	0.42	0	0	0	0.42	0.079	0.079	6.1e-05	0	4	0.15
58	0.5	0	0.0018	0.0018	0.5	0.00059	0.00059	0	0	4	0.15
59	0.47	0	2.8e-05	2.8e-05	0.47	0.032	0.031	0	0	4	0.15
60	2.6e-05	0	0	0	2.6e-05	0.5	0.5	0.00047	0	5	0.23
61	0.12	2.7e-06	0.38	0.38	0.12	3.3e-05	3.3e-05	0	0	2	0.083
62	0.42	0	0.07	0.07	0.42	0.0055	0.0055	0	0	4	0.15
63	0.066	0	0	0	0.066	0.43	0.43	0	0	5	0.23
64	0.43	0	0.044	0.044	0.43	0.024	0.024	0	0	4	0.15
65	0.49	0	0.00036	0.00036	0.49	0.0071	0.0071	0	0	4	0.15
66	0.43	0	0.037	0.037	0.43	0.03	0.03	0	0	4	0.15
67	0.5	0	2.6e-05	2.6e-05	0.5	0.0009	0.0009	0	0	4	0.15
68	0.4	0	0.015	0.015	0.4	0.081	0.08	4.1e-06	0	4	0.15
69	0.0053	0	0.49	0.49	0.0053	0	0	0	0	2	0.083
70	0.45	0	0.043	0.043	0.45	0.0085	0.0085	0	0	4	0.15
71	0.45	0	0.031	0.031	0.45	0.017	0.017	0	0	4	0.15
72	0.43	0	0.0047	0.0047	0.43	0.062	0.061	0	0	4	0.15
73	0.5	0	0.00055	0.00055	0.5	0.00042	0.00042	0	0	4	0.15
74	0.073	0	0.22	0.22	0.073	0.21	0.21	0	0	2	0.083
75	0.093	0	9.9e-05	9.9e-05	0.093	0.41	0.4	0.0034	1.4e-05	5	0.23
76	0.099	0	5.4e-05	5.4e-05	0.099	0.4	0.4	0.00094	0	5	0.23
77	0.49	0	0.0036	0.0036	0.49	0.0046	0.0045	0	0	4	0.15
78	0.48	0	0.0021	0.0021	0.48	0.02	0.019	0	0	4	0.15
