SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
0	0.38	0	0.62	0	2	0.31
1	1	0	0.00059	0	0	0.26
2	0.95	0	0.055	0	0	0.26
3	0	0.00012	0	1	3	0
4	0.69	0	0.31	0	0	0.26
5	0.87	0	0.13	0	0	0.26
6	0.45	0	0.55	0	2	0.31
7	0.94	0	0.057	0	0	0.26
8	0.98	0	0.023	0	0	0.26
9	1	0	0.0047	0	0	0.26
10	0.85	0	0.15	0	0	0.26
11	0	0.042	0	0.96	3	0
12	0.46	0	0.54	0	2	0.31
13	0.98	0	0.02	0	0	0.26
14	1	0	0.0027	0	0	0.26
15	0.31	0	0.69	0	2	0.31
16	0	1	0	0	1	0.029
17	0.83	0	0.17	0	0	0.26
18	0.89	0	0.11	0	0	0.26
19	0.83	0	0.17	0	0	0.26
20	0.94	0	0.059	0	0	0.26
21	0	2.3e-06	0	1	3	0
22	0.86	0	0.14	0	0	0.26
23	0.68	0	0.32	0	0	0.26
24	0.91	0	0.088	0	0	0.26
25	0.68	0	0.32	0	0	0.26
26	0.56	0	0.44	0	0	0.26
27	0.82	0	0.18	0	0	0.26
28	0.64	0	0.36	0	0	0.26
29	0	1	0	0	1	0.029
30	0.27	0	0.73	0	2	0.31
31	0.23	0	0.77	0	2	0.31
32	0.11	0	0.89	0	2	0.31
33	0.89	0	0.11	0	0	0.26
34	0.71	0	0.29	0	0	0.26
35	0.75	0	0.25	0	0	0.26
36	0.98	0	0.019	0	0	0.26
37	1	0	0.00057	0	0	0.26
38	0.2	0	0.8	0	2	0.31
39	0.42	0	0.58	0	2	0.31
40	0	1	0	0	1	0.029
41	0.81	0	0.19	0	0	0.26
42	0.68	0	0.32	0	0	0.26
43	0.83	0	0.17	0	0	0.26
44	0.95	0	0.051	0	0	0.26
45	0.47	0	0.53	0	2	0.31
46	0.71	0	0.29	0	0	0.26
47	0.97	0	0.034	0	0	0.26
48	0.97	0	0.034	0	0	0.26
49	0.99	0	0.014	0	0	0.26
50	0.94	0	0.059	0	0	0.26
51	0.48	0	0.52	0	2	0.31
52	0.88	0	0.12	0	0	0.26
53	0.86	0	0.14	0	0	0.26
54	0.8	0	0.2	0	0	0.26
55	0.58	0	0.42	0	0	0.26
56	0.47	0	0.53	0	2	0.31
57	0	0.0011	0	1	3	0
58	0.51	0	0.49	0	0	0.26
59	0.56	0	0.44	0	0	0.26
60	0	1	0	0	1	0.029
61	0.88	0	0.12	0	0	0.26
62	1	0	0.0011	0	0	0.26
63	0.96	0	0.043	0	0	0.26
64	0.96	0	0.036	0	0	0.26
65	0.5	0	0.5	0	0	0.26
66	0.76	0	0.24	0	0	0.26
67	0.85	0	0.15	0	0	0.26
68	0.62	0	0.38	0	0	0.26
69	0.85	0	0.15	0	0	0.26
70	0.98	0	0.015	0	0	0.26
71	1	0	0.0028	0	0	0.26
72	0.9	0	0.1	0	0	0.26
73	1	0	0.0019	0	0	0.26
74	0.96	0	0.038	0	0	0.26
75	0	0.00037	0	1	3	0
76	0.22	0	0.78	0	2	0.31
77	0.88	0	0.12	0	0	0.26
78	1	0	0.0033	0	0	0.26
