SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
1	0.93	0	0.014	0	0	0	0	0	0	0	0.042	0.017	0	0	0	0	0	0	1.1e-05	0	0	0.43	0.4	0.81	0.37	0.35
2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0014	0	0	0	8	0.41	0.44	0.72	0.6	0.61
5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0.29	0.24
7	1	0	0	0	0	0	0	0	0	0	0.0046	0.00038	0	0	0	0	0	0	2.2e-06	0	0	0.43	0.4	0.81	0.37	0.35
8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0.071	0.062	0	0
10	0.053	0	0	0	0	0	0	0	0	0	0.0021	0.002	0	0	0	0	0.94	0	0	0	16	0.41	0.32	0.72	0.4	0.31
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0.14
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0.14
13	0.0004	0	0	0	0	0	0	0	0.00022	0	0.00021	9.2e-06	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.41	0.071	0.16	0.16	0.31
16	0	0	0	0	0	0	0	0	0	0	0.79	0.21	0	0	0	0	0	0	0	0	10	0.41	0.44	1	0.4	0.31
17	0	0	0	0	0	0	0	0	0	0	0.95	0.048	0	0	0	0	0	0	0	0	10	0.41	0.44	1	0.4	0.31
18	0	0	0	0	0	0	0	0	0	0	0.98	0.015	0	0	0	0	0	0	0	0	10	0.41	0.44	1	0.4	0.31
19	0.064	0	0	0	0	0	0	0	0	0	0.0012	3.2e-05	0	0	0	0	0.82	0	0	0.12	16	0.41	0.32	0.72	0.4	0.31
20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0.29	0.24
21	0.03	0	0	0	0	0	0	0	0	0	2.9e-05	0	0	0	0	0	0.97	0	0	0	16	0.41	0.32	0.72	0.4	0.31
22	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.091	0	0	0.041	0
24	0.54	0	7.7e-06	0	0	0	0	0	0.0029	0	0.036	0.19	0	0	0	0	0.23	0	0	3.8e-05	0	0.43	0.4	0.81	0.37	0.35
25	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
26	1.7e-05	0	0	0	0	0	0	0	1	0	9.4e-05	3.2e-06	0	0	0	0	0.00012	0	0	0	8	0.41	0.44	0.72	0.6	0.61
27	0	0	0	0	0	0.98	0	0	0	0.02	0	0	4e-05	0	0	0	0	0	0	0	5	0.046	0.14	0.72	0.041	0.31
28	0.0039	0	0	0	0	0	0	0	0	0	1.1e-05	6e-06	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
29	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
31	1	0	0	0	0	0	0	0	0	0	0.0033	5.1e-06	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
32	0.13	0	0.0028	0	0	0	0	0	0.33	0	2.9e-05	2.1e-05	0	0	0	0	0.54	0	0	0	16	0.41	0.32	0.72	0.4	0.31
33	0.026	0	1.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0	16	0.41	0.32	0.72	0.4	0.31
34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.43	0.52	1	0.37	0.35
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035	0	0.85	0.14	18	0.41	0.071	0.16	0.16	0.31
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.41	0.25	0.72	0.37	0.31
37	0.002	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00092	0	0	0	8	0.41	0.44	0.72	0.6	0.61
38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
39	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
40	0.19	0	0	0	0	0	0	0	0	0	0.00037	0.0031	0	0	0	0	0.8	0	0	0.00027	16	0.41	0.32	0.72	0.4	0.31
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0.41	0.47	1	0	0
42	5.6e-06	0	0	0	0	0	0	0	1.1e-05	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
43	0.46	0	7.1e-06	0	0	0	0	0	0.0069	0	0.025	0.075	0	0	0	0	0.42	0	0	0.0085	0	0.43	0.4	0.81	0.37	0.35
44	0.0018	0	0	0	0	0	0	0	0.99	0	0.001	0.012	0	0	0	0	2.7e-06	0	0	0	8	0.41	0.44	0.72	0.6	0.61
45	0.013	0	0.04	0	0	0	0	0	0.88	0	0.028	0.0065	0	0	0	0	0.031	0	0	0	8	0.41	0.44	0.72	0.6	0.61
46	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0.97	0	0	0	16	0.41	0.32	0.72	0.4	0.31
47	0.019	0	0.11	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0.87	0	0	0	16	0.41	0.32	0.72	0.4	0.31
48	2.4e-06	0	0	0	0	0	0	0	0.0062	0	0.0001	0.99	0	0	0	0	0	0	0	0	11	0.43	0.52	1	0.37	0.35
49	0.19	0	0.001	0	0	0	0	0	0.086	0	7.4e-06	5.9e-06	0	0	0	0	0.73	0	0	0	16	0.41	0.32	0.72	0.4	0.31
50	0	0	0	0	0.13	0	0	0.87	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0.19	0	0.034
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.091	0	0	0.041	0
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
54	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
56	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
58	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0.071	0.062	0	0
59	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
60	0.00046	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0.0056	0	0	0	8	0.41	0.44	0.72	0.6	0.61
61	0.0003	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0042	0	0	0	8	0.41	0.44	0.72	0.6	0.61
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.74	19	0.41	0.25	0.72	0.37	0.31
63	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0.32	0.72	0.37	0
64	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0.29	0.24
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0.14
67	1.2e-05	0	0	0	0	0	0	0	1	0	0	2e-05	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
68	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0.0064	0	0	12	0.41	0.11	0.12	0	0
69	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
71	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0.32	0.72	0.37	0
72	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
73	0.024	0	0.00042	0	0	0	0	0	0.91	0	0.0047	0.006	0	0	0	0	0.059	0	0	4.8e-05	8	0.41	0.44	0.72	0.6	0.61
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0.14
75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0.29	0.24
76	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
77	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
78	4.6e-05	0	0	0	0	0	0	0	1	0	0	3.8e-06	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
79	0	0	0	0	0	0	0	0	1	0	0	3.9e-05	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
80	0.8	0	6.5e-06	0	0	0	0	0	0	0	0.087	0.012	0	0	0	0	0	0	0.098	0	0	0.43	0.4	0.81	0.37	0.35
81	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
82	1	0	0	0	0	0	0	0	0	0	0.00023	0	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
83	0	0	0	0	0	0	0	0	0	0	3.3e-06	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
84	0.089	0	0	0	0	0	0	0	0	0	0.0022	5.7e-05	0	0	0	0	0	0	0.91	0	18	0.41	0.071	0.16	0.16	0.31
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.091	0	0	0.041	0
87	6.6e-06	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
88	2.4e-06	0	0	0	0	0	0	0	1	0	0	0.00019	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
89	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
90	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
91	0.0012	0	0	0	0	0	0	0	1	0	9.5e-05	0.001	0	0	0	0	3.2e-05	0	0	0	8	0.41	0.44	0.72	0.6	0.61
92	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0.58	0	0	0	16	0.41	0.32	0.72	0.4	0.31
93	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
94	0	0	0	0	0	0	0	0	0	0	6e-06	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
95	0.00075	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
96	0.045	0	0.0042	0	0	0	0	0	0.074	0	6.7e-06	2.4e-06	0	0	0	0	0.88	0	0	0	16	0.41	0.32	0.72	0.4	0.31
97	0.044	0	3.6e-06	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0.92	0	0	0	16	0.41	0.32	0.72	0.4	0.31
98	1	0	0	0	0	0	0	0	0	0	0.0044	8.1e-06	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
99	0.59	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-06	0	0	0	0	0.43	0.4	0.81	0.37	0.35
100	5.7e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
101	0.53	0	0.0041	0	0	0	0	0	0.084	0	0	0	0	0	0	0	0.38	0	0	0	0	0.43	0.4	0.81	0.37	0.35
102	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0.29	0.24
103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0.43	0.4	0.81	0.37	0.35
104	0.0025	0	0.0002	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0.98	0	0	0	16	0.41	0.32	0.72	0.4	0.31
105	0.016	0	0.00011	0	0	0	0	0	0.00019	0	0	0	0	0	0	0	0.98	0	0	0	16	0.41	0.32	0.72	0.4	0.31
106	0.35	0	0	0	0	0	0	0	0	0	0.65	0.0028	0	0	0	0	0	0	0	0	10	0.41	0.44	1	0.4	0.31
107	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0.071	0.062	0	0
108	1	0	0	0	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
109	1	0	0	0	0	0	0	0	0	0	6.4e-06	0	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
110	0	0	0	0	1	0	0	0.00048	0	0.00029	0	0	0	0	0	0	0	0	0	0	4	0	0	0.093	0	0
111	1	0	0	0	0	0	0	0	0	0	7.8e-05	0	0	0	0	0	0	0	5.4e-06	0	0	0.43	0.4	0.81	0.37	0.35
112	0.89	0	0	0	0	0	0	0	0	0	0.00028	2e-05	0	0	0	0	0	0	0.11	0	0	0.43	0.4	0.81	0.37	0.35
113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0.14
115	0	0.12	0	0.63	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
116	0.38	0	0	0	0	0	0	0	0	0	0.62	0.00069	0	0	0	0	0	0	0.00022	0	10	0.41	0.44	1	0.4	0.31
117	1	0	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	7e-06	0	0	0.43	0.4	0.81	0.37	0.35
118	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0.093	0	0
119	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0.32	0.72	0.37	0
120	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
121	0.082	0	0.00088	0	0	0	0	0	0.2	0	3.3e-05	3.9e-05	0	0	0	0	0.71	0	0	0.00031	16	0.41	0.32	0.72	0.4	0.31
122	0.42	0	0.0082	0	0	0	0	0	0.11	0	0.00042	0.00028	0	0	0	0	0.46	0	0	0	16	0.41	0.32	0.72	0.4	0.31
123	1	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
124	0.9	0	0	0	0	0	0	0	0	0	0.036	0.011	0	0	0	0	0.054	0	0	0	0	0.43	0.4	0.81	0.37	0.35
125	0.38	0	0	0	0	0	0	0	0.0045	0	0.22	0.11	0	0	0	0	0.28	0	0	0	0	0.43	0.4	0.81	0.37	0.35
126	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
127	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0.29	0.24
128	0.001	0	0	0	0	0	0	0	0.0013	0	0	4.7e-06	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.41	0.25	0.72	0.37	0.31
130	0.017	0	8.9e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	16	0.41	0.32	0.72	0.4	0.31
131	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	1	0	0	0	0	0	14	0.091	0	0	0.041	0
132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.046	0.14	0.72	0.041	0.31
133	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
134	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.14	0.48	0	0
135	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
136	0.11	0	1e-05	0	0	0	0	0	0.073	0	0.007	7.9e-05	0	0	0	0	0.81	0	0	0	16	0.41	0.32	0.72	0.4	0.31
137	0.2	0	0	0	0	0	0	0	0.0045	0	0.029	0.00036	0	0	0	0	0.77	0	0	0	16	0.41	0.32	0.72	0.4	0.31
138	0.00087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
139	0.82	0	0	0	0	0	0	0	0.0032	0	0.00069	9.9e-05	0	0	0	0	0.18	0	0	0	0	0.43	0.4	0.81	0.37	0.35
140	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	1	0	0	0	0	0	14	0.091	0	0	0.041	0
141	0	0	0	1	0	1.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
142	0.081	0	0	0	0	0	0	0	0.0051	0	0.075	0.62	0	0	0	0	0.21	0	0	0	11	0.43	0.52	1	0.37	0.35
143	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	16	0.41	0.32	0.72	0.4	0.31
144	0.15	0	0.017	0	0	0	0	0	0.013	0	0.55	0.2	0	0	0	0	0.065	0	0	0	10	0.41	0.44	1	0.4	0.31
145	0.63	0	0	0	0	0	0	0	0.37	0	0.00052	7.8e-05	0	0	0	0	0.001	0	0	0	0	0.43	0.4	0.81	0.37	0.35
