SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0.64	2.1e-06	0	0.32	0	0.041	0.0029	0.00025	0	0.00021	0	0	0	0	0.61	0.13
1	0.67	2e-06	0	0.33	0	2e-05	0	4.1e-05	0	0	0	0	0	0	0.61	0.13
2	0.64	0	0	0.32	6.8e-05	0.017	0.025	0.0027	0	0	0.0015	0	0	0	0.61	0.13
3	0.67	0.00054	0	0.33	0	0	0	0	0	0.0045	0	0	0	0	0.61	0.13
4	0.66	0.0028	0	0.33	0	0	0	0	0	0.0046	0	0	0	0	0.61	0.13
5	0.67	0	0	0.33	0	0.0042	0.00026	0.0002	0	0	1.3e-05	0	0	0	0.61	0.13
6	0.67	0.00072	0	0.33	0	0	0	0	0	1.6e-06	0	0	0	0	0.61	0.13
7	0.59	0.11	0	0.29	0	0	0	0	0	2.4e-06	0	0	0	0	0.61	0.13
8	0.63	0.06	0	0.31	0	0	0	0	0	0.00032	0	0	0	0	0.61	0.13
9	0.67	0.00054	0	0.33	0	0	0	0	0	0.0017	0	0	0	0	0.61	0.13
10	0.67	0.0006	0	0.33	0	0	0	0	0	0.003	0	0	0	0	0.61	0.13
11	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0.087	0.014
12	0.65	0.00044	0	0.32	3.2e-05	0.0088	0.016	0.00053	0	0.00053	0.00056	0	0	0	0.61	0.13
13	0.5	7.5e-05	0	0.25	0.00017	0.028	0.22	0.00097	0	0.00022	0.0014	0	0	0	0.61	0.13
14	0.67	6.1e-06	0	0.33	0	0	0	0	0	0.0018	0	0	0	0	0.61	0.13
15	0.64	0.0051	0	0.31	0	0	0	0	0	0.043	0	0	0	0	0.61	0.13
16	0.25	2e-05	0	0.13	0.001	0.022	0.59	0.001	0	6.4e-05	0.0068	0	0	6	0.39	0.087
17	0.62	0.012	0	0.3	0	0	0	0	0	0.068	0	0	0	0	0.61	0.13
18	0.67	5.7e-06	0	0.33	0	0.0012	0	7.5e-05	0	2.3e-06	0	0	0	0	0.61	0.13
19	0.54	3e-05	0	0.26	4.8e-05	0.042	0.16	0.00075	0	0.00067	0.00034	0	0	0	0.61	0.13
20	0.67	2e-05	0	0.33	0	0	0	0	0	0.0015	0	0	0	0	0.61	0.13
21	0.66	0.0027	0	0.33	0	0	0	0	0	0.0052	0	0	0	0	0.61	0.13
22	0.66	0.0023	0	0.33	1.5e-05	0.0021	0.0018	0.00037	0	0.00024	0.00059	0	0	0	0.61	0.13
23	0.66	0.0057	0	0.33	0	0	0	0	0	0.0059	0	0	0	0	0.61	0.13
24	0.67	0.001	0	0.33	0	0	0	0	0	0.00026	0	0	0	0	0.61	0.13
25	0.67	0	0	0.33	0	0.00056	3.3e-05	0.0047	0	0	1.9e-05	0	0	0	0.61	0.13
26	0.59	0.11	0	0.29	0	0	0	0	0	0.00063	0	0	0	0	0.61	0.13
