SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	1	0	0	0.16	0.35
1	1	0	0	0.16	0.35
2	1	0	0	0.16	0.35
3	0	1	1	0.16	0.039
4	1	8.1e-06	0	0.16	0.35
5	0	1	1	0.16	0.039
6	1	0	0	0.16	0.35
7	1	0	0	0.16	0.35
8	1	0	0	0.16	0.35
9	1	0	0	0.16	0.35
10	0	1	1	0.16	0.039
11	1	0	0	0.16	0.35
12	0	1	1	0.16	0.039
13	0	1	1	0.16	0.039
14	1	0	0	0.16	0.35
15	1	0	0	0.16	0.35
16	0	1	1	0.16	0.039
17	0.95	0.047	0	0.16	0.35
18	1	0	0	0.16	0.35
19	1	0	0	0.16	0.35
20	1	0	0	0.16	0.35
21	1	0	0	0.16	0.35
22	0	1	1	0.16	0.039
23	0.96	0.038	0	0.16	0.35
24	1	0	0	0.16	0.35
25	1.6e-05	1	1	0.16	0.039
26	0	1	1	0.16	0.039
27	1	0	0	0.16	0.35
28	0	1	1	0.16	0.039
29	1	0	0	0.16	0.35
30	0	1	1	0.16	0.039
31	1	0	0	0.16	0.35
32	1	0	0	0.16	0.35
33	1	0	0	0.16	0.35
34	1	0.00068	0	0.16	0.35
35	1	2.3e-05	0	0.16	0.35
36	0.99	0.013	0	0.16	0.35
37	0	1	1	0.16	0.039
38	1	0	0	0.16	0.35
39	1	0	0	0.16	0.35
40	0	1	1	0.16	0.039
41	0	1	1	0.16	0.039
42	3e-05	1	1	0.16	0.039
43	0	1	1	0.16	0.039
44	1	0	0	0.16	0.35
45	0.8	0.2	0	0.16	0.35
46	0	1	1	0.16	0.039
47	1	0	0	0.16	0.35
48	1	0	0	0.16	0.35
49	1	0	0	0.16	0.35
50	0	1	1	0.16	0.039
51	1	0	0	0.16	0.35
52	1	0	0	0.16	0.35
53	1	0	0	0.16	0.35
54	0	1	1	0.16	0.039
55	0	1	1	0.16	0.039
56	1	0	0	0.16	0.35
57	1	3.7e-06	0	0.16	0.35
58	1	0	0	0.16	0.35
59	0	1	1	0.16	0.039
60	0	1	1	0.16	0.039
61	1	0	0	0.16	0.35
62	0	1	1	0.16	0.039
63	0	1	1	0.16	0.039
64	1	1.5e-05	0	0.16	0.35
65	1	0	0	0.16	0.35
66	1	0	0	0.16	0.35
67	1	0	0	0.16	0.35
68	1	0	0	0.16	0.35
69	1	0	0	0.16	0.35
70	1	0.0004	0	0.16	0.35
71	0	1	1	0.16	0.039
72	1	0	0	0.16	0.35
73	1	0	0	0.16	0.35
74	1	0	0	0.16	0.35
75	1	0	0	0.16	0.35
76	0	1	1	0.16	0.039
77	1	0	0	0.16	0.35
78	0	1	1	0.16	0.039
79	1	0	0	0.16	0.35
80	1	0	0	0.16	0.35
81	0	1	1	0.16	0.039
82	0.81	0.19	0	0.16	0.35
83	1	0	0	0.16	0.35
84	1	0	0	0.16	0.35
85	1	0	0	0.16	0.35
86	0	1	1	0.16	0.039
87	0	1	1	0.16	0.039
88	1	0	0	0.16	0.35
89	1	0	0	0.16	0.35
90	1	0	0	0.16	0.35
91	0	1	1	0.16	0.039
92	1	0	0	0.16	0.35
93	0	1	1	0.16	0.039
94	0	1	1	0.16	0.039
95	1	0	0	0.16	0.35
96	0	1	1	0.16	0.039
97	0	1	1	0.16	0.039
98	0	1	1	0.16	0.039
99	0	1	1	0.16	0.039
100	0	1	1	0.16	0.039
101	1	0	0	0.16	0.35
