SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	1	0	0	0	0	5	0.32	0.57	0.67
1	1	0	0	0	0	0.0014	0	4.1e-06	0	0	0	0.27	0.43	0.5
2	0	1	0	0	0	0	0	0	0	0	1	0.21	0	0.33
3	0	0	0	0	1	0	0	0	0	0	4	0.03	0.24	0
4	0.00026	0	0	0	0	1	0	0	0	0.00029	5	0.32	0.57	0.67
5	0	0	1	0	0	0	0	0	0	0	2	0.03	0.43	0.11
6	0	0	0	0	0	0	1	0	0	0	6	0.42	0.43	0.94
7	0	1	0	0	0	0	0	0	0	0	1	0.21	0	0.33
8	0	0	0	0	1	0	0	0	0	0	4	0.03	0.24	0
9	1	0	0	6.7e-06	0	0	0	0	0	0	0	0.27	0.43	0.5
10	0.041	0	0.92	0.038	0	0	0	0	0	0	2	0.03	0.43	0.11
11	0.015	0	0	0	0	0.98	0	0	0	0.0019	5	0.32	0.57	0.67
12	0.011	0	0	0	0	7.4e-06	0	0	0	0.99	9	0.42	0.43	0.67
13	0.31	0	0	0	0	0.68	2.2e-05	0	0	0.0052	5	0.32	0.57	0.67
14	0	0	0	0	1	0	0	0	0	0	4	0.03	0.24	0
15	0	0	0	0	1	0	0	0	0	0	4	0.03	0.24	0
16	0	0	0	0	0	1	0	0	0	0	5	0.32	0.57	0.67
17	0.00027	0	0	0	0	1	0	0	0	2.4e-06	5	0.32	0.57	0.67
18	1	0	0	0	0	0	0	0	0	0	0	0.27	0.43	0.5
19	0	0	0	0	0	0	3.4e-06	0	0	1	9	0.42	0.43	0.67
20	0	1	0	0	0	0	0	0	0	0	1	0.21	0	0.33
21	0	0	0	0	0	0	1.3e-06	0	0	1	9	0.42	0.43	0.67
22	1	0	0	0.002	0	0	0	0	0	1e-06	0	0.27	0.43	0.5
23	0	0	0	0	0	0	0.016	0	0	0.98	9	0.42	0.43	0.67
24	0.01	0	0.99	0	0	2e-06	0	0	0	0	2	0.03	0.43	0.11
25	0	0	0	0	0	0	8.5e-06	0	0	1	9	0.42	0.43	0.67
26	0.022	0	0	0	0	0.0097	3.1e-05	0	0	0.97	9	0.42	0.43	0.67
27	0	0	0.0012	0	1	0	0	0	0	0	4	0.03	0.24	0
28	0	1	0	0	0	0	0	0	0	0	1	0.21	0	0.33
29	0	1	0	2.8e-05	0	0	0	0	0	0	1	0.21	0	0.33
30	3.2e-06	0	0	0	0	1	0	0	0	0	5	0.32	0.57	0.67
31	0.99	0	0	0	0	0.013	0	5.3e-05	0	1.7e-06	0	0.27	0.43	0.5
32	0	0	0	0	1	0	0	0	0	0	4	0.03	0.24	0
33	1	0	0	0	0	0	0	0	0	0	0	0.27	0.43	0.5
34	0	1	0	0	0	0	0	0	0	0	1	0.21	0	0.33
