SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	5.6e-06	0.00039	0	0.013	0.00039	5.6e-06	5e-06	0	0	0.98	0.0053	0	9	0.094	0.2	0.13
1	0	0	0	0.71	0	0	0.00096	0	2.2e-06	0.00015	0.29	0	3	0.17	0.2	0.17
2	1.6e-05	0	0	0	0	1.6e-05	0	0	0	0	0	1	11	0	0.044	0.019
3	2.1e-05	0.0064	0	0.014	0.0064	2.1e-05	7.6e-06	0	1.7e-05	0.97	0.0056	0	9	0.094	0.2	0.13
4	0.0011	0.00019	0	0.018	0.00019	0.0011	2.5e-06	0	0	0.97	0.0072	0	9	0.094	0.2	0.13
5	0	0	0	0.43	0	0	0.29	0.12	0.0017	0	0.17	0	3	0.17	0.2	0.17
6	0	0.015	0	0.0029	0.015	0	1.4e-06	0	1.3e-05	0.97	0.0012	0	9	0.094	0.2	0.13
7	0	0	0	7.8e-06	0	0	0	0	0	1	3.1e-06	0	9	0.094	0.2	0.13
8	1.9e-06	4.4e-05	0	0.017	4.4e-05	1.9e-06	6.2e-06	0	0	0.98	0.0068	0	9	0.094	0.2	0.13
9	0	0	0	4.9e-05	0	0	0	0	0	1	1.9e-05	0	9	0.094	0.2	0.13
10	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0.094	0.067	0.076
11	0	1.8e-05	0	0.17	1.8e-05	0	0.0016	4.7e-06	8.4e-06	0.77	0.066	0	9	0.094	0.2	0.13
12	0	0	0	0.00055	0	0	0	0	0.0029	1	0.00022	0	9	0.094	0.2	0.13
13	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0.094	0.067	0.076
14	0	0	0	0.7	0	0	0.024	0	2.5e-05	0	0.28	0	3	0.17	0.2	0.17
15	0	0	0	1e-05	0	0	0	0	0	1	4.1e-06	0	9	0.094	0.2	0.13
16	0	0.0023	0	0.056	0.0023	0	2.8e-05	0	7.5e-05	0.92	0.022	0	9	0.094	0.2	0.13
17	0	5.5e-06	0	0.71	5.5e-06	0	0.0022	0.00077	0.00047	0.0055	0.28	0	3	0.17	0.2	0.17
18	1.5e-06	0.0014	0	0.12	0.0014	1.5e-06	0.0022	1.1e-05	0.001	0.82	0.048	0	9	0.094	0.2	0.13
