SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0
0	0	0.018	0	0	0.0058	0.018	0.018	0.33	0.00087	0.018	0.018	0.28	0	0	0.28	0.007	0	7	0.18
1	0	0.0074	0	0	0.0034	0.0074	0.0074	0.35	9.5e-05	0.0074	0.0074	0.3	0	0	0.3	0.0041	0	7	0.18
2	0	0.043	0	0	0.0079	0.043	0.043	0.28	0.009	0.043	0.043	0.24	0	0	0.24	0.0096	0	7	0.18
3	0	0.02	0	0	0.0049	0.02	0.02	0.33	0.002	0.02	0.02	0.28	0	0	0.28	0.006	0	7	0.18
4	0	0.031	0	0	0.0071	0.031	0.031	0.3	0.00081	0.031	0.031	0.26	0	0	0.26	0.0085	0	7	0.18
5	0	0.055	0	0	0.0068	0.055	0.055	0.25	0.033	0.055	0.055	0.21	0	0	0.21	0.0082	0	7	0.18
6	0	0.025	0	0	0.0065	0.025	0.025	0.32	0.00045	0.025	0.025	0.27	0	0	0.27	0.0078	0	7	0.18
7	0	0.02	0	0	0.0064	0.02	0.02	0.33	0.00061	0.02	0.02	0.28	0	0	0.28	0.0077	0	7	0.18
8	0	0.01	0	0	0.0055	0.01	0.01	0.34	3.2e-05	0.01	0.01	0.3	0	0	0.3	0.0067	0	7	0.18
9	0	0.033	0	0	0.0057	0.033	0.033	0.3	0.0099	0.033	0.033	0.26	0	0	0.26	0.0069	0	7	0.18
10	0	0.064	0	0	0.0086	0.064	0.064	0.24	0.0069	0.064	0.064	0.21	0	0	0.21	0.01	0	7	0.18
11	0	0.022	0	0	0.0072	0.022	0.022	0.32	0.00043	0.022	0.022	0.28	0	0	0.28	0.0087	0	7	0.18
12	0	0.039	0	0	0.0081	0.039	0.039	0.29	0.0038	0.039	0.039	0.25	0	0	0.25	0.0099	0	7	0.18
13	0	0.067	0	0	0.0088	0.067	0.067	0.23	0.032	0.067	0.067	0.19	0	0	0.19	0.011	0	7	0.18
14	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	1	16	0
15	0	0.04	0	0	0.0094	0.04	0.04	0.29	0.00094	0.04	0.04	0.25	0	0	0.25	0.011	0	7	0.18
16	0	0.0077	0	0	0.0047	0.0077	0.0077	0.35	2.3e-05	0.0077	0.0077	0.3	0	0	0.3	0.0056	0	7	0.18
17	0	0.0065	0	0	0.0039	0.0065	0.0065	0.35	5.3e-05	0.0065	0.0065	0.3	0	0	0.3	0.0047	0	7	0.18
18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.02
19	0	0.013	0	0	0.0052	0.013	0.013	0.34	0.00022	0.013	0.013	0.29	0	0	0.29	0.0063	0	7	0.18
20	0	0.049	0	0	0.0091	0.049	0.049	0.27	0.0045	0.049	0.049	0.23	0	0	0.23	0.011	0	7	0.18
21	0	0.0083	0	0	0.0044	0.0083	0.0083	0.35	6.6e-05	0.0083	0.0083	0.3	0	0	0.3	0.0054	0	7	0.18
22	0	0.11	0	0	0.0087	0.11	0.11	0.12	0.097	0.11	0.11	0.11	0	0	0.11	0.011	0	7	0.18
23	0	0.045	0	0	0.008	0.045	0.045	0.27	0.011	0.045	0.045	0.24	0	0	0.24	0.0097	0	7	0.18
24	0	0.005	0	0	0.0037	0.005	0.005	0.36	1.4e-05	0.005	0.005	0.31	0	0	0.31	0.0044	0	7	0.18
25	0	0.025	0	0	0.0063	0.025	0.025	0.32	0.0029	0.025	0.025	0.27	0	0	0.27	0.0076	0	7	0.18
26	0	0.016	0	0	0.0057	0.016	0.016	0.33	0.00052	0.016	0.016	0.29	0	0	0.29	0.0068	0	7	0.18
27	0	0	0	0	0	0	0	0	0	0	0	0	0.0076	0	0	0	0.99	16	0
28	0	0.032	0	0	0.0079	0.032	0.032	0.3	0.0018	0.032	0.032	0.26	0	0	0.26	0.0095	0	7	0.18
29	0	0.00014	0	0	0.00067	0.00014	0.00014	0.37	0	0.00014	0.00014	0.32	0	0	0.32	0.00081	0	7	0.18
30	0	0.017	0	0	0.0056	0.017	0.017	0.33	0.00074	0.017	0.017	0.29	0	0	0.29	0.0068	0	7	0.18
31	0	0.031	0	0	0.0071	0.031	0.031	0.3	0.004	0.031	0.031	0.26	0	0	0.26	0.0086	0	7	0.18
32	0	0.0001	0	0	0.00061	0.0001	0.0001	0.37	0	0.0001	0.0001	0.32	0	0	0.32	0.00074	0	7	0.18
33	0	0.017	0	0	0.0065	0.017	0.017	0.33	0.00016	0.017	0.017	0.28	0	0	0.28	0.0079	0	7	0.18
34	0	0.023	0	0	0.0058	0.023	0.023	0.32	0.0043	0.023	0.023	0.27	0	0	0.27	0.007	0	7	0.18
35	0	0.053	0	0	0.0089	0.053	0.053	0.26	0.0084	0.053	0.053	0.22	0	0	0.22	0.011	0	7	0.18
36	0	0.041	0	0	0.0086	0.041	0.041	0.28	0.0031	0.041	0.041	0.24	0	0	0.24	0.01	0	7	0.18
37	0	0.037	0	0	0.0076	0.037	0.037	0.29	0.0059	0.037	0.037	0.25	0	0	0.25	0.0092	0	7	0.18
38	0	0.018	0	0	0.0068	0.018	0.018	0.33	0.00015	0.018	0.018	0.28	0	0	0.28	0.0082	0	7	0.18
39	0	0.00031	0	0	0.001	0.00031	0.00031	0.37	0	0.00031	0.00031	0.31	0	0	0.31	0.0012	0	7	0.18
40	0	0.0027	0	0	0.003	0.0027	0.0027	0.36	1.1e-06	0.0027	0.0027	0.31	0	0	0.31	0.0037	0	7	0.18
41	0	0.046	0	0	0.0089	0.046	0.046	0.28	0.0039	0.046	0.046	0.24	0	0	0.24	0.011	0	7	0.18
42	0	0.02	0	0	0.0062	0.02	0.02	0.33	0.00092	0.02	0.02	0.28	0	0	0.28	0.0075	0	7	0.18
43	0	0.11	0	0	0.0089	0.11	0.11	0.13	0.088	0.11	0.11	0.11	0	0	0.11	0.011	0	7	0.18
44	0	0.012	0	0	0.0046	0.012	0.012	0.34	0.00066	0.012	0.012	0.29	0	0	0.29	0.0056	0	7	0.18
45	0	0.029	0	0	0.0069	0.029	0.029	0.31	0.0036	0.029	0.029	0.26	0	0	0.26	0.0084	0	7	0.18
46	0	0.03	0	0	0.0087	0.03	0.03	0.31	0.00039	0.03	0.03	0.26	0	0	0.26	0.01	0	7	0.18
47	0	0.0023	0	0	0.0025	0.0023	0.0023	0.36	2.9e-06	0.0023	0.0023	0.31	0	0	0.31	0.003	0	7	0.18
48	0	0.0018	0	0	0.0023	0.0018	0.0018	0.36	0	0.0018	0.0018	0.31	0	0	0.31	0.0028	0	7	0.18
