SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0.16	0.32	0.029	0	0	0	8e-05	0	0	0	0	0.49	0	0	0	11	0.25	0.33
1	0	0	0.013	0	0.21	0	0	8.3e-05	0	0	0	0	0	0.00075	0.78	14	0.36	0.56
2	0.059	0.12	0.022	0	1e-05	0	0.71	0	0	0	0	0.087	1.4e-06	6.4e-06	1.5e-06	6	0.28	0.19
3	0	0	0.011	0	0.00011	0	0	0	0	0	0	1.9e-06	0	0.99	0.004	13	0.23	0.52
4	0.08	0.16	0.69	0	0.018	0	0.0012	1.8e-05	0	0	0	0.039	0	0.00085	0.0063	2	0.32	0.42
5	0.043	0.087	0.75	0	0.023	0	0.00062	3.9e-05	0	0	0	0.065	0	0.012	0.018	2	0.32	0.42
6	0.00086	0.0017	0.95	0	0.028	0	0	0	0	0	0	0.00016	0	0.00055	0.018	2	0.32	0.42
7	0	0	0.95	0	0.015	0	0	0.019	0	0	0	0	0	0	0.013	2	0.32	0.42
8	0.0019	0.0039	2.3e-06	0	0	0	0.99	0	0	0	0	0.00064	0	0	0	6	0.28	0.19
9	0	0	0.84	0	0.12	0	0	0.0041	0	0	0	0	0	0	0.043	2	0.32	0.42
10	0	0	0.65	0	0.083	0	0	0	0	0	0	0	0	0	0.26	2	0.32	0.42
11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0.11	0.047
12	0.32	0.66	0.0088	0	0	0	0	0	0	0	0	0.0055	0	0	0	1	0.32	0.33
13	0	0	0.76	0	0.093	0	0	3.7e-05	0	0	0	0	0	0	0.15	2	0.32	0.42
14	0	0	0.95	0	0.019	0	0	0.00078	0	0	0	0	0	0	0.028	2	0.32	0.42
15	0	0	0.61	0	0.12	0	0	0.017	0	0	0	0	0	0	0.26	2	0.32	0.42
16	0.0041	0.0082	0.91	0	0.014	0	0	0	0	0	0	0.011	0	0.023	0.025	2	0.32	0.42
17	0.0018	0.0037	0.85	0	0.037	0	0	9.5e-06	0	0	0	0.0035	0	0.026	0.074	2	0.32	0.42
18	0	0	0.74	0	0.098	0	0	0.0045	0	0	0	0	0	2.8e-06	0.16	2	0.32	0.42
19	0	0	0	0	0	0	0	0	0.0002	0	0.95	0	0.048	0	0	10	0.14	0
20	0	0	0.98	0	0.022	0	0	0	0	0	0	0	0	0	0.00073	2	0.32	0.42
21	0	0	0.81	0	0.15	0	0	0.0049	0	0	0	0	0	0	0.043	2	0.32	0.42
22	0.00083	0.0017	0.65	0	0.089	0	0	6.6e-05	0	0	0	0.00086	0	0.018	0.24	2	0.32	0.42
23	0.13	0.27	0.55	0	3.6e-05	0	0	0	0	0	0	0.04	0	0	0	2	0.32	0.42
24	0.28	0.57	0.1	0	3.1e-05	0	0.015	0	0	0	0	0.036	0	0	0	1	0.32	0.33
25	0	0	7.6e-05	0	0.024	0	0	0.00022	0	0	0	0	0	0.00031	0.98	14	0.36	0.56
26	0	0	0	0	0	0	0	0	0	0	1	0	0.002	0	0	10	0.14	0
27	0.0041	0.0084	0.93	0	0.025	0	0	0	0	0	0	0.0014	0	0.0015	0.026	2	0.32	0.42
28	0	0	0.88	0	0.042	0	0	0.066	0	0	0	0	0	0	0.0077	2	0.32	0.42
29	0	0	0.0075	0	0.16	0	0	3.2e-06	0	0	0	0	0	3.6e-05	0.84	14	0.36	0.56
30	0.075	0.15	0.73	0	0.022	0	0.00018	0.00013	0	0	0	0.014	0	0.0001	0.0038	2	0.32	0.42
31	0	0	0	0	0	0	2.3e-06	0	1	0	0	0	3.4e-05	0	0	8	0.036	0.093
32	0.0018	0.0037	0.7	0	0.19	0	0	0.00034	0	0	0	0.00014	0	0.00027	0.1	2	0.32	0.42
33	0	0	0.72	0	0.088	0	0	0.1	0	0	0	0	0	0	0.094	2	0.32	0.42
34	0	0	0.96	0	0.0053	0	0	0.036	0	0	0	0	0	0	0.0008	2	0.32	0.42
35	0.1	0.21	0.66	0	0.0038	0	0.00012	0	0	0	0	0.021	0	3.6e-05	0.00057	2	0.32	0.42
36	0	0	0.0091	0	0.58	0	0	0.00012	0	0	0	0	0	0	0.41	4	0.4	0.51
37	0	0	0.17	0	0.44	0	0	0.0012	0	0	0	0	0	0	0.39	4	0.4	0.51
38	2.9e-05	5.9e-05	0.097	0	0.56	0	0	0.0068	0	0	0	0	0	9e-06	0.34	4	0.4	0.51
39	0	0	1	0	6.9e-06	0	0	0.00031	0	0	0	0	0	0	0	2	0.32	0.42
40	0	0	0.27	0	0.45	0	0	0.18	0	0	0	0	0	0	0.1	4	0.4	0.51
41	0.13	0.27	0.06	0	3.5e-06	0	0.12	0	0	0	0	0.42	0	5.3e-06	0	11	0.25	0.33
42	0	0	0	0	0	0	0	0	1	0	0	0	0.00028	0	0	8	0.036	0.093
43	0	0	0.98	0	0.019	0	0	0	0	0	0	0	0	0	0.0024	2	0.32	0.42
44	0	0	0.77	0	0.13	0	0	0.00031	0	0	0	0	0	0	0.098	2	0.32	0.42
45	0.2	0.4	0.37	0	0.0003	0	0.00062	0	0	0	0	0.03	0	0	1.3e-05	1	0.32	0.33
46	0.067	0.14	0.76	0	0.0078	0	0.00024	3.4e-06	0	0	0	0.028	0	0.00014	0.0017	2	0.32	0.42
47	0.05	0.1	0.75	0	0.028	0	0.00059	8.3e-05	0	0	0	0.05	0	0.0053	0.016	2	0.32	0.42
48	0.03	0.061	0.9	0	0	0	0	0	0	0	0	0.0058	0	0	0	2	0.32	0.42
49	0	0	0.99	0	0.0017	0	0	0.0046	0	0	0	0	0	0	0.00046	2	0.32	0.42
50	0	0	0.99	0	0.0025	0	0	0.0028	0	0	0	0	0	0	0.00073	2	0.32	0.42
51	0	0	0.9	0	0.081	0	0	0.0021	0	0	0	0	0	0	0.017	2	0.32	0.42
52	0	0	0.18	0	0.59	0	0	0.002	0	0	0	0	0	0	0.22	4	0.4	0.51
53	6.7e-05	0.00014	0.2	0	0.58	0	0	0.0076	0	0	0	0	0	1.8e-05	0.21	4	0.4	0.51
54	0.28	0.57	0.13	0	3e-05	0	0.00017	0	0	0	0	0.0088	0	0	0	1	0.32	0.33
55	0	0	0.83	0	0.12	0	0	0.0012	0	0	0	0	0	0	0.045	2	0.32	0.42
56	0.18	0.36	0.36	0	7.2e-05	0	0.00012	0	0	0	0	0.1	0	8.9e-06	5.3e-06	1	0.32	0.33
57	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0.036	0.093
58	0	0	0.23	0	0.53	0	0	2.1e-05	0	0	0	0	0	0	0.24	4	0.4	0.51
59	0	0	0	0	0	0	0	0	2.9e-06	0	0.99	0	0.0095	0	0	10	0.14	0
60	0	0	0	0	0	0	0	0	1	0	0	0	9.5e-05	0	0	8	0.036	0.093
61	0.28	0.58	0.054	0	7.7e-06	0	0.043	0.00048	0	0	0	0.044	0	0	0	1	0.32	0.33
62	0.034	0.068	0.83	0	0.0024	0	1.9e-05	0	0	0	0	0.057	0	0.0034	0.0022	2	0.32	0.42
63	0.062	0.13	0.8	0	0.0046	0	7.6e-06	0	0	0	0	0.011	0	4.1e-05	0.00084	2	0.32	0.42
64	0.055	0.11	0.42	0	0.00033	0	0.0048	0.0012	0	0	0	0.4	0	0.0089	0.00042	2	0.32	0.42
65	0	0	0	0	0	0	5.5e-05	0	0.0094	0	0	0	0.99	0	0	12	0.11	0.047
66	0.16	0.33	0.51	0	0.00016	0	0	0	0	0	0	0.0043	0	0	2.1e-06	2	0.32	0.42
67	0.0023	0.0047	0.8	0	0.071	0	0	3e-05	0	0	0	0.0012	0	0.0074	0.12	2	0.32	0.42
68	5.9e-06	1.2e-05	0.28	0	0.24	0	0	1.8e-06	0	0	0	0	0	0.00031	0.48	14	0.36	0.56
69	0.017	0.034	0.0069	0	0	0	0.002	0	0	0	0	0.94	0	1.6e-05	0	11	0.25	0.33
70	0.025	0.051	0.9	0	0.0059	0	0	0	0	0	0	0.013	0	0.0012	0.0032	2	0.32	0.42
71	0.012	0.024	0.96	0	0.0054	0	0	0	0	0	0	0.00062	0	7.3e-06	0.00066	2	0.32	0.42
72	0	0	0.55	0	0.24	0	0	0.0069	0	0	0	0	0	0	0.2	2	0.32	0.42
73	0.01	0.02	0.97	0	0.0002	0	0	0	0	0	0	7.2e-05	0	0	2.3e-06	2	0.32	0.42
74	0.13	0.26	0.5	0	0.0051	0	0.048	6.4e-06	0	0	0	0.058	0	9e-05	0.0012	2	0.32	0.42
75	0.046	0.094	0.54	0	0	0	0	0	0	0	0	0.32	0	8.7e-06	0	2	0.32	0.42
76	0.011	0.023	0.74	0	0.11	0	6.8e-06	0.0032	0	0	0	0.0048	0	0.0037	0.1	2	0.32	0.42
77	0.074	0.15	0.64	0	0.0033	0	0.0036	0	0	0	0	0.13	0	0.004	0.0019	2	0.32	0.42
78	0	0	0.54	0	0.25	0	0	0.026	0	0	0	0	0	0	0.18	2	0.32	0.42
79	0	0	0.98	0	0.012	0	0	0	0	0	0	0	0	0	0.0086	2	0.32	0.42
80	0	0	0.00022	0	1.6e-06	0	0	1	0	0	0	0	0	0	3.5e-05	7	0.56	0.58
81	0	0	0.74	0	0.11	0	0	0.0033	0	0	0	0	0	0	0.15	2	0.32	0.42
82	0.17	0.35	0.4	0	0.00099	0	0.0056	0	0	0	0	0.081	0	4.2e-05	0.00013	2	0.32	0.42
83	0	0	0.84	0	0.025	0	0	0.03	0	0	0	0	0	3e-06	0.1	2	0.32	0.42
84	0	0	0.012	0	0.9	0	0	0.025	0	0	0	0	0	0	0.064	4	0.4	0.51
