SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0.17	0.26	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.67	0.68	0.64	0.54
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0.2	0	0
4	0.98	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.64	0.6	0.48
5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0.97	15	0	0	0.089	0
7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0.2	0	0
8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
12	0.34	0.38	0.27	0	0	0	0	0	0	0	0	0	0.01	0	0	0	1	0.78	0.68	0.6	0.54
13	0	0.035	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.67	0.68	0.64	0.54
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	0.033	14	0	0	0.18	0
15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0.15	0	0	0
17	0	0	0	0	0	0	0	0	0.0085	4.4e-05	0.99	0	0	0	0	0	10	0	0	0	0.1
18	0	0.88	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.78	0.68	0.6	0.54
19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
20	0	0.00044	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.67	0.68	0.64	0.54
21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.78	0.68	0.6	0.54
22	0	0.52	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.78	0.68	0.6	0.54
23	0	0.12	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.67	0.68	0.64	0.54
24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
25	0	0	0	0	0	0	0	0	1	0	0.0027	0	0	0	0	0	8	0	0	0	0.051
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00031	14	0	0	0.18	0
27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0.31
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.98	15	0	0	0.089	0
29	0.47	0.084	0.44	0	0	0	0	0	0	0	0	0	0.0094	0	0	0	0	0.67	0.64	0.6	0.48
30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.29	0.5	0.33	0.54
31	0	0	0	0	0	0	0	0	0.034	0	0.97	0	0	0	0	0	10	0	0	0	0.1
32	0	0	0	0	0	0	0	1	0	0	0	0.0031	0	0	0	0	7	0.15	0	0	0
33	0.027	0.56	0.21	0	0	0	0	0	0	0	0	0	0.2	0	0	0	1	0.78	0.68	0.6	0.54
34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
35	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
36	1	0.00077	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.64	0.6	0.48
37	0	0	0	0	0	0	0	0.94	0	0	0	0.056	0	0	0	0	7	0.15	0	0	0
38	0	0	0	0	0	0	0	0	0.64	0	0.36	0	0	0	0	0	8	0	0	0	0.051
39	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
40	0	1.2e-06	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.67	0.84	0.56	0.56
41	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0.11	0	0
42	0	0	0	0	0	0	0	0	1	0	0.0018	0	0	0	0	0	8	0	0	0	0.051
43	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0.31
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	1	15	0	0	0.089	0
45	0	0	0	0	0	0	0	0	0.76	0	0.24	0	0	0	0	0	8	0	0	0	0.051
46	0.014	0.12	0.44	0	0	0	0	0	0	0	0	0	0.43	0	0	0	2	0.67	0.68	0.64	0.54
47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0.2	0	0
48	0.13	0.84	0.028	0	0	0	0	0	0	0	0	0	4.2e-06	0	0	0	1	0.78	0.68	0.6	0.54
49	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0.2	0	0
50	0.0063	0.14	0.1	0	0	0	0	0	0	0	0	0	0.75	0	0	0	12	0.67	0.84	0.56	0.56
51	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.67	0.84	0.56	0.56
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5e-06	14	0	0	0.18	0
54	0	0	0	0	0	0	0	1	0	0	0	5.7e-05	0	0	0	0	7	0.15	0	0	0
55	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0.31
56	1.1e-05	1	3.5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.78	0.68	0.6	0.54
57	1	0.0023	0.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.64	0.6	0.48
58	0.83	0.044	0.12	0	0	0	0	0	0	0	0	0	0.0086	0	0	0	0	0.67	0.64	0.6	0.48
59	0.85	0.066	0.083	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0.67	0.64	0.6	0.48
60	0.89	0.007	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.64	0.6	0.48
61	0.01	0.015	0.25	0	0	0	0	0	0	0	0	0	0.73	0	0	0	12	0.67	0.84	0.56	0.56
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0.0073	14	0	0	0.18	0
63	0	0	0	0	0	0	0	0	1	0	0.00056	0	0	0	0	0	8	0	0	0	0.051
64	0.0075	0.83	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.78	0.68	0.6	0.54
65	0.44	0.057	0.48	0	0	0	0	0	0	0	0	0	0.016	0	0	0	2	0.67	0.68	0.64	0.54
66	0.86	0.074	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.64	0.6	0.48
67	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0.15	0	0	0
68	0.00061	0.15	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.67	0.68	0.64	0.54
69	0	0	0	0	0	0	0	0	0.22	0	0.78	0	0	0	0	0	10	0	0	0	0.1
70	0	0	0	0	0	0	0	1	0	0	0	1.8e-06	0	0	0	0	7	0.15	0	0	0
71	0	1	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	1	0.78	0.68	0.6	0.54
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00045	1	15	0	0	0.089	0
73	0	0	0	0	0	0	0	0	2.3e-06	0	1	0	0	0	0	0	10	0	0	0	0.1
74	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
76	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.29	0.5	0.33	0.54
77	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00017	0	0	1	0.78	0.68	0.6	0.54
78	0.56	0.13	0.29	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.67	0.64	0.6	0.48
79	0.15	0.008	0.84	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	2	0.67	0.68	0.64	0.54
80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
81	0.9	0.092	0.012	0	0	0	0	0	0	0	0	0	4.7e-05	0	0	0	0	0.67	0.64	0.6	0.48
82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0.67	0.56	0.56	0.11
83	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0.31
84	0	0	0	0	0	0	0	0	0.032	0.001	0.97	0	0	0	0	0	10	0	0	0	0.1
85	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.15	0.08	0	0
86	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.037	0.04	0.27	0.1
87	0	0	0	0	0	0	0	0	6e-06	0	1	0	0	0	0	0	10	0	0	0	0.1
88	7.9e-05	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.78	0.68	0.6	0.54
