SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0.2	0.47	0.47	0.21	0.2
1	1	0	0	0	0.2	0.47	0.47	0.21	0.2
2	1	0	0.0048	0	0.2	0.47	0.47	0.21	0.2
3	0.87	0	0.13	0	0.2	0.47	0.47	0.21	0.2
4	0	1	0	1	0.2	0.029	0.028	0.029	0.027
5	1	0	0	0	0.2	0.47	0.47	0.21	0.2
6	0	0	1	2	0	0.31	0.36	0.21	0.2
7	1	0	0	0	0.2	0.47	0.47	0.21	0.2
8	0	1	0	1	0.2	0.029	0.028	0.029	0.027
9	1	0	0	0	0.2	0.47	0.47	0.21	0.2
10	1	0	0	0	0.2	0.47	0.47	0.21	0.2
11	1	0	0	0	0.2	0.47	0.47	0.21	0.2
12	0	0	1	2	0	0.31	0.36	0.21	0.2
13	1	0	0	0	0.2	0.47	0.47	0.21	0.2
14	0	0	1	2	0	0.31	0.36	0.21	0.2
15	0	0	1	2	0	0.31	0.36	0.21	0.2
16	0	0	1	2	0	0.31	0.36	0.21	0.2
17	0	1	0	1	0.2	0.029	0.028	0.029	0.027
18	0	0	1	2	0	0.31	0.36	0.21	0.2
19	0	1	0	1	0.2	0.029	0.028	0.029	0.027
20	0	1	0	1	0.2	0.029	0.028	0.029	0.027
21	0	0	1	2	0	0.31	0.36	0.21	0.2
22	1	0	0	0	0.2	0.47	0.47	0.21	0.2
23	1	0	0	0	0.2	0.47	0.47	0.21	0.2
24	0	1	0	1	0.2	0.029	0.028	0.029	0.027
25	6.8e-05	0	1	2	0	0.31	0.36	0.21	0.2
26	0	1	0	1	0.2	0.029	0.028	0.029	0.027
27	1	0	0	0	0.2	0.47	0.47	0.21	0.2
28	0	0	1	2	0	0.31	0.36	0.21	0.2
29	1	0	0	0	0.2	0.47	0.47	0.21	0.2
30	0	1	0	1	0.2	0.029	0.028	0.029	0.027
31	1	0	0	0	0.2	0.47	0.47	0.21	0.2
32	0	0.9	0.1	1	0.2	0.029	0.028	0.029	0.027
33	0	0	1	2	0	0.31	0.36	0.21	0.2
34	0	1	0	1	0.2	0.029	0.028	0.029	0.027
35	0	1	0	1	0.2	0.029	0.028	0.029	0.027
36	1	0	0	0	0.2	0.47	0.47	0.21	0.2
37	1	0	0	0	0.2	0.47	0.47	0.21	0.2
38	1	0	0	0	0.2	0.47	0.47	0.21	0.2
39	0	0	1	2	0	0.31	0.36	0.21	0.2
40	0	1	0	1	0.2	0.029	0.028	0.029	0.027
41	0	1	0	1	0.2	0.029	0.028	0.029	0.027
42	1	0	0	0	0.2	0.47	0.47	0.21	0.2
43	0	1	0	1	0.2	0.029	0.028	0.029	0.027
44	0	1	0	1	0.2	0.029	0.028	0.029	0.027
45	0	1	0	1	0.2	0.029	0.028	0.029	0.027
46	1	0	0	0	0.2	0.47	0.47	0.21	0.2
47	1	0	0	0	0.2	0.47	0.47	0.21	0.2
48	0	1	0	1	0.2	0.029	0.028	0.029	0.027
49	1	0	0	0	0.2	0.47	0.47	0.21	0.2
50	1	0	0	0	0.2	0.47	0.47	0.21	0.2
51	1	0	0	0	0.2	0.47	0.47	0.21	0.2
52	0	0	1	2	0	0.31	0.36	0.21	0.2
53	0	1	0	1	0.2	0.029	0.028	0.029	0.027
54	1	0	0	0	0.2	0.47	0.47	0.21	0.2
55	0	0	1	2	0	0.31	0.36	0.21	0.2
56	1	0	0	0	0.2	0.47	0.47	0.21	0.2
57	0	0	1	2	0	0.31	0.36	0.21	0.2
58	0	0	1	2	0	0.31	0.36	0.21	0.2
59	0	1	0	1	0.2	0.029	0.028	0.029	0.027
60	0	1	0	1	0.2	0.029	0.028	0.029	0.027
61	1	0	0	0	0.2	0.47	0.47	0.21	0.2
62	0	1	0	1	0.2	0.029	0.028	0.029	0.027
63	1	0	0	0	0.2	0.47	0.47	0.21	0.2
64	0	0	1	2	0	0.31	0.36	0.21	0.2
65	0	0	1	2	0	0.31	0.36	0.21	0.2
66	1	0	0	0	0.2	0.47	0.47	0.21	0.2
67	1	0	0	0	0.2	0.47	0.47	0.21	0.2
68	0	0	1	2	0	0.31	0.36	0.21	0.2
69	1	0	0	0	0.2	0.47	0.47	0.21	0.2
70	0	1	0	1	0.2	0.029	0.028	0.029	0.027
71	1	0	0	0	0.2	0.47	0.47	0.21	0.2
72	0	1	0	1	0.2	0.029	0.028	0.029	0.027
73	4.3e-06	0	1	2	0	0.31	0.36	0.21	0.2
74	2e-06	0	1	2	0	0.31	0.36	0.21	0.2
75	1	0	0	0	0.2	0.47	0.47	0.21	0.2
76	1	0	0	0	0.2	0.47	0.47	0.21	0.2
77	0	1	0	1	0.2	0.029	0.028	0.029	0.027
78	1	0	0	0	0.2	0.47	0.47	0.21	0.2
79	0	1	0	1	0.2	0.029	0.028	0.029	0.027
80	0	0	1	2	0	0.31	0.36	0.21	0.2
81	1	0	0	0	0.2	0.47	0.47	0.21	0.2
82	0	0	1	2	0	0.31	0.36	0.21	0.2
83	0	1	0	1	0.2	0.029	0.028	0.029	0.027
84	0	1	0	1	0.2	0.029	0.028	0.029	0.027
85	0	1	0	1	0.2	0.029	0.028	0.029	0.027
86	0	1	0	1	0.2	0.029	0.028	0.029	0.027
87	0	0	1	2	0	0.31	0.36	0.21	0.2
88	0	0.0043	1	2	0	0.31	0.36	0.21	0.2
89	0	1	1.1e-05	1	0.2	0.029	0.028	0.029	0.027
90	1.7e-05	0	1	2	0	0.31	0.36	0.21	0.2
91	0	0	1	2	0	0.31	0.36	0.21	0.2
92	1	0	0	0	0.2	0.47	0.47	0.21	0.2
93	0	1	0	1	0.2	0.029	0.028	0.029	0.027
94	0	1	0	1	0.2	0.029	0.028	0.029	0.027
95	1	0	0	0	0.2	0.47	0.47	0.21	0.2
96	0	1	1.5e-05	1	0.2	0.029	0.028	0.029	0.027
97	0	1	0	1	0.2	0.029	0.028	0.029	0.027
98	0	0	1	2	0	0.31	0.36	0.21	0.2
99	1	0	0	0	0.2	0.47	0.47	0.21	0.2
100	0	1	0	1	0.2	0.029	0.028	0.029	0.027
101	0	0	1	2	0	0.31	0.36	0.21	0.2
102	1	0	0	0	0.2	0.47	0.47	0.21	0.2
103	0	0	1	2	0	0.31	0.36	0.21	0.2
104	1	0	0	0	0.2	0.47	0.47	0.21	0.2
105	1	0	0	0	0.2	0.47	0.47	0.21	0.2
106	1	0	0	0	0.2	0.47	0.47	0.21	0.2
107	0	1	0	1	0.2	0.029	0.028	0.029	0.027
108	1	0	0	0	0.2	0.47	0.47	0.21	0.2
109	0	0	1	2	0	0.31	0.36	0.21	0.2
110	0	1	0	1	0.2	0.029	0.028	0.029	0.027
111	1	0	0	0	0.2	0.47	0.47	0.21	0.2
112	0	0	1	2	0	0.31	0.36	0.21	0.2
113	0	1	0	1	0.2	0.029	0.028	0.029	0.027
114	0	0	1	2	0	0.31	0.36	0.21	0.2
115	0	1	0	1	0.2	0.029	0.028	0.029	0.027
116	0	0	1	2	0	0.31	0.36	0.21	0.2
117	0	1	0	1	0.2	0.029	0.028	0.029	0.027
118	1	0	0	0	0.2	0.47	0.47	0.21	0.2
119	1	0	0	0	0.2	0.47	0.47	0.21	0.2
120	1	0	0	0	0.2	0.47	0.47	0.21	0.2
121	0	0	1	2	0	0.31	0.36	0.21	0.2
122	0	1	0	1	0.2	0.029	0.028	0.029	0.027
123	0	1	0	1	0.2	0.029	0.028	0.029	0.027
124	0	1	0	1	0.2	0.029	0.028	0.029	0.027
125	0	0	1	2	0	0.31	0.36	0.21	0.2
126	0	1	0	1	0.2	0.029	0.028	0.029	0.027
127	1	0	0	0	0.2	0.47	0.47	0.21	0.2
128	1	0	0	0	0.2	0.47	0.47	0.21	0.2
129	0	1	0	1	0.2	0.029	0.028	0.029	0.027
130	0.8	0	0.2	0	0.2	0.47	0.47	0.21	0.2
131	1	0	0	0	0.2	0.47	0.47	0.21	0.2
132	0	1	4e-05	1	0.2	0.029	0.028	0.029	0.027
133	0	0	1	2	0	0.31	0.36	0.21	0.2
134	0	1	0	1	0.2	0.029	0.028	0.029	0.027
135	1	0	0	0	0.2	0.47	0.47	0.21	0.2
136	0	0	1	2	0	0.31	0.36	0.21	0.2
137	0.95	0	0.048	0	0.2	0.47	0.47	0.21	0.2
138	1	0	0	0	0.2	0.47	0.47	0.21	0.2
139	1	0	0	0	0.2	0.47	0.47	0.21	0.2
140	0	1	0	1	0.2	0.029	0.028	0.029	0.027
141	0	1	0	1	0.2	0.029	0.028	0.029	0.027
142	1	0	0	0	0.2	0.47	0.47	0.21	0.2
143	0	1	0	1	0.2	0.029	0.028	0.029	0.027
144	0	1	0	1	0.2	0.029	0.028	0.029	0.027
145	0	1	0	1	0.2	0.029	0.028	0.029	0.027
146	0.5	0	0.5	2	0	0.31	0.36	0.21	0.2
147	1	0	0.0012	0	0.2	0.47	0.47	0.21	0.2
148	0	1	0	1	0.2	0.029	0.028	0.029	0.027
149	0	1.7e-05	1	2	0	0.31	0.36	0.21	0.2
150	1	0	0	0	0.2	0.47	0.47	0.21	0.2
151	0	1	0.00015	1	0.2	0.029	0.028	0.029	0.027
152	1	0	0	0	0.2	0.47	0.47	0.21	0.2
153	0	1	0	1	0.2	0.029	0.028	0.029	0.027
154	0	1	0	1	0.2	0.029	0.028	0.029	0.027
155	0	1	0	1	0.2	0.029	0.028	0.029	0.027
156	1	0	0	0	0.2	0.47	0.47	0.21	0.2
157	0	1	0	1	0.2	0.029	0.028	0.029	0.027
158	0	1	0	1	0.2	0.029	0.028	0.029	0.027
159	0	0	1	2	0	0.31	0.36	0.21	0.2
160	1	0	0	0	0.2	0.47	0.47	0.21	0.2
161	0	1	0	1	0.2	0.029	0.028	0.029	0.027
162	0	1	0	1	0.2	0.029	0.028	0.029	0.027
163	0	0	1	2	0	0.31	0.36	0.21	0.2
164	0	1	0	1	0.2	0.029	0.028	0.029	0.027
165	0	1	0	1	0.2	0.029	0.028	0.029	0.027
166	0	0.99	0.013	1	0.2	0.029	0.028	0.029	0.027
167	1	0	0	0	0.2	0.47	0.47	0.21	0.2
168	1	0	0	0	0.2	0.47	0.47	0.21	0.2
169	0	1	0	1	0.2	0.029	0.028	0.029	0.027
170	0.0022	0	1	2	0	0.31	0.36	0.21	0.2
171	0	0	1	2	0	0.31	0.36	0.21	0.2
172	0	0	1	2	0	0.31	0.36	0.21	0.2
173	0	0	1	2	0	0.31	0.36	0.21	0.2
174	0	1	0	1	0.2	0.029	0.028	0.029	0.027
175	1	0	0	0	0.2	0.47	0.47	0.21	0.2
176	0	0	1	2	0	0.31	0.36	0.21	0.2
177	0	0	1	2	0	0.31	0.36	0.21	0.2
178	0	1	0	1	0.2	0.029	0.028	0.029	0.027
179	0	1	0	1	0.2	0.029	0.028	0.029	0.027
180	1	0	0	0	0.2	0.47	0.47	0.21	0.2
181	0	0	1	2	0	0.31	0.36	0.21	0.2
182	1	0	0	0	0.2	0.47	0.47	0.21	0.2
183	0	0	1	2	0	0.31	0.36	0.21	0.2
184	0	1	0	1	0.2	0.029	0.028	0.029	0.027
185	1	0	0	0	0.2	0.47	0.47	0.21	0.2
186	0	1	0	1	0.2	0.029	0.028	0.029	0.027
187	0	0	1	2	0	0.31	0.36	0.21	0.2
188	0	1	0	1	0.2	0.029	0.028	0.029	0.027
189	1	0	0	0	0.2	0.47	0.47	0.21	0.2
190	1	0	0	0	0.2	0.47	0.47	0.21	0.2
191	0	0	1	2	0	0.31	0.36	0.21	0.2
192	0	1	0	1	0.2	0.029	0.028	0.029	0.027
193	0	1	0	1	0.2	0.029	0.028	0.029	0.027
194	0	1	0	1	0.2	0.029	0.028	0.029	0.027
195	1	0	0	0	0.2	0.47	0.47	0.21	0.2
196	0	1	0	1	0.2	0.029	0.028	0.029	0.027
197	0	1	0	1	0.2	0.029	0.028	0.029	0.027
198	0.35	0	0.65	2	0	0.31	0.36	0.21	0.2
199	0	0.52	0.48	1	0.2	0.029	0.028	0.029	0.027
200	0.0086	0	0.99	2	0	0.31	0.36	0.21	0.2
201	1	0	0	0	0.2	0.47	0.47	0.21	0.2
202	1	0	0	0	0.2	0.47	0.47	0.21	0.2
203	0.00057	0	1	2	0	0.31	0.36	0.21	0.2
204	8.6e-05	0	1	2	0	0.31	0.36	0.21	0.2
205	0	1	0	1	0.2	0.029	0.028	0.029	0.027
206	0.14	0	0.86	2	0	0.31	0.36	0.21	0.2
207	1	0	0	0	0.2	0.47	0.47	0.21	0.2
208	0.21	0	0.79	2	0	0.31	0.36	0.21	0.2
