SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	6.7e-05	0	0	0	0	0	3.1e-05	0	0.6	0.39	0.52	0.49
1	0.99	0	0	0.012	0	0	0	0	0	0.00019	0	0.6	0.39	0.52	0.49
2	1	0	0	0	0	0	0	0	0	0.0019	0	0.6	0.39	0.52	0.49
3	1	0	0	0	0	0	0	0	0	0.00027	0	0.6	0.39	0.52	0.49
4	1	0	0	0	0	0	0	0	0	0.00086	0	0.6	0.39	0.52	0.49
5	1	0	0	0	0	0	0	0	0	0.0012	0	0.6	0.39	0.52	0.49
6	1	0	0	0	0	0	0	0	0	0.00038	0	0.6	0.39	0.52	0.49
7	1	0	0	0	0	0	0	0	0	0.00028	0	0.6	0.39	0.52	0.49
8	1	0	0	0	0	0	0	0	0	0.0025	0	0.6	0.39	0.52	0.49
9	0	0	0	0	0.002	0	0	1	2.4e-05	0	7	0.18	0.17	0.43	0.054
10	1	0	0	0	0	0	0	0	0	0	0	0.6	0.39	0.52	0.49
11	0	0	1	0	0	0	0	0	0	0	2	0.4	0.39	0.053	0
12	0.4	0	0	2.9e-05	0	0	0	0	0	0.6	9	0.64	0.39	0.63	0.55
13	1	0	0	0	0	0	0	0	0	3.1e-06	0	0.6	0.39	0.52	0.49
14	1	0	0	0	0	0	0	0	0	0.0001	0	0.6	0.39	0.52	0.49
15	1	0	0	0	0	0	9.2e-06	0	0	0.00081	0	0.6	0.39	0.52	0.49
16	1	0	0	0	0	0	0	0	0	4.1e-05	0	0.6	0.39	0.52	0.49
17	1	0	0	0.0034	0	0	7.5e-05	0	0	0.00011	0	0.6	0.39	0.52	0.49
18	0	0	0	0	0	0	9.9e-06	0	1	0	8	0.044	0.087	0.053	0.054
19	0.64	0	0	0.36	0	0	0	0	0	0.00011	0	0.6	0.39	0.52	0.49
20	0.98	0	0	0.0026	0	0	0	0	0	0.014	0	0.6	0.39	0.52	0.49
21	0.93	0	0	3.7e-05	0	0	0	0	0	0.068	0	0.6	0.39	0.52	0.49
22	0.59	0	0	1e-06	0	0	0	0	0	0.41	0	0.6	0.39	0.52	0.49
23	0	0	0	0	0	0	1	0	0	0	6	0.4	0.22	0.27	0.33
24	1	0	0	0.00019	0	0	0	0	0	3.7e-06	0	0.6	0.39	0.52	0.49
25	0.98	0	0	0.00029	0	0	0	0	0	0.023	0	0.6	0.39	0.52	0.49
26	1	0	0	8.9e-06	0	0	0	0	0	8.1e-05	0	0.6	0.39	0.52	0.49
27	1	0	0	0.0027	0	0	0	0	0	0.00033	0	0.6	0.39	0.52	0.49
28	0.95	0	0	0.00077	0	0	0	0	0	0.05	0	0.6	0.39	0.52	0.49
29	0	0	0	0	0	0	0	1	0	0	7	0.18	0.17	0.43	0.054
30	1	0	0	7.9e-06	0	0	0	0	0	6.3e-06	0	0.6	0.39	0.52	0.49
31	0	0	0	0	0	1	0	0	0	0	5	0	0.13	0	0
32	0.98	0	0	0.016	0	0	0	0	0	0.00016	0	0.6	0.39	0.52	0.49
33	0.87	0	0	0.13	0	0	0	0	0	0.00083	0	0.6	0.39	0.52	0.49
34	1	0	0	5e-05	0	0	0	0	0	4.6e-05	0	0.6	0.39	0.52	0.49
35	0	0	0	0	0	1	0	0	0	0	5	0	0.13	0	0
36	0.94	0	0	0.0001	0	0	0.055	0	0	1.8e-05	0	0.6	0.39	0.52	0.49
37	0.99	0	0	0.013	0	0	0	0	0	0.0017	0	0.6	0.39	0.52	0.49
38	0.81	0	0	0.041	0	0	0	0	0	0.15	0	0.6	0.39	0.52	0.49
39	1	0	0	8.7e-05	0	0	0	0	0	0.0049	0	0.6	0.39	0.52	0.49
40	0.97	0	0	0.0095	0	0	0	0	0	0.018	0	0.6	0.39	0.52	0.49
41	1	0	0	0.00076	0	0	0	0	0	7.4e-05	0	0.6	0.39	0.52	0.49
42	0.99	0	0	0.011	0	0	0	0	0	9.2e-05	0	0.6	0.39	0.52	0.49
43	1	0	0	0.00028	0	0	0	0	0	1.3e-05	0	0.6	0.39	0.52	0.49
44	0.96	0	0	0.035	0	0	0	0	0	0.0017	0	0.6	0.39	0.52	0.49
45	1	0	0	0.0001	0	0	0	0	0	0	0	0.6	0.39	0.52	0.49
46	0.89	0	0	0.044	0	0	0	0	0	0.063	0	0.6	0.39	0.52	0.49
47	0	0	0	0	0	1	0	0	0	0	5	0	0.13	0	0
48	0.93	0	0	0.073	0	0	0	0	0	0.0004	0	0.6	0.39	0.52	0.49
49	0.92	0	0	0.055	0	0	0	0	0	0.027	0	0.6	0.39	0.52	0.49
50	0.98	0	0	0.00035	0	0	0	0	0	0.023	0	0.6	0.39	0.52	0.49
51	0.98	0	0	0.0013	0	0	0	0	0	0.018	0	0.6	0.39	0.52	0.49
52	0.98	0	0	0.023	0	0	0	0	0	0.0013	0	0.6	0.39	0.52	0.49
53	0.9	0	0	0	0	0	0	0	0	0.1	0	0.6	0.39	0.52	0.49
54	0	0	0	0	0	0	0	1	0	0	7	0.18	0.17	0.43	0.054
55	0	0	0	0	0	0	0.53	0	0.47	0	6	0.4	0.22	0.27	0.33
56	0	0	0	0	0	0	0	1	0	0	7	0.18	0.17	0.43	0.054
57	0.95	0	0	0.052	0	0	0	0	0	3.5e-05	0	0.6	0.39	0.52	0.49
58	0.99	0	0	0.0001	0	0	0	0	0	0.0083	0	0.6	0.39	0.52	0.49
59	0	0	0	0	0	0	0	0	1	0	8	0.044	0.087	0.053	0.054
60	0	0	0	0	0	0	0	0	1	0	8	0.044	0.087	0.053	0.054
61	0.77	0	0	0.23	0	0	0	0	0	0.00038	0	0.6	0.39	0.52	0.49
62	1	0	0	1e-05	0	0	0	0	0	0	0	0.6	0.39	0.52	0.49
63	0.94	0	0	0.055	0	0	0	0	0	1.4e-05	0	0.6	0.39	0.52	0.49
64	1	0	0	2.5e-05	0	0	0	0	0	0.00013	0	0.6	0.39	0.52	0.49
65	0.99	0	0	0.0066	0	0	2e-06	0	0	2.1e-05	0	0.6	0.39	0.52	0.49
66	0.97	0	0	0.026	0	0	2e-06	0	0	0.009	0	0.6	0.39	0.52	0.49
67	1	0	0	0.0011	0	0	0	0	0	0.0014	0	0.6	0.39	0.52	0.49
68	0.98	0	0	0.013	0	0	0	0	0	0.0087	0	0.6	0.39	0.52	0.49
69	0.99	0	0	0.0082	0	0	0	0	0	0.0025	0	0.6	0.39	0.52	0.49
70	0.98	0	0	0.0063	0	0	0	0	0	0.011	0	0.6	0.39	0.52	0.49
