SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0.07	0.07	3.8e-05	0.00041	0	0	3.3e-05	0.1	0.07	0.07	0.1	0.1	2.7e-05	0.35	0	0	0	0.07	0	13	0.28	0.34
1	0.067	0.067	3.2e-05	0.0002	0	0	0	0.093	0.067	0.067	0.093	0.093	2.1e-05	0.38	0	0	0	0.067	0	13	0.28	0.34
2	0.098	0.098	4.9e-05	0.00022	0.00015	0	0.00011	0.069	0.098	0.098	0.069	0.069	0.00015	0.3	0	0	0	0.098	0	13	0.28	0.34
3	0.13	0.13	2.3e-06	1.7e-05	4.1e-06	0	0	0.05	0.13	0.13	0.05	0.05	3.1e-05	0.18	0	0	0	0.13	0	13	0.28	0.34
4	0.088	0.088	7.7e-05	0.00034	4.1e-05	0	0.00049	0.076	0.088	0.088	0.076	0.076	0.00017	0.33	0	0	0	0.088	0	13	0.28	0.34
5	0.13	0.13	9.1e-05	1.5e-05	0.0032	0	0	0.023	0.13	0.13	0.023	0.023	0.002	0.26	0.00091	0	9.4e-05	0.13	0	13	0.28	0.34
6	0.17	0.17	1.4e-06	1.3e-06	0.002	0	0	0.017	0.17	0.17	0.017	0.017	0.00013	0.11	0	0	0	0.17	0	0	0.25	0.34
7	0.016	0.016	1.6e-06	3.8e-05	0.059	0	0.00029	0.011	0.016	0.016	0.011	0.011	1.2e-05	0.027	0	0.8	0	0.016	0	15	0	0.56
8	0.062	0.062	0.00034	0.0002	0	0	4.5e-06	0.06	0.062	0.062	0.06	0.06	0.00024	0.51	0	0	0	0.062	0	13	0.28	0.34
9	0	0	0	0	3.6e-06	0	0	0	0	0	0	0	0	0	0.0046	0	1	0	0	16	0.11	0.11
10	0.072	0.072	0.00079	4.1e-05	0	0	0	0.031	0.072	0.072	0.031	0.031	0.00096	0.55	0	0	0	0.072	0	13	0.28	0.34
11	0.12	0.12	4.2e-05	2.7e-05	2.1e-05	0	0	0.037	0.12	0.12	0.037	0.037	0.00053	0.27	0	0	0	0.12	0	13	0.28	0.34
12	0.11	0.11	0.0001	3e-05	1.2e-06	0	0	0.036	0.11	0.11	0.036	0.036	0.00063	0.34	0	0	0	0.11	0	13	0.28	0.34
13	0.028	0.028	2.5e-05	0.0035	0	0	0.0028	0.18	0.028	0.028	0.18	0.18	1.4e-06	0.31	0	0	0	0.028	0	13	0.28	0.34
14	0.083	0.083	0.00037	0.0002	5.9e-06	0	0.00011	0.051	0.083	0.083	0.051	0.051	0.00073	0.43	7.7e-05	0	0	0.083	0	13	0.28	0.34
15	0.024	0.024	6.6e-06	0.0011	0	0	0	0.18	0.024	0.024	0.18	0.18	0	0.33	0	0	0	0.024	0	13	0.28	0.34
16	0.1	0.1	7.7e-05	0.00018	0.00087	0	0.00018	0.059	0.1	0.1	0.059	0.059	0.00031	0.31	3.4e-06	0	0	0.1	0	13	0.28	0.34
