SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0	2.8e-06	0	0	0	1	5	0.11	0
1	0	0.048	0	0	0	0.95	5	0.11	0
2	1	0	0.00087	0	0	0	0	0.19	0.25
3	0.012	0.99	0.00097	0	0	0	1	0.15	0.028
4	0.00011	3.3e-05	0	0	0	1	5	0.11	0
5	0	1	0	0	0	0	1	0.15	0.028
6	1	0	0	0	0	0	0	0.19	0.25
7	0	1	8.5e-06	0	0	0	1	0.15	0.028
8	0.51	0	0.49	0	0	0	0	0.19	0.25
9	0.96	0	0.045	0	0	0	0	0.19	0.25
10	0.28	5.1e-05	0.72	0	0	0	2	0.11	0.19
11	0.00059	0	1	0	0	0	2	0.11	0.19
12	0.84	0	0.16	0	0	0	0	0.19	0.25
13	1	0	0	0	0	0	0	0.19	0.25
14	0.99	0	0.014	0	0	0	0	0.19	0.25
15	0	0	1	0	0	0	2	0.11	0.19
16	0	0	0	1	0	0	3	0	0.14
17	0	0	0	1	0	0	3	0	0.14
18	1	0	0	0	0	0	0	0.19	0.25
19	1	0	9.2e-06	0	0	0	0	0.19	0.25
20	0.99	0	0.0082	0	0	0	0	0.19	0.25
21	0	0	0	1	0	0	3	0	0.14
22	0.0082	0.97	0.022	0	0	0	1	0.15	0.028
23	1	0	0	0	0	0	0	0.19	0.25
24	0.13	0	0.87	0	0	0	2	0.11	0.19
25	1	0	0.00066	0	0	0	0	0.19	0.25
26	0	0	0	1	0	0	3	0	0.14
27	0	0	1.9e-05	1	0	0	3	0	0.14
28	0	0	4.6e-06	1	0	0	3	0	0.14
29	0.28	0.016	0.7	0	0	0	2	0.11	0.19
30	1	0	0	0	0	0	0	0.19	0.25
31	0.72	0	0.28	0	0	0	0	0.19	0.25
32	1	0	3.8e-05	0	0	0	0	0.19	0.25
33	0.012	0	0.99	0	0	0	2	0.11	0.19
34	1	0	0.0012	0	0	0	0	0.19	0.25
35	0.75	2.1e-05	0.25	0	0	0	0	0.19	0.25
36	0	0	3.6e-05	1	0	0	3	0	0.14
37	1	0	0	0	0	0	0	0.19	0.25
38	0.96	0	0.042	0	0	0	0	0.19	0.25
39	1	0	0.00026	0	0	0	0	0.19	0.25
40	1	0	0	0	0	0	0	0.19	0.25
41	0	1	0.00012	0	0	0	1	0.15	0.028
42	1	0	0	0	0	0	0	0.19	0.25
43	0	0	0	1	0	0	3	0	0.14
44	1	0	0	0	0	0	0	0.19	0.25
45	0.98	0	0.017	0	0	0	0	0.19	0.25
46	0	0	0	1	0	0	3	0	0.14
47	0	0.00049	0	0	0	1	5	0.11	0
48	0.091	0.0095	0.9	0	0	0	2	0.11	0.19
49	0	0	0	1	0	0	3	0	0.14
50	0	4.2e-05	0	0	0	1	5	0.11	0
51	0	7.7e-06	0	0	0	1	5	0.11	0
52	0	0	0	0	1	0	4	0.81	0.25
53	0	2.4e-05	0	0	0	1	5	0.11	0
54	1	0	0	0	0	0	0	0.19	0.25
55	0.64	0	0.36	0	0	0	0	0.19	0.25
56	0	1	0	0	0	0	1	0.15	0.028
57	0	0	0	1	0	0	3	0	0.14
58	0.95	0	0.047	0	0	0	0	0.19	0.25
59	1	0	0	0	0	0	0	0.19	0.25
60	0	0	0	0	0	1	5	0.11	0
61	0	0.00086	0	0	0	1	5	0.11	0
62	0	0.002	0	0	0	1	5	0.11	0
63	1	0	0	0	0	0	0	0.19	0.25
64	1	0	0.00091	0	0	0	0	0.19	0.25
65	0.99	0	0.0053	0	0	0	0	0.19	0.25
