SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0
0	0.33	0	0.22	0.27	0.18	0	0	0	0	0	0	0.26
1	0.99	0	0.00023	0	0.00019	0	0	0	0.013	0	0	0.26
2	0.95	0	0.022	0.012	0.018	0	0	0	0	0	0	0.26
3	0	1	0	0	0	9.5e-05	0	0	0	0	1	0
4	0.69	0	0.13	0.079	0.1	0	0	0	0.0009	0	0	0.26
5	0.87	0	0.051	0.022	0.042	0	4e-06	0	0.013	0	0	0.26
6	0.53	0	0.26	0.002	0.21	0	0	0	0	0	0	0.26
7	0.93	0	0.022	0.00062	0.018	0	0	0	0.024	0	0	0.26
8	0.96	0	0.0089	0.027	0.0073	0	0	0	0	0	0	0.26
9	0.98	0	0.0019	0	0.0015	0	0	0	0.019	0	0	0.26
10	0.88	0	0.062	0.0017	0.051	0	0	0	0.0019	0	0	0.26
11	0	0.97	0	0	0	0.034	8.5e-05	0	0	0	1	0
12	0.49	0	0.23	0.091	0.19	0	0	0	0	0	0	0.26
13	0.3	0	0.0024	0.7	0.0019	0	0	0	0	0	3	0.42
14	0.98	0	0.0011	0	0.00088	0	0	0	0.015	0	0	0.26
15	0.14	0	0.13	0.62	0.11	0	0	0	0	0	3	0.42
16	0	0	0	0	0	8.4e-05	1	0	0	0	6	0.087
17	0.87	0	0.07	0.0035	0.058	0	0	0	0	0	0	0.26
18	0.91	0	0.044	0.0034	0.037	0	0	0	0.0082	0	0	0.26
19	0.85	0	0.068	0.024	0.056	0	0	0	0	0	0	0.26
20	0.96	0	0.024	0.00046	0.02	0	0	0	0	0	0	0.26
21	0	1	0	0	0	0	0	0	0	0	1	0
22	0.9	0	0.056	0.00038	0.046	0	0	0	0.0011	0	0	0.26
23	0.72	0	0.13	0.034	0.11	0	0	0	0	0	0	0.26
24	0.93	0	0.036	0.00059	0.03	0	0	0	0	0	0	0.26
25	0.74	0	0.14	0.01	0.11	0	0	0	0.00034	0	0	0.26
26	0.29	0	0.089	0.55	0.073	0	0	0	0	0	3	0.42
27	0.86	0	0.075	8.3e-06	0.062	0	0	0	4.8e-05	0	0	0.26
28	0.7	0	0.15	0.019	0.13	0	0	0	0	0	0	0.26
29	0	0	0	0	0	1	0	0	0	0	5	0.029
30	0.19	0	0.2	0.44	0.17	0	0	0	0	0	3	0.42
31	0.28	0	0.37	0.035	0.31	0	0	0	0	0	2	0.31
32	0.14	0	0.46	0.021	0.38	0	0	0	0	0	2	0.31
33	0.91	0	0.047	0.0017	0.038	0	0	0	0.0046	0	0	0.26
34	0.68	0	0.11	0.12	0.091	0	0	0	0.00086	0	0	0.26
35	0.74	0	0.098	0.084	0.08	0	0	0	0	0	0	0.26
36	0.99	0	0.0075	0	0.0062	0	0	0	0.0011	0	0	0.26
37	0.99	0	0.00023	0.0061	0.00019	0	0	0	0	0	0	0.26
38	0.14	0	0.23	0.44	0.19	0	0	0	0	0	3	0.42
39	0.5	0	0.27	0.00086	0.23	0	0	0	0	0	0	0.26
40	0	0	0	0	0	0.00021	1	0	0	0	6	0.087
41	0.83	0	0.077	0.025	0.063	0	0	0	0.0039	0	0	0.26
42	0.74	0	0.14	0.0023	0.11	0	0	0	0.00013	0	0	0.26
43	0.53	0	0.043	0.39	0.035	0	0	0	0	0	0	0.26
44	0.96	0	0.02	0.0018	0.017	0	0	0	0	0	0	0.26
45	0.49	0	0.22	0.1	0.18	0	0	0	0	0	0	0.26
46	0.74	0	0.12	0.042	0.098	0	0	0	0	0	0	0.26
47	0.95	0	0.013	5.7e-05	0.011	0	0	0	0.028	0	0	0.26
48	0.94	0	0.013	8.1e-05	0.011	0	0	0	0.034	0	0	0.26
49	0.86	0	0.0049	0.13	0.004	0	0	0	0	0	0	0.26
50	0.96	0	0.024	0	0.02	0	0	0	0.00029	0	0	0.26
51	0.56	0	0.24	0.00059	0.2	0	0	0	0	0	0	0.26
52	0.88	0	0.048	0.03	0.039	0	0	0	0	0	0	0.26
53	0.85	0	0.055	0.045	0.045	0	0	0	0	0	0	0.26
54	0.81	0	0.082	0.043	0.068	0	0	0	0	0	0	0.26
55	0.54	0	0.16	0.17	0.13	0	0	0	0	0	0	0.26
56	0.51	0	0.23	0.066	0.19	0	0	0	0	0	0	0.26
57	0	1	0	0	0	0.00085	0	0	0	0	1	0
58	0.48	0	0.18	0.19	0.15	0	0	0	0	0	0	0.26
59	0.53	0	0.17	0.16	0.14	0	0	0	0	0	0	0.26
60	0	0	0	0	0	1	0	0	0	0	5	0.029
61	0.91	0	0.048	6e-05	0.039	0	0	0	0.00068	0	0	0.26
62	0.92	0	0.00039	0	0.00032	0	0	0	0.076	0	0	0.26
63	0.97	0	0.017	2.9e-06	0.014	0	0	0	0.0025	0	0	0.26
64	0.93	0	0.014	0.044	0.011	0	0	0	0	0	0	0.26
65	0.58	0	0.23	0.0022	0.19	0	0	0	0	0	0	0.26
66	0.81	0	0.1	1.2e-05	0.086	0	0	0	0	0	0	0.26
67	0.87	0	0.06	0.017	0.049	0	0	0	0.0073	0	0	0.26
68	0.68	0	0.16	0.023	0.13	0	0	0	0	0	0	0.26
69	0.84	0	0.057	0.058	0.047	0	0	0	5.6e-06	0	0	0.26
70	0.98	0	0.0059	0.014	0.0049	0	0	0	0	0	0	0.26
71	0.99	0	0.0011	0.0083	0.00092	0	0	0	0	0	0	0.26
72	0.92	0	0.041	0.00016	0.033	0	0	0	0.002	0	0	0.26
73	0.56	0	0.00043	0	0.00036	0	0.0022	0	0.43	0	0	0.26
74	0.93	0	0.015	0.00025	0.012	0	2.1e-05	0	0.045	0	0	0.26
75	0	1	0	0	0	0.00029	0	0	0	0	1	0
76	0.13	0	0.19	0.52	0.16	0	0	0	0	0	3	0.42
77	0.83	0	0.047	0.082	0.039	0	0	0	0	0	0	0.26
78	0.93	0	0.0012	0	0.001	0	0	0	0.071	0	0	0.26
79	0.79	0	0.094	0.036	0.077	0	0	0	0	0	0	0.26
80	0.72	0	0.13	0.036	0.11	0	0	0	0	0	0	0.26
81	0.45	0	0.3	0.00015	0.25	0	0	0	0	0	0	0.26
82	0.96	0	0.00073	0	0.0006	0	0	0	0.036	0	0	0.26
83	0.9	0	0.053	0.00014	0.043	0	0	0	0.00078	0	0	0.26
84	0.97	0	0.012	2.6e-06	0.0098	0	0	0	0.0067	0	0	0.26
85	0.81	0	0.1	0.001	0.085	0	0	0	0	0	0	0.26
86	0.072	0	0.091	0.76	0.075	0	0	0	0	0	3	0.42
87	0.83	0	0.029	0.12	0.024	0	0	0	0	0	0	0.26
88	0.95	0	0.021	4.5e-05	0.018	0	0	0	0.0064	0	0	0.26
89	0.96	0	0.022	1.4e-05	0.018	0	0	0	0.003	0	0	0.26
90	0.93	0	0.025	0.027	0.02	0	0	0	0	0	0	0.26
91	0.79	0	0.078	0.07	0.064	0	0	0	0.0032	0	0	0.26
92	0.85	0	0.071	0.019	0.058	0	0	0	0	0	0	0.26
93	0.9	0	0.042	0.02	0.034	0	0	0	0	0	0	0.26
94	0.95	0	0.013	0.027	0.011	0	0	0	0	0	0	0.26
95	0	1	0	0	0	0.001	0	0	0	0	1	0
96	0.94	0	0.015	0.00017	0.012	0	2.7e-06	0	0.037	0	0	0.26
97	0.8	0	0.019	0.17	0.016	0	0	0	0	0	0	0.26
98	0.79	0	0.12	0.0018	0.095	0	0	0	0	0	0	0.26
99	0.94	0	0.02	0.00022	0.016	0	0	0	0.019	0	0	0.26
100	0.49	0	0.22	0.1	0.18	0	0	0	0	0	0	0.26
101	0.3	0	0.051	0.61	0.042	0	0	0	0	0	3	0.42
102	0.3	0	0.37	0.038	0.3	0	0	0	0	0	2	0.31
103	0.9	0	0.057	9.3e-05	0.047	0	0	0	0	0	0	0.26
104	0	0	0	0	0	1	3.3e-05	0	0	0	5	0.029
105	0.005	0	5.4e-05	0.63	4.4e-05	0	0	0	0	0.36	3	0.42
106	0.79	0.21	0	0	0	0	0	0	0	0	0	0.26
107	1	0	8.9e-05	0	7.3e-05	0	0	0	0	1.2e-06	0	0.26
108	0.41	0	0.00015	0	0.00012	0	0	0	0	0.59	9	0.84
109	0.77	0	1.4e-06	0.00013	1.2e-06	0	0	0	0.23	0	0	0.26
110	0	0	0.0013	0	0.001	1	0	0	0	0	5	0.029
111	0.89	0	0.00071	0.0076	0.00058	0	0	0	0.1	0	0	0.26
112	0.97	0	0.0085	0.00027	0.007	0	0	0	0.013	0	0	0.26
113	0.0026	0	0.00073	0.87	0.0006	0	0	0	0	0.12	3	0.42
114	0.87	0	0.066	0.0056	0.054	0	0	0	0.0032	0	0	0.26
115	0.98	0	0.0041	0.00026	0.0034	0	0	0	0.017	0	0	0.26
116	0.79	0.21	0	0	0	1.5e-05	0	0	0	0	0	0.26
117	0	0	0.045	0	0.037	0.92	0.00014	0	0	0	5	0.029
118	0.85	0	0.081	1.8e-05	0.067	0	0	0	6.2e-05	0	0	0.26
119	0.9	0	0.0054	0.023	0.0045	0	3.1e-06	0	0.072	0	0	0.26
120	0.97	0	0.007	0.00028	0.0058	0	0	0	0.014	0	0	0.26
121	0	0	0.0043	0	0.0035	0.99	0	0	0	0	5	0.029
122	0.00084	0	0.0064	0.97	0.0053	0	0	0	0	0.019	3	0.42
123	0	0	0.058	0	0.048	0.89	0.00018	0	0	0	5	0.029
124	0.98	0	0.0035	0	0.0029	0	0	0	0	0.013	0	0.26
125	0.88	0	0.064	0.00048	0.052	0	0	0	0	0	0	0.26
126	0.99	0	0.0047	0	0.0039	0	0	0	0	0	0	0.26
127	0	0	7.8e-06	0	6.4e-06	1	0	0	0	0	5	0.029
128	0	0	0.022	0	0.018	0.96	5.7e-06	0	0	0	5	0.029
129	0.97	0	0.014	4.4e-06	0.012	0	0	0	0	0	0	0.26
130	0	0	0.03	0	0.025	0.95	1.7e-05	0	0	0	5	0.029
131	0	0	0.0079	0	0.0065	0.99	0	0	0	0	5	0.029
132	0	0	0.048	0	0.04	0.91	0.00017	0	0	0	5	0.029
133	0	0	0.0098	0	0.0081	0.98	0	0	0	0	5	0.029
134	0.94	0	0.034	0.0014	0.028	0	0	0	0	0.0016	0	0.26
135	0	0	0.081	0	0.067	0.85	0.00021	0	0	0	5	0.029
136	0	0	0.00032	1	0.00027	0	0	0	0	0.0022	3	0.42
137	0	0	0.26	0.017	0.21	0.00095	0.51	0	0.00015	0	6	0.087
138	0	0	2.4e-06	0	2e-06	1	0	0	0	0	5	0.029
139	0.52	0	8.6e-05	0.11	7e-05	0	0	0	0.37	0	0	0.26
140	3.4e-05	0	0.027	0.25	0.022	2.6e-06	0.69	0	0.0037	0	6	0.087
141	0.79	0.21	0	0	0	0	0	0	0	0	0	0.26
142	0	0	0	0.22	0	0	0	0	0	0.78	9	0.84
143	0.79	0.21	1.4e-05	0	1.2e-05	0.0008	0	0	0	0	0	0.26
144	1	0	0.00046	0	0.00038	0	0	0	0	1.2e-05	0	0.26
145	0	0	0.11	0	0.088	0.8	0.0013	0	0	0	5	0.029
146	0.97	0	0.015	1.9e-05	0.012	0	0	0	0	7.6e-05	0	0.26
147	0	0	0.045	0	0.037	0.92	6.8e-05	0	0	0	5	0.029
148	0	0	0.076	0	0.063	0.86	0.00037	0	0	0	5	0.029
149	0.88	0	0.065	0.0013	0.053	0	0	0	0	0	0	0.26
150	0.0014	0	0.0016	0.92	0.0013	0	0	0	0	0.074	3	0.42
151	0.97	0	0.00023	4.4e-05	0.00019	0	0	0	0.027	0	0	0.26
152	0.58	0	4.3e-05	0.044	3.6e-05	0	0	0	0.38	0	0	0.26
153	0.79	0.21	0	0	0	0	0	0	0	0	0	0.26
154	0.92	0	0.041	1.1e-05	0.034	0	0	0	0.00043	0	0	0.26
155	0.86	0	0.069	0.008	0.057	0	0	0	0.0033	0	0	0.26
156	0	0	0.0015	0	0.0012	1	0	0	0	0	5	0.029
157	0.63	0	7.4e-06	0.0048	6.1e-06	0	0	0	0.37	0	0	0.26
158	0	0	0	0	0	1	0	0	0	0	5	0.029
159	5.5e-05	0	0	0.12	0	0	0	0	0	0.88	9	0.84
160	0.79	0.21	0	0	0	0	0	0	0	0	0	0.26
161	0.032	0	0.00053	0.72	0.00044	0	0	0	0	0.25	3	0.42
162	0	0	0.0019	0	0.0016	1	0	0	0	0	5	0.029
163	0	0	0.014	0	0.011	0.97	0	0	0	0	5	0.029
164	0.94	0	0.03	7.6e-05	0.024	0	0	0	0.0042	0	0	0.26
165	0.99	0	0.0011	0	0.00091	0	0	0	0.0095	0	0	0.26
166	0.95	0	0.02	9.8e-05	0.016	0	0	0	0.015	0	0	0.26
167	0.17	0	0.19	0.48	0.16	0	0	0	9.4e-06	1.7e-05	3	0.42
168	6.1e-05	0	1.3e-06	0.52	1.1e-06	0	0	0	0	0.48	3	0.42
169	0.1	0	0.41	0.15	0.34	0	0	0	0	0	2	0.31
170	0.96	0	0.019	6.8e-06	0.016	0	0	0	0	0.00073	0	0.26
171	0.82	0	0.09	0.01	0.074	0	0	0	0	0.0038	0	0.26
172	0.52	0	0.23	0.055	0.19	0	0	0	0	0.01	0	0.26
173	0.99	0	0.0066	0	0.0054	0	0	0	0	0.00025	0	0.26
174	0.68	0	0.18	4.6e-05	0.15	0	0	0	6.9e-06	0	0	0.26
175	0.3	0	0.00018	0	0.00015	2.2e-06	0.27	0	0.42	0	8	0.2
176	8.4e-05	0	3.9e-06	1	3.2e-06	0	0	0	0	0	3	0.42
177	0.74	0	0.12	0.035	0.1	0	0	0	0.0011	0	0	0.26
178	0.75	0	0.14	2.4e-05	0.11	0	0	0	1.4e-05	0	0	0.26
179	0	0.94	0	0	0	0.058	0.00046	0	0	0	1	0
180	0	0	0	1	0	0	0	0	0	0	3	0.42
181	0.33	0	0.3	0.12	0.25	0	0	0	1.3e-05	0	0	0.26
