SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	2e-05	0	8.4e-06	0	0	0	0.39	0.35	0.2	0.4	0.17
1	0.97	0.00031	0	0.032	0	0	0	0.39	0.35	0.2	0.4	0.17
2	0.95	0.027	0	0.024	0	0	0	0.39	0.35	0.2	0.4	0.17
3	0	0	1	0	0	0	2	0	0	0	0.044	0.094
4	0.96	3.8e-05	0	0.035	0	0	0	0.39	0.35	0.2	0.4	0.17
5	1	4e-06	0	8.2e-06	0	0	0	0.39	0.35	0.2	0.4	0.17
6	1	0.00055	0	0.0035	0	0	0	0.39	0.35	0.2	0.4	0.17
7	0.00042	0	0	1	0	0	3	0.39	0.35	0.27	0.4	0.32
8	0	1	0	0	0	0	1	0.49	0.48	0.2	0.6	0.17
9	1	0	0	0	0	0	0	0.39	0.35	0.2	0.4	0.17
10	0.97	0.014	0	0.02	0	0	0	0.39	0.35	0.2	0.4	0.17
11	0.93	0.0025	0	0.0012	0.068	0	0	0.39	0.35	0.2	0.4	0.17
12	0.99	0	0	0.012	0	0	0	0.39	0.35	0.2	0.4	0.17
13	1	0	0	0.0018	0	0	0	0.39	0.35	0.2	0.4	0.17
14	1	0	0	0	0	0	0	0.39	0.35	0.2	0.4	0.17
15	1	0	0	8.9e-05	0	0	0	0.39	0.35	0.2	0.4	0.17
16	1	6e-05	0	0.00017	0	0	0	0.39	0.35	0.2	0.4	0.17
17	1	2.8e-06	0	1.7e-05	0	0	0	0.39	0.35	0.2	0.4	0.17
18	0.84	0.00018	0	0.16	0	0	0	0.39	0.35	0.2	0.4	0.17
19	1	2.2e-05	0	0.0007	0	0	0	0.39	0.35	0.2	0.4	0.17
20	0	0	0	0	1	0	4	0.39	0.35	0.089	0.44	0
21	1	0	0.00081	6.9e-05	0	0	0	0.39	0.35	0.2	0.4	0.17
22	1	0.00061	0	0.00054	0	0	0	0.39	0.35	0.2	0.4	0.17
23	1	3.2e-05	0	0.0028	0	0	0	0.39	0.35	0.2	0.4	0.17
24	1	3.1e-05	0	0.0022	0	0	0	0.39	0.35	0.2	0.4	0.17
25	0.96	0.00029	0	0.039	0	0	0	0.39	0.35	0.2	0.4	0.17
26	1	2.8e-05	0	4.3e-05	0	0	0	0.39	0.35	0.2	0.4	0.17
27	0.93	0.0006	0	0.065	0	0	0	0.39	0.35	0.2	0.4	0.17
28	0.63	0.064	0	0.3	0	0	0	0.39	0.35	0.2	0.4	0.17
29	0.68	0	0	0.32	0	0	0	0.39	0.35	0.2	0.4	0.17
30	0.97	0.019	0	0.01	0	0	0	0.39	0.35	0.2	0.4	0.17
31	0	0	0	0	1	0	4	0.39	0.35	0.089	0.44	0
32	0.99	0	0.0092	7e-06	0	0	0	0.39	0.35	0.2	0.4	0.17
33	0.99	3.9e-06	0	0.0064	0	0	0	0.39	0.35	0.2	0.4	0.17
34	1	7.4e-05	0	0.0047	0	0	0	0.39	0.35	0.2	0.4	0.17
35	0.65	0.12	0	0.23	0	0	0	0.39	0.35	0.2	0.4	0.17
36	0.55	0.00097	0	0.44	0	0	0	0.39	0.35	0.2	0.4	0.17
37	0.5	0.006	0	0.49	0	0	0	0.39	0.35	0.2	0.4	0.17
38	0.034	0.012	0	5.6e-05	0.95	0	4	0.39	0.35	0.089	0.44	0
39	0.12	0.0011	0	0.88	0	0	3	0.39	0.35	0.27	0.4	0.32
40	0.91	0.012	0	0.075	0	0	0	0.39	0.35	0.2	0.4	0.17
41	0.87	0	0	0.13	0	0	0	0.39	0.35	0.2	0.4	0.17
42	6.1e-06	0	0	0	7.5e-05	1	5	0.13	0.078	0.067	0	0.019
43	0.98	5.2e-05	0	0.017	0	0	0	0.39	0.35	0.2	0.4	0.17
44	0.94	0.051	0	0.014	0	0	0	0.39	0.35	0.2	0.4	0.17
45	0.86	0.14	0	0.0011	0	0	0	0.39	0.35	0.2	0.4	0.17
46	0.94	0.00066	0	0.056	0	0	0	0.39	0.35	0.2	0.4	0.17
47	0.95	0.046	0	0.00023	0	0	0	0.39	0.35	0.2	0.4	0.17
48	0.99	0.00061	0	0.01	0	0	0	0.39	0.35	0.2	0.4	0.17
49	0.079	0.00015	0	2.6e-05	0.92	0	4	0.39	0.35	0.089	0.44	0
50	1	0.00048	0	0.0024	0	0	0	0.39	0.35	0.2	0.4	0.17
51	0.94	0.057	0	0.0054	0	0	0	0.39	0.35	0.2	0.4	0.17
52	0.86	0.0033	0	0.14	0	0	0	0.39	0.35	0.2	0.4	0.17
53	0.82	0.021	0	0.16	0	0	0	0.39	0.35	0.2	0.4	0.17
54	1	0.0022	0	0.00095	0	0	0	0.39	0.35	0.2	0.4	0.17
55	0	0	0	0	0	1	5	0.13	0.078	0.067	0	0.019
56	0.89	0.016	0	0.089	0	0	0	0.39	0.35	0.2	0.4	0.17
57	0.84	0.0075	0	0.15	0	0	0	0.39	0.35	0.2	0.4	0.17
58	0.93	0.014	0	0.052	0	0	0	0.39	0.35	0.2	0.4	0.17
59	0.89	0.0003	0	0.11	0	0	0	0.39	0.35	0.2	0.4	0.17
60	0.99	0.0033	0	0.0085	0	0	0	0.39	0.35	0.2	0.4	0.17
61	1	0.00075	0	0.00042	0	0	0	0.39	0.35	0.2	0.4	0.17
62	0.99	0.0043	0	0.00081	0	0	0	0.39	0.35	0.2	0.4	0.17
63	0.81	0.0028	0	0.19	0	0	0	0.39	0.35	0.2	0.4	0.17
64	0.9	0.0079	0	0.091	0	0	0	0.39	0.35	0.2	0.4	0.17
65	0.54	0.0021	0	0.46	0	0	0	0.39	0.35	0.2	0.4	0.17
66	0.96	0.0016	0	0.039	0	0	0	0.39	0.35	0.2	0.4	0.17
67	0.82	0.00011	0	0.18	0	0	0	0.39	0.35	0.2	0.4	0.17
68	0.82	0.0063	0	0.18	0	0	0	0.39	0.35	0.2	0.4	0.17
69	0.83	0.026	0	0.14	0	0	0	0.39	0.35	0.2	0.4	0.17
70	0.97	0.03	0	0.00059	0	0	0	0.39	0.35	0.2	0.4	0.17
71	0.96	0	0	0.043	0	0	0	0.39	0.35	0.2	0.4	0.17
72	0.65	0.0013	0	0.35	0	0	0	0.39	0.35	0.2	0.4	0.17
73	1	1.6e-05	0	0.00027	0	0	0	0.39	0.35	0.2	0.4	0.17
74	0.99	3.8e-05	0	0.014	0	0	0	0.39	0.35	0.2	0.4	0.17
75	0.51	0.45	0	0.039	0	0	0	0.39	0.35	0.2	0.4	0.17
76	1	0.00016	0	0.00085	0	0	0	0.39	0.35	0.2	0.4	0.17
77	0.85	0.023	0	0.12	0	0	0	0.39	0.35	0.2	0.4	0.17
78	0.39	0.61	0	0.0017	0	0	1	0.49	0.48	0.2	0.6	0.17
79	0.5	0.31	0	0.19	0	0	0	0.39	0.35	0.2	0.4	0.17
80	0.99	0.0042	0	0.0085	0	0	0	0.39	0.35	0.2	0.4	0.17
81	0	0	1	0	3.2e-06	0	2	0	0	0	0.044	0.094
82	0.97	0.014	0	0.014	0	0	0	0.39	0.35	0.2	0.4	0.17
83	0.98	0.0035	0	0.016	0	0	0	0.39	0.35	0.2	0.4	0.17
84	0.91	0.068	0	0.021	0	0	0	0.39	0.35	0.2	0.4	0.17
85	0.69	0.037	0	0.28	0	0	0	0.39	0.35	0.2	0.4	0.17
86	0.45	3.2e-05	0	0.55	0	0	3	0.39	0.35	0.27	0.4	0.32
87	0.99	0.00014	0	0.0099	0	0	0	0.39	0.35	0.2	0.4	0.17
88	0.99	0.0031	0	0.0021	0	0	0	0.39	0.35	0.2	0.4	0.17
89	0.66	0.00087	0	0.34	0	0	0	0.39	0.35	0.2	0.4	0.17
90	0	0	0	0	0	1	5	0.13	0.078	0.067	0	0.019
91	0.61	0.1	0	0.29	0	0	0	0.39	0.35	0.2	0.4	0.17
92	0.97	0.0085	0	0.026	0	0	0	0.39	0.35	0.2	0.4	0.17
93	0.0019	0	0	0	1	0	4	0.39	0.35	0.089	0.44	0
94	0.95	0.028	0	0.02	0	0	0	0.39	0.35	0.2	0.4	0.17
95	0.062	0	0	0	0.94	0	4	0.39	0.35	0.089	0.44	0
96	0.36	0.096	0	0.54	0	0	3	0.39	0.35	0.27	0.4	0.32
97	0.98	0.0039	0	0.012	0	0	0	0.39	0.35	0.2	0.4	0.17
98	1	4e-05	0	0	0	0	0	0.39	0.35	0.2	0.4	0.17
99	0.00025	0	0	1	0	0	3	0.39	0.35	0.27	0.4	0.32
100	0.035	0	0.97	5.6e-05	0	0	2	0	0	0	0.044	0.094
101	0	0	0.13	0	0.87	0	4	0.39	0.35	0.089	0.44	0
102	3.1e-05	0.00019	0	1	0	0	3	0.39	0.35	0.27	0.4	0.32
103	0.027	0.0022	0	0.97	0	0	3	0.39	0.35	0.27	0.4	0.32
104	0.067	0.00039	0	0.93	0	0	3	0.39	0.35	0.27	0.4	0.32
105	0.12	0.0001	0	3.5e-05	0.88	0	4	0.39	0.35	0.089	0.44	0
106	0	1	0	0	0	0	1	0.49	0.48	0.2	0.6	0.17
107	0	4e-06	0	0	0	1	5	0.13	0.078	0.067	0	0.019
108	0.99	0.0098	0	0.0028	0	0	0	0.39	0.35	0.2	0.4	0.17
109	1	0.00073	0	0.00035	0	0	0	0.39	0.35	0.2	0.4	0.17
110	0.69	0.00026	0	0.31	0	0	0	0.39	0.35	0.2	0.4	0.17
111	0.88	0.007	0	0.11	0	0	0	0.39	0.35	0.2	0.4	0.17
112	0.033	0.83	0	0.14	0	0	1	0.49	0.48	0.2	0.6	0.17
113	0.97	0.00038	0	0.025	0	0	0	0.39	0.35	0.2	0.4	0.17
114	0.4	0.57	0	0.036	0	0	1	0.49	0.48	0.2	0.6	0.17
115	0	0	0	0	0	1	5	0.13	0.078	0.067	0	0.019
116	1	6.1e-05	0	0.0037	0	0	0	0.39	0.35	0.2	0.4	0.17
117	1	3.8e-06	0	0.0022	0	0	0	0.39	0.35	0.2	0.4	0.17
118	0.99	0.00018	0	0.0067	0	0	0	0.39	0.35	0.2	0.4	0.17
119	0.0056	0.57	0	0.43	0	0	1	0.49	0.48	0.2	0.6	0.17
120	0	0	0	0	0	1	5	0.13	0.078	0.067	0	0.019
121	0.72	0.15	0	0.13	0	0	0	0.39	0.35	0.2	0.4	0.17
122	0.96	0.038	0	0.006	0	0	0	0.39	0.35	0.2	0.4	0.17
123	0.95	0.043	0	0.0057	0	0	0	0.39	0.35	0.2	0.4	0.17
124	0.96	0.026	0	0.011	0	0	0	0.39	0.35	0.2	0.4	0.17
125	0.7	0.24	0	0.054	0	0	0	0.39	0.35	0.2	0.4	0.17
126	0.021	9.8e-05	0	0.98	0	0	3	0.39	0.35	0.27	0.4	0.32
127	0.73	0.0042	0	0.27	0	0	0	0.39	0.35	0.2	0.4	0.17
128	0.16	0.035	0	0.0011	0.81	0	4	0.39	0.35	0.089	0.44	0
129	0.55	0.019	0	0.43	0	0	0	0.39	0.35	0.2	0.4	0.17
130	0	1	0	0	0	0	1	0.49	0.48	0.2	0.6	0.17
131	0.13	0.018	0	0.85	0	0	3	0.39	0.35	0.27	0.4	0.32
132	0.004	0	0	1	0	0	3	0.39	0.35	0.27	0.4	0.32
133	0.52	0.00055	0	0.48	0	0	0	0.39	0.35	0.2	0.4	0.17
134	0.073	0.00066	0	0.93	0	0	3	0.39	0.35	0.27	0.4	0.32
135	0.33	0.27	0	0.4	0	0	3	0.39	0.35	0.27	0.4	0.32
136	0.19	0.18	0	1.5e-05	0.62	0	4	0.39	0.35	0.089	0.44	0
137	0.37	0.016	0	0.62	0	0	3	0.39	0.35	0.27	0.4	0.32
138	0.88	0.041	0	0.082	0	0	0	0.39	0.35	0.2	0.4	0.17
139	0.9	0.011	0	0.089	0	0	0	0.39	0.35	0.2	0.4	0.17
140	0.57	0.0003	0	0.43	0	0	0	0.39	0.35	0.2	0.4	0.17
141	0.8	0.083	0	0.11	0	0	0	0.39	0.35	0.2	0.4	0.17
142	0.68	0.0035	0	0.32	0	0	0	0.39	0.35	0.2	0.4	0.17
143	0.9	0.092	0	0.0053	0	0	0	0.39	0.35	0.2	0.4	0.17
144	0	0	0	0	0	1	5	0.13	0.078	0.067	0	0.019
145	0.95	0.0074	0	0.042	0	0	0	0.39	0.35	0.2	0.4	0.17
146	1	0	0	0.0013	0	0	0	0.39	0.35	0.2	0.4	0.17
147	1.5e-05	0	0	0	1	0	4	0.39	0.35	0.089	0.44	0
148	0.94	0.052	0	0.0062	0	0	0	0.39	0.35	0.2	0.4	0.17
149	0	0	1	0	0	0	2	0	0	0	0.044	0.094
150	1	0	0	0.0013	0	0	0	0.39	0.35	0.2	0.4	0.17
151	0.97	0.015	0	0.011	0	0	0	0.39	0.35	0.2	0.4	0.17
152	0.98	0.0027	0	0.012	0	0	0	0.39	0.35	0.2	0.4	0.17
153	0.88	0.031	0	0.086	0	0	0	0.39	0.35	0.2	0.4	0.17
154	1	0	0	0	0	0	0	0.39	0.35	0.2	0.4	0.17
155	0.99	0	0	0.0073	0	0	0	0.39	0.35	0.2	0.4	0.17
156	0.24	0.00024	0	0.76	0	0	3	0.39	0.35	0.27	0.4	0.32
157	0.99	0.0032	0	0.0028	0	0	0	0.39	0.35	0.2	0.4	0.17
158	0.89	0.096	0	0.013	0	0	0	0.39	0.35	0.2	0.4	0.17
159	0.95	0.0093	0	0.036	0	0	0	0.39	0.35	0.2	0.4	0.17
160	0.2	0.076	0	0.72	0	0	3	0.39	0.35	0.27	0.4	0.32
161	1	0.00018	0	0.00029	0	0	0	0.39	0.35	0.2	0.4	0.17
162	1	0	0	0.0004	0	0	0	0.39	0.35	0.2	0.4	0.17
163	0.91	0.014	0	0.071	0	0	0	0.39	0.35	0.2	0.4	0.17
164	0.75	0.16	0	0.095	0	0	0	0.39	0.35	0.2	0.4	0.17
165	1	0	0	1.1e-05	0	0	0	0.39	0.35	0.2	0.4	0.17
166	0	0	1	0	0	0	2	0	0	0	0.044	0.094
167	0.96	0.0025	0	0.037	0	0	0	0.39	0.35	0.2	0.4	0.17
168	0.87	0.018	0	0.11	0	0	0	0.39	0.35	0.2	0.4	0.17
169	0.96	0.036	0	0.0031	0	0	0	0.39	0.35	0.2	0.4	0.17
170	0.99	0.00037	0	0.012	0	0	0	0.39	0.35	0.2	0.4	0.17
171	0.91	0.026	0	0.062	0	0	0	0.39	0.35	0.2	0.4	0.17
172	1	0	0	0	0	0	0	0.39	0.35	0.2	0.4	0.17
173	0.99	0	0	0	0.012	0	0	0.39	0.35	0.2	0.4	0.17
174	0.61	0.38	0	0.0025	0	0	0	0.39	0.35	0.2	0.4	0.17
175	0.88	0.013	0	0.1	0	0	0	0.39	0.35	0.2	0.4	0.17
176	0	0	0	0	0	1	5	0.13	0.078	0.067	0	0.019
177	0.98	0.0037	0	0.016	0	0	0	0.39	0.35	0.2	0.4	0.17
178	0.91	0.0058	0	0.079	0	0	0	0.39	0.35	0.2	0.4	0.17
179	0.98	0.018	0	0.0065	0	0	0	0.39	0.35	0.2	0.4	0.17
180	0.93	0.031	0	0.041	0	0	0	0.39	0.35	0.2	0.4	0.17
181	0.94	0.051	0	0.012	0	0	0	0.39	0.35	0.2	0.4	0.17
182	0.78	0.19	0	0.034	0	0	0	0.39	0.35	0.2	0.4	0.17
183	0.88	0.019	0	0.1	0	0	0	0.39	0.35	0.2	0.4	0.17
184	0	0	0	0	0	1	5	0.13	0.078	0.067	0	0.019
185	0.91	0	0	0.086	0	0	0	0.39	0.35	0.2	0.4	0.17
186	0.7	0.00011	0	0.3	0	0	0	0.39	0.35	0.2	0.4	0.17
187	1	0	0	0.002	0	0	0	0.39	0.35	0.2	0.4	0.17
188	0.99	0.00068	0	0.011	0	0	0	0.39	0.35	0.2	0.4	0.17
189	0.93	0.01	0	0.061	0	0	0	0.39	0.35	0.2	0.4	0.17
190	0.96	0.00071	0	0.041	0	0	0	0.39	0.35	0.2	0.4	0.17
191	1	4.9e-06	0	0.0049	0	0	0	0.39	0.35	0.2	0.4	0.17
