SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0.21	0.31	0.31	0.045	0.12	0	0	0	1	0.28	0.34
1	0.2	0.34	0.34	0.022	0.093	0	0	0	1	0.28	0.34
2	0.29	0.26	0.26	0.023	0.16	0.00017	0	0	0	0.25	0.34
3	0.39	0.15	0.15	0.0018	0.31	4.6e-06	0	0	0	0.25	0.34
4	0.26	0.28	0.28	0.037	0.14	4.7e-05	0	0	1	0.28	0.34
5	0.41	0.23	0.23	0.0017	0.13	0.0039	9.7e-05	0.00094	0	0.25	0.34
6	0.49	0.09	0.09	0.00014	0.32	0.0023	0	0	0	0.25	0.34
7	0.22	0.11	0.11	0.019	0.23	0.31	1.6e-06	0	5	0.11	0.33
8	0.16	0.39	0.39	0.019	0.04	0	0	0	1	0.28	0.34
9	0	0	0	0	0	4.1e-06	1	0.0046	6	0.11	0.11
10	0.18	0.4	0.4	0.0038	0.025	0	0	0	1	0.28	0.34
11	0.37	0.24	0.24	0.003	0.15	2.5e-05	0	0	0	0.25	0.34
12	0.32	0.29	0.29	0.0033	0.095	1.4e-06	0	0	0	0.25	0.34
13	0.077	0.26	0.26	0.35	0.056	0	0	0	3	0.33	0.41
14	0.23	0.34	0.34	0.02	0.066	6.3e-06	0	7.2e-05	1	0.28	0.34
15	0.089	0.35	0.35	0.15	0.058	0	0	0	1	0.28	0.34
16	0.3	0.26	0.26	0.02	0.15	0.001	0	3.4e-06	0	0.25	0.34
17	0.022	0.0013	0.0013	0	0.013	0.96	0	0	5	0.11	0.33
18	0.062	0.0045	0.0045	1.1e-06	0.038	0.89	0	0	5	0.11	0.33
19	0.24	0.37	0.37	0.00058	0.027	0	0	0	1	0.28	0.34
20	0.45	0.15	0.15	0.00096	0.25	0.0021	0	0	0	0.25	0.34
21	0.46	0.075	0.075	2.1e-05	0.15	0.24	0	0	0	0.25	0.34
22	0.31	0.2	0.2	0.03	0.26	0.0028	0	0	0	0.25	0.34
23	0.1	0.42	0.42	0.025	0.029	0	0	0	1	0.28	0.34
24	0.49	0.035	0.035	8.3e-06	0.44	0.002	0	0	0	0.25	0.34
25	0.3	0.27	0.27	0.0078	0.15	0	0	0	0	0.25	0.34
26	0.33	0.26	0.26	0.0032	0.14	0	0	0	0	0.25	0.34
27	0.22	0.23	0.23	0.044	0.27	0	0	0	4	0.24	0.37
28	0.33	0.018	0.018	1.7e-05	0.61	0.02	0	0	4	0.24	0.37
29	0.27	0.31	0.31	0.0074	0.11	0	0	0	1	0.28	0.34
30	0.12	0.38	0.38	0.082	0.037	0	0	0	1	0.28	0.34
31	0.42	0.23	0.23	0.00038	0.13	0	0	0	0	0.25	0.34
32	0.33	0.22	0.22	0.016	0.21	0.0013	0	3.2e-06	0	0.25	0.34
33	0.058	0.18	0.18	0.54	0.042	0	0	0	3	0.33	0.41
34	0.22	0.28	0.28	0.09	0.14	4.6e-05	0	0	1	0.28	0.34
35	0.31	0.3	0.3	0.0038	0.098	0	0	0	0	0.25	0.34
36	0.38	0.28	0.28	0.00014	0.055	0	0	0	0	0.25	0.34
37	0.26	0.33	0.33	0.011	0.068	0.00014	2.4e-05	0.002	1	0.28	0.34
38	0.27	0.12	0.12	0.018	0.48	2.7e-05	0	0	4	0.24	0.37
39	0.18	0.28	0.28	0.16	0.11	4.4e-05	0	2.5e-06	1	0.28	0.34
40	0.39	0.26	0.26	0.00091	0.082	0.002	0.00092	0.015	0	0.25	0.34
41	0	0	0	0	0	0	0.0021	1	7	0.22	0.11
42	0.19	0.37	0.37	0.02	0.051	0	0	0	1	0.28	0.34
43	0.36	0.18	0.18	0.0087	0.24	0.039	5.1e-06	4.4e-06	0	0.25	0.34
44	0.36	0.17	0.17	0.008	0.24	0.046	6e-06	4.5e-06	0	0.25	0.34
45	0.29	0.27	0.27	0.015	0.16	5.2e-06	0	0	0	0.25	0.34
46	0.27	0.31	0.31	0.0078	0.1	0	0	0	1	0.28	0.34
47	0.41	0.24	0.24	0.00062	0.1	3.3e-05	0	2.4e-05	0	0.25	0.34
48	0.18	0.34	0.34	0.058	0.08	0	0	0	1	0.28	0.34
49	0.11	0.41	0.41	0.052	0.017	0	0	0	1	0.28	0.34
50	0.32	0.22	0.22	0.02	0.21	0.0047	0	0	0	0.25	0.34
51	0.31	0.28	0.28	0.004	0.12	0	0	0	0	0.25	0.34
52	0.21	0.2	0.2	0.094	0.3	0	0	0	4	0.24	0.37
53	0.45	0.15	0.15	0.00083	0.24	0.0043	0	0	0	0.25	0.34
54	0.39	0.27	0.27	0.00026	0.078	0	0	0	0	0.25	0.34
55	0.33	0.27	0.27	0.0073	0.12	8.2e-05	0	4.8e-05	0	0.25	0.34
56	0.32	0.18	0.18	0.0072	0.32	0	0	0	0	0.25	0.34
57	0.36	0.16	0.16	0.0026	0.33	0	0	0	0	0.25	0.34
58	0.38	0.2	0.2	0.002	0.22	0	0	0	0	0.25	0.34
59	0.33	0.24	0.24	0.015	0.18	0.0016	0	2.9e-06	0	0.25	0.34
60	0.29	0.2	0.2	0.041	0.26	0.004	0	0	0	0.25	0.34
61	0.19	0.38	0.38	0.016	0.039	0	0	0.0012	1	0.28	0.34
62	0	0	0	0	0	0	1	1.5e-06	6	0.11	0.11
63	0.3	0.18	0.18	0.031	0.32	0.0008	0	0	4	0.24	0.37
64	0.2	0.37	0.37	0.0051	0.052	0	0	0	1	0.28	0.34
65	0.37	0.26	0.26	0.0012	0.1	0	0	0	0	0.25	0.34
66	0.25	0.36	0.36	0.00053	0.04	0	0	0	1	0.28	0.34
67	0.31	0.26	0.26	0.0059	0.17	0	0	0	0	0.25	0.34
68	0.095	0.18	0.18	0.43	0.11	0	0	0	3	0.33	0.41
69	0.43	0.23	0.23	0.00038	0.11	4.4e-06	0	5.2e-06	0	0.25	0.34
70	0.33	0.2	0.2	0.0097	0.26	3e-06	0	0	0	0.25	0.34
