SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0.11
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0.49	0.47	0.038
2	7.6e-05	0	4.9e-05	0.33	0	0.33	0.33	0	0.014	0	0	1.4e-05	0	0	0	3	0.49	0.61	0.34
3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0.49	0.47	0.038
4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0.27	0.043	0.34
5	0.039	0	0.0086	0.31	0	0.31	0.31	0	0.034	0	0	3.3e-05	0	0	5.6e-06	3	0.49	0.61	0.34
6	0.012	0	2.3e-05	0.33	0	0.33	0.33	0	0.0045	0	0	0	0	0	0	3	0.49	0.61	0.34
7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0.39	0
8	0.0046	0	0.7	0.02	0	0.02	0.02	0	0.23	0	0	0	0	0	0	2	0.49	0.78	0.38
9	0.13	0	1.6e-06	0.29	0	0.29	0.29	0	0.0013	0	0	0	0	0	0	3	0.49	0.61	0.34
10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.27	0	0.038
11	4.2e-05	0	2.9e-06	0.33	0	0.33	0.33	0	0.0029	0	0	0	0	0	0	3	0.49	0.61	0.34
12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0.11
13	0	0.75	0	0	0	0	0	0	0	0.25	0	0	0	0	0	1	0.11	0	0
14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11	0	0
15	0.0039	0	0.00014	0.32	0	0.32	0.32	0	0.021	0	0	0	0	0	0	3	0.49	0.61	0.34
16	0	0	0	0	0	0	0	3.5e-06	0	0	0	0	1	0	0	12	0.27	0.043	0.34
17	0.0015	0	2.7e-05	0.33	0	0.33	0.33	0	0.0069	0	0	0	0	0	0	3	0.49	0.61	0.34
18	0	0.92	0	0	0	0	0	0	0	0.079	0	0	0	0	0	1	0.11	0	0
19	0	0	0	0.33	0	0.33	0.33	0	2.2e-06	0	0	0	0	0	0	3	0.49	0.61	0.34
20	0.013	0	4.3e-05	0.33	0	0.33	0.33	0	0.0049	0	0	8.1e-05	0	0	0	3	0.49	0.61	0.34
21	0.018	0	0.0012	0.32	0	0.32	0.32	0	0.026	0	0	0	0	0	0	3	0.49	0.61	0.34
22	0.0026	0	1.9e-05	0.33	0	0.33	0.33	0	0.015	0	0	0	0	0	0	3	0.49	0.61	0.34
23	0.00013	0	0.00018	0.33	0	0.33	0.33	0	0.02	0	0	0	0	0	0	3	0.49	0.61	0.34
24	0.012	0	0.051	0.27	0	0.27	0.27	0	0.13	0	0	0.00016	0	0	0.00098	3	0.49	0.61	0.34
25	0	0	0	0	0	0	0	2e-06	0	0	0	0	1	0	0	12	0.27	0.043	0.34
26	0.21	0	4.9e-05	0.26	0	0.26	0.26	0	0.0069	0	0	2.9e-05	0	0	0	3	0.49	0.61	0.34
27	0.1	0	1.5e-05	0.3	0	0.3	0.3	0	0.0021	0	0	0.00089	0	1.2e-05	0	3	0.49	0.61	0.34
28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11	0	0
29	0.32	0	0.14	0.13	0	0.13	0.13	0	0.14	0	0	0	0	0	0	0	0.55	0.61	0.45
30	0.12	0	0.045	0.26	0	0.26	0.26	0	0.053	0	0	0.0021	0	0.0015	0.0051	3	0.49	0.61	0.34
31	0.13	0	0.014	0.26	0	0.26	0.26	0	0.039	0	0	0.038	0	0.0062	0.00085	3	0.49	0.61	0.34
32	0.00072	0	0.0065	0.28	0	0.28	0.28	0	0.16	0	0	3.8e-06	0	0	0	3	0.49	0.61	0.34
33	0.017	0	0.072	0.25	0	0.25	0.25	0	0.16	0	0	0.0012	0	1.6e-06	0.002	3	0.49	0.61	0.34
34	0	0	0	0	0	0	0	0.00022	0	0	0	0	1	0	0	12	0.27	0.043	0.34
35	0.015	0	0.029	0.28	0	0.28	0.28	0	0.11	0	0	0.0094	0	7.9e-06	0.00098	3	0.49	0.61	0.34
36	0.15	0	0.0031	0.27	0	0.27	0.27	0	0.044	0	0	1.6e-05	0	0	0	3	0.49	0.61	0.34
37	0	0	0	0	0	0	0	0	0	0	1	0	0.005	0	0	10	0	0	0.11
38	0.0012	0	0.00016	0.33	0	0.33	0.33	0	0.014	0	0	2.3e-05	0	0	0	3	0.49	0.61	0.34
39	0	0	0	0.33	0	0.33	0.33	0	3.9e-05	0	0	0	0	0	0	3	0.49	0.61	0.34
40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.27	0	0.038
41	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0.49	0.47	0.038
42	3.7e-05	0	0.00048	0.32	0	0.32	0.32	0	0.038	0	0	0	0	0	0	3	0.49	0.61	0.34
43	0	0	0	0.33	0	0.33	0.33	0	0	0	0	0	0	0	0	3	0.49	0.61	0.34
44	0	1	0	0	0	0	0	0	0	7.8e-05	0	0	0	0	0	1	0.11	0	0
45	0	0	0	0.33	0	0.33	0.33	0	0	0	0	0	0	0	0	3	0.49	0.61	0.34
46	0.0054	0	0	0.33	0	0.33	0.33	0	8e-05	0	0	4.3e-06	0	0	0	3	0.49	0.61	0.34
47	0.037	0	8.7e-05	0.32	0	0.32	0.32	0	0.0037	0	0	0.00036	0	8.2e-06	0	3	0.49	0.61	0.34
48	0	0	0	0	1	0	0	2.7e-05	0	0	0	0	0	0	0	4	0	0.39	0
49	0.13	0	0.6	0.048	0	0.048	0.048	0	0.13	0	0	0	0	0	3e-06	2	0.49	0.78	0.38
50	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0.11
51	0.0083	0	2.6e-05	0.33	0	0.33	0.33	0	0.017	0	0	0	0	0	0	3	0.49	0.61	0.34
52	0.0062	0	0.00038	0.27	0	0.27	0.27	0	0.011	0	0	1.3e-05	0	0.17	0	3	0.49	0.61	0.34
53	0	0	0	0.33	0	0.33	0.33	0	0	0	0	0	0	0	0	3	0.49	0.61	0.34
54	0.06	0	0.43	0.096	0	0.096	0.096	0	0.22	0	0	8e-06	0	0	4.6e-05	2	0.49	0.78	0.38
55	0.00078	0	0.00016	0.31	0	0.31	0.31	0	0.02	0	0	0.051	0	0	0	3	0.49	0.61	0.34
56	0	0	0	0.33	0	0.33	0.33	0	0	0	0	0	0	0	0	3	0.49	0.61	0.34
57	0	0	0	0.33	0	0.33	0.33	0	0	0	0	0	0	0	0	3	0.49	0.61	0.34
58	0	0	0	0.33	0	0.33	0.33	0	0	0	0	0	0	0	0	3	0.49	0.61	0.34
59	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0.11
60	0.0005	0	5e-05	0.33	0	0.33	0.33	0	0.0082	0	0	1.3e-05	0	0	0	3	0.49	0.61	0.34
61	0	0	0	1.2e-06	0.99	1.2e-06	1.2e-06	0.0074	0	0	0	0	0	0	0	4	0	0.39	0
62	0	0	0	0	1	0	0	0.00053	0	0	0	0	0	0	0	4	0	0.39	0
63	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0.11
64	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0.39	0
65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0.39	0
66	0	1	0	0	0	0	0	0	0	7e-06	0	0	0	0	0	1	0.11	0	0
67	0.0086	0	0.0028	0.32	0	0.32	0.32	0	0.039	0	0	0	0	0	0	3	0.49	0.61	0.34
68	0.44	0	0.0099	0.16	0	0.16	0.16	0	0.051	0	0	0	0	0	0	0	0.55	0.61	0.45
69	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11	0	0
70	0	0	0	0.33	0	0.33	0.33	0	0.00012	0	0	0	0	0	0	3	0.49	0.61	0.34
71	0.041	0	0.072	0.24	0	0.24	0.24	0	0.15	0	0	0.011	0	1.6e-05	0.00024	3	0.49	0.61	0.34
72	0.021	0	0.0042	0.3	0	0.3	0.3	0	0.042	0	0	0.032	0	2.9e-05	1.1e-05	3	0.49	0.61	0.34
73	0.002	0	0.0095	0.28	0	0.28	0.28	0	0.15	0	0	0	0	0	0	3	0.49	0.61	0.34
74	0	0	0	0.33	0	0.33	0.33	0	0.001	0	0	0	0	0	0	3	0.49	0.61	0.34
75	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0.39	0
76	1	0	2.2e-05	0.00035	0	0.00035	0.00035	0	1.8e-05	0	0	0	0	0	0	0	0.55	0.61	0.45
77	0.00024	0	4.8e-06	0.33	0	0.33	0.33	0	0.0038	0	0	2.7e-05	0	0	0	3	0.49	0.61	0.34
78	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0.11
79	0.00015	0	0.0014	0.31	0	0.31	0.31	0	0.064	0	0	0.00029	0	0	0	3	0.49	0.61	0.34
80	0	0	0	0.33	0	0.33	0.33	0	1.5e-05	0	0	0	0	0	0	3	0.49	0.61	0.34
81	0	0	0	0.33	0	0.33	0.33	0	8e-05	0	0	0	0	0	0	3	0.49	0.61	0.34
82	1	0	0.0016	0.00046	0	0.00046	0.00046	0	0.00022	0	0	0	0	0	0	0	0.55	0.61	0.45
83	0.48	0	0.00032	0.17	0	0.17	0.17	0	0.0028	0	0	0.0059	0	0.011	0	0	0.55	0.61	0.45
84	0.057	0	1.4e-05	0.31	0	0.31	0.31	0	0.0025	0	0	0	0	0	0	3	0.49	0.61	0.34
85	0.00028	0	0.051	0.22	0	0.22	0.22	0	0.3	0	0	9.2e-05	0	0	0.00053	8	0.49	0.7	0.34
86	6.3e-06	0	0	0.33	0	0.33	0.33	0	0.0022	0	0	0	0	0	0	3	0.49	0.61	0.34
87	0.059	0	0.21	0.16	0	0.16	0.16	0	0.16	0	0	0.022	0	0.00044	0.072	2	0.49	0.78	0.38
88	0.00076	0	8.7e-05	0.33	0	0.33	0.33	0	0.0079	0	0	0	0	0	0	3	0.49	0.61	0.34
89	0	0	0	0.33	0	0.33	0.33	0	9.7e-06	0	0	1.3e-05	0	0	0	3	0.49	0.61	0.34
90	0	0	0	0	0	0	0	0	0	0	1	0	6.1e-06	0	0	10	0	0	0.11
91	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.27	0	0.038
92	0.0023	0	0.00064	0.32	0	0.32	0.32	0	0.035	0	0	0.0019	0	0	0	3	0.49	0.61	0.34
93	0.00022	0	3.6e-05	0.3	0	0.3	0.3	0	0.0068	0	0	8.1e-06	0	0	0.08	3	0.49	0.61	0.34
94	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11	0	0
95	0.019	0	0.00036	0.32	0	0.32	0.32	0	0.0078	0	0	4.7e-06	0	0	0	3	0.49	0.61	0.34
96	0	0	0	0	0	0	0	0	0	1	0	0	8.7e-05	0	0	9	0.27	0	0.038
97	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0.39	0
98	0.002	0	3e-05	0.33	0	0.33	0.33	0	0.0061	0	0	1.1e-05	0	0	0	3	0.49	0.61	0.34
99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.27	0	0.038
100	6.2e-06	0	0	0.33	0	0.33	0.33	0	5.9e-06	0	0	0	0	0	0	3	0.49	0.61	0.34
101	0	0	0	0.33	0	0.33	0.33	0	1.5e-05	0	0	0	0	0	0	3	0.49	0.61	0.34
102	7.1e-06	0	0	0.33	0	0.33	0.33	0	0.0026	0	0	0	0	0	0	3	0.49	0.61	0.34
103	0.12	0	0.36	0.12	0	0.12	0.12	0	0.15	0	0	0	0	0	0	2	0.49	0.78	0.38
