SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
1	0.49	0	0.0094	0	0	0	0.49	0	0	0.0067	0	0	0.59	0.68	0.49	0.34	0.51
2	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
3	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
4	0	0	0	0	0	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
6	0	0	0	0	0	0.99	0	0	0.0098	0	0	5	0.046	0	0	0.34	0
7	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
8	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
9	0.34	0	0	0	0	0	0.34	0	0	0	0.32	0	0.59	0.68	0.49	0.34	0.51
10	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
11	0.46	4.2e-06	0.014	2.7e-06	0	0	0.46	0	0	0.07	0	0	0.59	0.68	0.49	0.34	0.51
12	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
13	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
14	0.5	0	0.0014	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
15	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
16	0.21	0	0.012	0	0	0	0.21	0	0	0.56	0	9	0.59	0.68	0.6	0.34	0.62
17	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
