SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0.045	0	0.5	0.032	0	0	0	0	0	0	0.29	0	0	0.14	4.1e-05	0	0	2	0.32	0.33
1	0.012	0.79	0	0	7.5e-05	0	0	0.00069	0.16	0.026	0	0.0088	0	0	0	0	0	1	0.36	0.56
2	0.027	2e-06	0.15	0.0047	0	0	1.7e-06	7.7e-06	4.4e-06	1.4e-06	0.084	0	0	0.18	0.56	0	0	14	0.32	0.19
3	0.011	0.0044	0	0	0	0	0	0.98	0.0015	0	0	0	0	0	0	0	0	7	0.23	0.52
4	0.71	0.0069	0.16	0.003	1.7e-05	0	0	0.00085	0.0056	0.0041	0.095	0.0014	0	0.0064	0.0014	0	0	0	0.32	0.42
5	0.79	0.021	0.09	0.0027	3.9e-05	0	0	0.012	0.011	0.0043	0.052	0.0015	0	0.019	0.00045	0	0	0	0.32	0.42
6	0.96	0.02	0.0017	2.5e-05	0	0	0	0.00054	0.017	0.0022	0.001	0.00075	0	0	0	0	0	0	0.32	0.42
7	0.96	0.014	0	0	0.018	0	0	0	0.0065	0.0041	0	0.0014	0	0	0	0	0	0	0.32	0.42
8	2.2e-06	0	0.0037	7.4e-05	0	0	0	0	0	0	0.0022	0	0	0.0016	0.99	0	0	14	0.32	0.19
9	0.86	0.048	0	0	0.0041	0	0	0	0.026	0.045	0	0.015	0	0	0	0	0	0	0.32	0.42
10	0.61	0.27	0	0	0	0	0	0	0.12	0.0032	0	0.0011	0	0	0	0	0	0	0.32	0.42
11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0.11	0.047
12	0.0084	0	0.63	0.0042	0	0	0	0	0	0	0.36	0	0	1.6e-05	0	0	0	2	0.32	0.33
13	0.76	0.16	0	0	3.6e-05	0	0	0	0.062	0.013	0	0.0043	0	0	0	0	0	0	0.32	0.42
14	0.95	0.03	0	0	0.00074	0	0	0	0.014	0.0023	0	0.00077	0	0	0	0	0	0	0.32	0.42
15	0.61	0.28	0	0	0.016	0	0	0	0.057	0.034	0	0.012	0	0	0	0	0	0	0.32	0.42
16	0.92	0.027	0.0082	0.00035	0	0	0	0.023	0.014	0.0013	0.0047	0.00043	0	0.00061	0	0	0	0	0.32	0.42
17	0.85	0.079	0.0037	0.00013	9.1e-06	0	0	0.026	0.032	0.004	0.0021	0.0013	0	0.00011	0	0	0	0	0.32	0.42
18	0.74	0.17	0	0	0.0043	0	0	2.8e-06	0.051	0.023	0	0.0079	0	0	0	0	0	0	0.32	0.42
19	0	0	0	0	0	0	0.048	0	0	0	0	0	0.0002	0	0	0	0.95	16	0.14	0
20	0.99	0.0008	0	0	0	0	0	0	0.0032	0.0028	0	0.00095	0	0	0	0	0	0	0.32	0.42
21	0.83	0.048	0	0	0.0048	0	0	0	0.028	0.064	0	0.022	0	0	0	0	0	0	0.32	0.42
22	0.64	0.25	0.0016	4.5e-05	6.2e-05	0	0	0.017	0.074	0.011	0.00094	0.0037	0	1.4e-05	0	0	0	0	0.32	0.42
23	0.56	0	0.27	0.0049	0	0	0	0	7.6e-06	2.5e-06	0.16	0	0	0.00066	0	0	0	0	0.32	0.42
24	0.097	0	0.54	0.0039	0	0	0	0	4e-06	5.4e-06	0.31	1.8e-06	0	0.0093	0.041	0	0	2	0.32	0.33
25	6.9e-05	0.95	0	0	0.00019	0	0	0.00027	0.043	0.0027	0	0.00093	0	0	0	0	0	1	0.36	0.56
26	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	1	16	0.14	0
27	0.94	0.028	0.0084	0.00015	0	0	0	0.0014	0.017	0.0025	0.0048	0.00083	0	8.8e-06	0	0	0	0	0.32	0.42
28	0.89	0.0084	0	0	0.064	0	0	0	0.0069	0.02	0	0.0066	0	0	0	0	0	0	0.32	0.42
29	0.0069	0.83	0	0	2.9e-06	0	0	3.3e-05	0.15	0.012	0	0.0041	0	0	0	0	0	1	0.36	0.56
30	0.74	0.0041	0.15	0.0018	0.00013	0	0	0.0001	0.0038	0.008	0.088	0.0027	0	0.0011	0.00033	0	0	0	0.32	0.42
31	0	0	0	0	0	0	3.4e-05	0	0	0	0	0	1	0.0002	0	0	0	12	0.036	0.093
32	0.75	0.12	0.0039	3.3e-05	0.00035	0	0	0.00028	0.058	0.05	0.0023	0.017	0	0	0	0	0	0	0.32	0.42
33	0.71	0.1	0	0	0.095	0	0	0	0.021	0.051	0	0.017	0	0	0	0	0	0	0.32	0.42
34	0.96	0.00086	0	0	0.034	0	0	0	0.0013	0.0012	0	0.0004	0	0	0	0	0	0	0.32	0.42
35	0.66	0.00062	0.21	0.0028	0	0	0	3.5e-05	0.00088	0.00074	0.12	0.00025	0	0.0012	0.00019	0	0	0	0.32	0.42
36	0.012	0.57	0	0	0.00015	0	0	0	0.18	0.17	0	0.059	0	0	0	0	0	1	0.36	0.56
37	0.19	0.47	0	0	0.0013	0	0	0	0.16	0.13	0	0.044	0	0	0	0	0	1	0.36	0.56
38	0.11	0.42	6.7e-05	0	0.0076	0	0	1e-05	0.13	0.25	3.9e-05	0.084	0	0	0	0	0	1	0.36	0.56
39	1	0	0	0	0.00029	0	0	0	5.1e-06	0	0	0	0	0	0	0	0	0	0.32	0.42
40	0.25	0.1	0	0	0.16	0	0	0	0.045	0.33	0	0.11	0	0	0	0	0	9	0.44	0.51
41	0.047	0	0.21	0.0096	0	0	0	4e-06	0	0	0.12	0	0	0.57	0.044	0	0	13	0.21	0.28
42	0	0	0	0	0	0	0.00028	0	0	0	0	0	1	0	0	0	0	12	0.036	0.093
43	0.99	0.0026	0	0	0	0	0	0	0.0049	0.0024	0	0.00081	0	0	0	0	0	0	0.32	0.42
44	0.8	0.11	0	0	0.00031	0	0	0	0.051	0.031	0	0.01	0	0	0	0	0	0	0.32	0.42
45	0.37	1.3e-05	0.4	0.0048	0	0	0	0	5.1e-05	4.3e-05	0.23	1.4e-05	0	0.002	0.001	0	0	2	0.32	0.33
46	0.77	0.0019	0.14	0.0024	3.3e-06	0	0	0.00014	0.0021	0.0017	0.079	0.00056	0	0.0033	0.00029	0	0	0	0.32	0.42
47	0.78	0.017	0.1	0.0025	8.3e-05	0	0	0.0053	0.011	0.0064	0.06	0.0022	0	0.012	0.00052	0	0	0	0.32	0.42
48	0.9	0	0.06	0.0013	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0.32	0.42
49	0.99	0.00049	0	0	0.0044	0	0	0	0.00084	0.00014	0	4.8e-05	0	0	0	0	0	0	0.32	0.42
50	1	0.00079	0	0	0.0027	0	0	0	0.0012	0.00022	0	7.3e-05	0	0	0	0	0	0	0.32	0.42
51	0.92	0.019	0	0	0.002	0	0	0	0.014	0.034	0	0.011	0	0	0	0	0	0	0.32	0.42
52	0.22	0.29	0	0	0.0024	0	0	0	0.14	0.26	0	0.086	0	0	0	0	0	1	0.36	0.56
53	0.23	0.26	0.00016	0	0.0084	0	0	2e-05	0.11	0.29	9e-05	0.097	0	0	0	0	0	9	0.44	0.51
54	0.13	0	0.55	0.0035	0	0	0	0	2.5e-06	4.3e-06	0.32	1.5e-06	0	0.00017	0.00055	0	0	2	0.32	0.33
55	0.87	0.05	0	0	0.0012	0	0	0	0.029	0.041	0	0.014	0	0	0	0	0	0	0.32	0.42
56	0.38	6e-06	0.38	0.0087	0	0	0	9.3e-06	2.3e-05	6.5e-06	0.22	2.2e-06	0	0.01	0.00012	0	0	0	0.32	0.42
57	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.036	0.093
58	0.3	0.34	0	0	2.7e-05	0	0	0	0.19	0.12	0	0.042	0	0	0	0	0	1	0.36	0.56
59	0	0	0	0	0	0	0.0095	0	0	0	0	0	2.9e-06	0	0	0	0.99	16	0.14	0
60	0	0	0	0	0	0	9.5e-05	0	0	0	0	0	1	0	0	0	0	12	0.036	0.093
61	0.052	0	0.55	0.0067	0.00044	0	0	0	0	1.1e-06	0.31	0	0	0.0089	0.069	0	0	2	0.32	0.33
62	0.87	0.0024	0.071	0.0026	0	0	0	0.0035	0.002	0.00019	0.041	6.3e-05	0	0.006	1.1e-05	0	0	0	0.32	0.42
63	0.8	0.00091	0.13	0.0016	0	0	0	4e-05	0.0013	0.00066	0.072	0.00022	0	0.00026	1.2e-05	0	0	0	0.32	0.42
64	0.45	0.00048	0.12	0.0081	0.0012	0	0	0.0093	0.00039	2.1e-05	0.068	6.9e-06	0	0.35	0.0015	0	0	0	0.32	0.42
65	0	0	0	0	0	0	0.99	0	0	0	0	0	0.0094	4.8e-06	8e-06	0	0	6	0.11	0.047
66	0.5	2.2e-06	0.32	0.002	0	0	0	0	2e-05	1.5e-05	0.18	5.2e-06	0	1.7e-05	0	0	0	0	0.32	0.42
67	0.8	0.13	0.0046	9.5e-05	2.9e-05	0	0	0.0073	0.047	0.0097	0.0027	0.0033	0	1.5e-05	0	0	0	0	0.32	0.42
68	0.28	0.51	1.2e-05	0	1.7e-06	0	0	0.0003	0.19	0.019	6.8e-06	0.0065	0	0	0	0	0	1	0.36	0.56
69	0.003	0	0.015	0.0033	0	0	0	6.8e-06	0	0	0.0085	0	0	0.97	8.1e-05	0	0	13	0.21	0.28
70	0.91	0.0034	0.051	0.00092	0	0	0	0.0011	0.0032	0.00062	0.029	0.00021	0	0.00061	0	0	0	0	0.32	0.42
71	0.96	0.00071	0.024	0.0002	0	0	0	7.1e-06	0.0016	0.00051	0.014	0.00017	0	0	0	0	0	0	0.32	0.42
72	0.58	0.23	0	0	0.0069	0	0	0	0.077	0.084	0	0.028	0	0	0	0	0	0	0.32	0.42
73	0.97	2.5e-06	0.02	8.9e-05	0	0	0	0	3.9e-05	7.2e-06	0.012	2.4e-06	0	0	0	0	0	0	0.32	0.42
74	0.5	0.0013	0.26	0.0045	6.2e-06	0	0	8.9e-05	0.0012	0.0012	0.15	0.00042	0	0.022	0.057	0	0	0	0.32	0.42
75	0.77	0	0.13	0.015	0	0	0	1.2e-05	0	0	0.076	0	0	0.0029	0	0	0	0	0.32	0.42
76	0.76	0.11	0.023	0.00038	0.0031	0	0	0.0037	0.04	0.035	0.013	0.012	0	0.00032	8.6e-06	0	0	0	0.32	0.42
77	0.67	0.0022	0.16	0.0042	0	0	0	0.0041	0.0017	0.00052	0.089	0.00017	0	0.074	0.0028	0	0	0	0.32	0.42
78	0.56	0.2	0	0	0.026	0	0	0	0.071	0.1	0	0.035	0	0	0	0	0	0	0.32	0.42
79	0.98	0.0093	0	0	0	0	0	0	0.0071	0.0014	0	0.00047	0	0	0	0	0	0	0.32	0.42
80	0.00023	4e-05	0	0	1	0	0	0	0	9.1e-06	0	3.1e-06	0	0	0	0	0	4	0.56	0.58
81	0.74	0.17	0	0	0.0032	0	0	0	0.05	0.029	0	0.0097	0	0	0	0	0	0	0.32	0.42
82	0.41	0.00015	0.35	0.0065	0	0	0	4.3e-05	0.00023	0.0002	0.2	6.9e-05	0	0.02	0.0065	0	0	0	0.32	0.42
83	0.84	0.11	0	0	0.028	0	0	2.9e-06	0.011	0.011	0	0.0038	0	0	0	0	0	0	0.32	0.42
84	0.0087	0.051	0	0	0.017	0	0	0	0.031	0.67	0	0.23	0	0	0	0	0	9	0.44	0.51
