SNV	cluster0	cluster1	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
0	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
1	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
2	0.2	0.8	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
3	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
4	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
5	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
6	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
7	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
8	0.2	0.8	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
9	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
10	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
11	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
12	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
13	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
14	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
15	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
16	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
17	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
18	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
19	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
20	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
21	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
22	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
23	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
24	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
25	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
26	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
27	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
28	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
29	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
30	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
31	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
32	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
33	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
34	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
35	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
36	0.12	0.88	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
37	0.12	0.87	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
38	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
39	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
40	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
41	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
42	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
43	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
44	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
45	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
46	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
47	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
48	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
49	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
50	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
51	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
52	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
53	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
54	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
55	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
56	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
57	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
58	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
59	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
60	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
61	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
62	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
63	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
64	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
65	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
66	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
67	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
68	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
69	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
70	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
71	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
72	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
73	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
74	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
75	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
76	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
77	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
78	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
79	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
80	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
81	1	0.0027	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
82	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
