SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0
0	0.96	0.036	0.00011	0	0	0	0.15
1	0.17	0.83	0.00044	0	0	1	0.23
2	0.93	0.0048	0.063	0	1.2e-06	0	0.15
3	0.82	0.12	0.052	0	6.4e-05	0	0.15
4	0.96	0.015	0.021	0	0	0	0.15
5	0.81	0.18	0.0096	0	0	0	0.15
6	0.048	0.95	2.2e-05	0	0	1	0.23
7	0.76	0.2	0.046	0	9.8e-05	0	0.15
8	0.99	0.0076	0.004	0	0	0	0.15
9	0.85	0.11	0.037	0	3.2e-05	0	0.15
10	0.97	0.016	0.01	0	0	0	0.15
11	0.96	0.03	0.012	0	0	0	0.15
12	0.48	0.52	0	0	0	1	0.23
13	0.92	0.049	0.035	0	6.1e-06	0	0.15
14	0.15	0.85	0	0	0	1	0.23
15	0.98	0.0019	0.015	0	0	0	0.15
16	0.87	0.13	0	0	0	0	0.15
17	0.82	0.063	0.12	0	0.002	0	0.15
18	0.57	0.42	0.00058	0	0	0	0.15
19	0.96	0.019	0.016	0	0	0	0.15
20	0.51	0.49	0.00032	0	0	0	0.15
21	0.85	0.15	0	0	0	0	0.15
22	0.89	0.031	0.08	0	0.0001	0	0.15
23	0.94	0.0015	0.057	0	0	0	0.15
24	0.77	0.23	0	0	0	0	0.15
25	0.98	0.02	0.0029	0	0	0	0.15
26	0.62	0.38	0.0014	0	0	0	0.15
27	0.31	0.69	7.3e-06	0	0	1	0.23
28	0.32	0.68	5e-06	0	0	1	0.23
29	0.49	0.51	2.2e-06	0	0	1	0.23
30	0.9	0.1	0	0	0	0	0.15
31	0.85	0.081	0.07	0	0.00028	0	0.15
32	0.71	0.28	0.0061	0	0	0	0.15
33	0.66	0.34	0	0	0	0	0.15
34	0.95	0.01	0.041	0	0	0	0.15
35	0.88	0.12	0.00014	0	0	0	0.15
36	0.98	0.0049	0.017	0	0	0	0.15
37	0.51	0.49	0	0	0	0	0.15
38	0.01	0.99	0	0	0	1	0.23
39	0.64	0.36	4.2e-06	1.1e-05	0	0	0.15
40	0.68	0.32	0.0035	0	0	0	0.15
41	0.6	0.4	0.00098	0	0	0	0.15
42	0.68	0.32	1.8e-05	0	0	0	0.15
43	0.92	0.08	0	0	0	0	0.15
44	0.95	0.026	0.021	0	0	0	0.15
45	0.71	0.29	0.00026	3.2e-06	0	0	0.15
46	0.61	0.39	0	0.0013	0	0	0.15
47	0.47	0.53	0.00016	0	0	1	0.23
48	0.015	0.99	0	0	0	1	0.23
49	0.66	0.34	0	0	0	0	0.15
50	0.69	0.31	0	0	0	0	0.15
51	0.62	0.38	0.00082	0	0	0	0.15
52	0.61	0.39	0	0	0	0	0.15
53	0.23	0.77	0	0	0	1	0.23
54	0.96	0.014	0.031	0	0	0	0.15
55	0.13	0.87	0	0	0	1	0.23
