SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0.0064	0	0	0	0	0	0.034	0.0089	0	0.95	0	0	0	0	0	0	0	0.00014	10	0.14	0.37	0.25	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0.13
3	0	0.53	0	0.00048	0	0	0	0.38	0.00041	0.00094	0	0	0	0	0	0	0.082	0	4e-05	1	0.18	0.4	0.31	0.3
4	0	0.86	0	0	0	0	0	0	0.0015	0.08	0	0	0	0	0	0	0.058	0	0	1	0.18	0.4	0.31	0.3
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0.12	0	0	0
6	2.2e-05	0.4	0	0	0	0	0	0	0.29	0.29	0	0	0	0	0	0	0.021	0	0	1	0.18	0.4	0.31	0.3
7	0	0.47	0	0.00015	0	0	0	0.0018	0.0053	7.2e-05	0.48	0	0.0053	0	0	0	1.4e-05	0	0.038	10	0.14	0.37	0.25	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.04	0.041	0.056	0.033
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0.12	0	0	0
11	0	0.99	0	0	0	0	0	0	0.0035	0.01	0	0	0	0	0	0	0.00032	0	0	1	0.18	0.4	0.31	0.3
12	0	1	0	0	0	0	0	0	2.1e-05	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0.16	0.028	0.13
14	0	1	0	0	0	0	0	0	0.0001	7.4e-05	0	0	0	0	0	0	3.1e-06	0	0	1	0.18	0.4	0.31	0.3
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
16	0	0	0	0	0	0	0	0.00044	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
17	0	0.96	0	0	0	0	0	0	0.0044	0	0	0	0	0	0	0	0.033	0	0	1	0.18	0.4	0.31	0.3
18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
19	0	1	0	0	0	0	0	3.8e-06	0	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
20	0	0.87	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
21	0	0.044	0	0	0	0	0	0.96	0	0	0	0	0	0	0	0	0	0	0	7	0.18	0.43	0.17	0.3
22	1.9e-05	0.27	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0.67	0	0	16	0.18	0.4	0.31	0.52
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0.18	0	0	0.2
25	0	0.00052	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
26	0	0.00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0.18	0.4	0.31	0.52
27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0.16	0.028	0.13
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0.12	0	0	0
29	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
30	0	0.052	0	0	0	0	0	0.0013	5.9e-05	0	0	0	0	0	0	0	0.88	0	0.07	16	0.18	0.4	0.31	0.52
31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.04	0.041	0.056	0.033
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
34	0	0.00018	0	0	0	0	0	0	1	5.8e-05	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
35	0	0.00082	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
36	0	0.44	0	0	0	0	0	0.056	0.51	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
37	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0.14	0.37	0.25	0
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00034	16	0.18	0.4	0.31	0.52
39	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
40	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
41	0.0011	0.018	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0	9	0.32	0.63	0.53	0.57
42	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
43	0	0.98	0	0	0	0	0	0	0.023	0.0003	0	0	0	0	0	0	6.9e-05	0	0	1	0.18	0.4	0.31	0.3
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0.12	0	0	0
45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
46	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	1	0.18	0.4	0.31	0.3
47	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
48	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
49	0	0.01	0	1.1e-05	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0.00033	7	0.18	0.43	0.17	0.3
50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	1	0.18	0.4	0.31	0.3
51	0	0.97	0	0	0	0	0	0	0	0.033	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0.25	0.4	0.36	0
53	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.00011	8	0.25	0.57	0.36	0.3
54	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
56	0	0.00055	0	0	0	0	0	0	0.99	0.0018	0	0	0	0	0	0	0.00023	0	0.0047	8	0.25	0.57	0.36	0.3
57	0	0.84	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0.021	0	0	1	0.18	0.4	0.31	0.3
58	0	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	2	0	0.16	0	0
59	0	0	0	0	0	1	0	0	0.0022	0	0	0	0	0	0	0	0	0	0	5	0.04	0.041	0.056	0.033
60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.04	0.041	0.056	0.033
61	0	0.54	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
62	0	0.98	0	0	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
63	0	0.99	0	0	0	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
64	0	0	0	0	0	0	0	6.1e-06	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
65	0	1	0	0	0	0	0	0	0.0003	0.0014	0	0	0	0	0	0	1.2e-05	0	0	1	0.18	0.4	0.31	0.3
66	0	0.0011	0	0.46	0	0	0	0.43	0	0.1	0	0	0	0	0	0	0	0	0.0046	3	0.18	0.25	0.19	0.17
67	0.0011	0.92	0	0	0	0	0	0	0.00085	0.077	0	0	0	0	0	0	1.3e-05	0	0	1	0.18	0.4	0.31	0.3
68	1.4e-05	0.93	0	0	0	0	0	0	0.03	0.0057	0	0	0	0	0	0	0.034	0	0	1	0.18	0.4	0.31	0.3
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0.12	0	0	0
70	0.024	0.37	0	0	0	0	0.00023	0.00036	0.32	0.15	0	0	0	0	0	0	0.13	0	0.00049	1	0.18	0.4	0.31	0.3
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0.12	0	0	0
72	0	0.78	0	0	0	0	0	0	0.0003	0.22	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
73	0	0.96	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
74	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0.13
75	0	0.2	0	0	0	0	0	0	0.0099	0.78	0	0	0	0	0	0	0.0093	0	0	9	0.32	0.63	0.53	0.57
76	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0.13
77	0	0.048	0	0	0	0	0	0	0.033	0.79	0	0	0	0	0	0	0.13	0	0	9	0.32	0.63	0.53	0.57
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
79	0	0.25	0	0	0	0	0	0	1.6e-05	0.015	0	0	0	0	0	0	0.74	0	0	16	0.18	0.4	0.31	0.52
80	0	0.0029	0	0	0	0	0	0	5.4e-05	0.99	0	0	0	0	0	0	0.0041	0	0	9	0.32	0.63	0.53	0.57
81	0	0.99	0	0	0	0	0	0	0.0053	0	0	0	0.00029	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
82	0	0.0004	0	0	0	0	0	0	0.93	0.07	0	0	0	0	0	0	0.00028	0	0	8	0.25	0.57	0.36	0.3
83	0	0.56	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0.37	0	0	1	0.18	0.4	0.31	0.3
84	0	0.028	0	0	0	0	0	2.8e-05	0.9	0.056	0	0	0	0	0	0	0.011	0	0	8	0.25	0.57	0.36	0.3
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
86	0	0.37	0	0	0	0	0	0	0.37	0.22	0	0	0	0	0	0	0.044	0	0	8	0.25	0.57	0.36	0.3
87	0	0.069	0	0	0	0	0	0	0	0.93	0	0	0	0	0	0	0.00051	0	0	9	0.32	0.63	0.53	0.57
88	0	0.3	0	0	0	0	0	0	6.8e-06	0.021	0	0	0	0	0	0	0.68	0	0	16	0.18	0.4	0.31	0.52
89	0	0.94	0	0	0	0	0	3.7e-06	0	0	0	0	0	0	0	0	0.0036	0	0.053	1	0.18	0.4	0.31	0.3
90	0	1	0	0	0	0	0	0	5.9e-06	0	0	0	2.8e-05	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
91	0	0	0	0	0	0	0	0	1	1.9e-05	0	0	0	0	0	0	0	0	0	8	0.25	0.57	0.36	0.3
92	0	0.01	0	0	0	0	0	0	0.89	0.1	0	0	0	0	0	0	9.6e-05	0	0	8	0.25	0.57	0.36	0.3
93	0	0	0	0	0	0	0	0	0	2e-06	0	0	0	0	0	0	1	0	0	16	0.18	0.4	0.31	0.52
94	0	0.0055	0	0.0095	0	0	0	0.66	0	0	0	0	0	0	0	0	0.0018	0	0.32	7	0.18	0.43	0.17	0.3
95	0	0.91	0	0	0	0	0	0	0	0.052	0	0	0	0	0	0	0.038	0	0	1	0.18	0.4	0.31	0.3
96	0	0.46	0	0	0	0	0	0	0.0001	0.046	0	0	0	0	0	0	0.49	0	0	16	0.18	0.4	0.31	0.52
97	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.04	0.041	0.056	0.033
98	0	1	0	0	0	0	0	0	1.7e-05	0	0	0	0	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
99	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.16	0	0
100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.04	0.041	0.056	0.033
101	0	0.61	0	0	0	0	0	0	1.2e-05	0.0031	0	0	0	0	0	0	0.39	0	0	1	0.18	0.4	0.31	0.3
102	0	1.6e-05	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0.32	0.63	0.53	0.57
103	0	0.99	0	0	0	0	0	3e-05	6.6e-06	0	0	0	0	0	0	0	0.0062	0	0.0021	1	0.18	0.4	0.31	0.3
104	0	0.051	0	0	0	0	0	0	0.00036	0.95	0	0	0	0	0	0	0.0018	0	0	9	0.32	0.63	0.53	0.57
105	0	1	0	0	0	0	0	0	0.00089	0	0	0	0.0024	0	0	0	0	0	0	1	0.18	0.4	0.31	0.3
106	0	2.8e-05	0	0	0	0	0	0	0	0.00034	0	0	0	0	0	0	1	0	0	16	0.18	0.4	0.31	0.52
107	0	0.77	0	0	0	0	0	0	2.4e-06	0.22	0	0	0	0	0	0	0.015	0	0	1	0.18	0.4	0.31	0.3
108	0	0.82	0	0	0	0	6.8e-05	0	0.00063	0.1	0	0	0	0	0	0	0.077	0	0	1	0.18	0.4	0.31	0.3
109	0	0.00081	0	0	0	0	0	0	1.3e-05	1	0	0	0	0	0	0	0.00024	0	0	9	0.32	0.63	0.53	0.57
110	0	0.33	0	0	0	0	0	0.29	0.00025	0	0.36	0	4.8e-05	0	0	0	0	0	0.0098	10	0.14	0.37	0.25	0
111	0	0.00057	0	0	0	0	0	0	0.95	0.048	0	0	0	0	0	0	7.3e-05	0	0	8	0.25	0.57	0.36	0.3
112	0	0.83	0	0	0	0	0	0.0056	0.12	0	0.036	0	0.008	0	0	0	3.3e-06	0	0.0003	1	0.18	0.4	0.31	0.3
113	0	0.76	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0.023	0	0	1	0.18	0.4	0.31	0.3
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0.091	0.35	0.25	0.34
115	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.16	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0.091	0.35	0.25	0.34
117	0	0.0092	0	0	0	0	0	0.17	0	0	0.82	0	0	0	0	0	0	0	0	10	0.14	0.37	0.25	0
118	0	0.064	0	0	0	0	0	0.019	0	0	0.92	0	0	0	0	0	0	0	0	10	0.14	0.37	0.25	0
119	0	0.15	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0	0.0011	0	0	9	0.32	0.63	0.53	0.57
120	0	0.5	0	6.1e-05	0	0	0	0.014	0	0	0	0	0	0	0	0	0.021	0	0.46	1	0.18	0.4	0.31	0.3
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0.19	0
