SNV	cluster0	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0.62	0.56	0.45	0.44	0.51
1	1	0	0.62	0.56	0.45	0.44	0.51
2	1	0	0.62	0.56	0.45	0.44	0.51
3	1	0	0.62	0.56	0.45	0.44	0.51
4	1	0	0.62	0.56	0.45	0.44	0.51
5	1	0	0.62	0.56	0.45	0.44	0.51
6	1	0	0.62	0.56	0.45	0.44	0.51
7	1	0	0.62	0.56	0.45	0.44	0.51
8	1	0	0.62	0.56	0.45	0.44	0.51
9	1	0	0.62	0.56	0.45	0.44	0.51
10	1	0	0.62	0.56	0.45	0.44	0.51
11	1	0	0.62	0.56	0.45	0.44	0.51
12	1	0	0.62	0.56	0.45	0.44	0.51
13	1	0	0.62	0.56	0.45	0.44	0.51
14	1	0	0.62	0.56	0.45	0.44	0.51
15	1	0	0.62	0.56	0.45	0.44	0.51
16	1	0	0.62	0.56	0.45	0.44	0.51
17	1	0	0.62	0.56	0.45	0.44	0.51
18	1	0	0.62	0.56	0.45	0.44	0.51
19	1	0	0.62	0.56	0.45	0.44	0.51
20	1	0	0.62	0.56	0.45	0.44	0.51
21	1	0	0.62	0.56	0.45	0.44	0.51
22	1	0	0.62	0.56	0.45	0.44	0.51
23	1	0	0.62	0.56	0.45	0.44	0.51
24	1	0	0.62	0.56	0.45	0.44	0.51
25	1	0	0.62	0.56	0.45	0.44	0.51
26	1	0	0.62	0.56	0.45	0.44	0.51
27	1	0	0.62	0.56	0.45	0.44	0.51
28	1	0	0.62	0.56	0.45	0.44	0.51
29	1	0	0.62	0.56	0.45	0.44	0.51
30	1	0	0.62	0.56	0.45	0.44	0.51
31	1	0	0.62	0.56	0.45	0.44	0.51
32	1	0	0.62	0.56	0.45	0.44	0.51
33	1	0	0.62	0.56	0.45	0.44	0.51
34	1	0	0.62	0.56	0.45	0.44	0.51
35	1	0	0.62	0.56	0.45	0.44	0.51
36	1	0	0.62	0.56	0.45	0.44	0.51
37	1	0	0.62	0.56	0.45	0.44	0.51
38	1	0	0.62	0.56	0.45	0.44	0.51
39	1	0	0.62	0.56	0.45	0.44	0.51
40	1	0	0.62	0.56	0.45	0.44	0.51
41	1	0	0.62	0.56	0.45	0.44	0.51
42	1	0	0.62	0.56	0.45	0.44	0.51
43	1	0	0.62	0.56	0.45	0.44	0.51
44	1	0	0.62	0.56	0.45	0.44	0.51
45	1	0	0.62	0.56	0.45	0.44	0.51
46	1	0	0.62	0.56	0.45	0.44	0.51
47	1	0	0.62	0.56	0.45	0.44	0.51
48	1	0	0.62	0.56	0.45	0.44	0.51
49	1	0	0.62	0.56	0.45	0.44	0.51
50	1	0	0.62	0.56	0.45	0.44	0.51
51	1	0	0.62	0.56	0.45	0.44	0.51
52	1	0	0.62	0.56	0.45	0.44	0.51
53	1	0	0.62	0.56	0.45	0.44	0.51
54	1	0	0.62	0.56	0.45	0.44	0.51
55	1	0	0.62	0.56	0.45	0.44	0.51
56	1	0	0.62	0.56	0.45	0.44	0.51
57	1	0	0.62	0.56	0.45	0.44	0.51
58	1	0	0.62	0.56	0.45	0.44	0.51
59	1	0	0.62	0.56	0.45	0.44	0.51
60	1	0	0.62	0.56	0.45	0.44	0.51
61	1	0	0.62	0.56	0.45	0.44	0.51
62	1	0	0.62	0.56	0.45	0.44	0.51
63	1	0	0.62	0.56	0.45	0.44	0.51
64	1	0	0.62	0.56	0.45	0.44	0.51
65	1	0	0.62	0.56	0.45	0.44	0.51
66	1	0	0.62	0.56	0.45	0.44	0.51
67	1	0	0.62	0.56	0.45	0.44	0.51
68	1	0	0.62	0.56	0.45	0.44	0.51
69	1	0	0.62	0.56	0.45	0.44	0.51
70	1	0	0.62	0.56	0.45	0.44	0.51
71	1	0	0.62	0.56	0.45	0.44	0.51
72	1	0	0.62	0.56	0.45	0.44	0.51
73	1	0	0.62	0.56	0.45	0.44	0.51
74	1	0	0.62	0.56	0.45	0.44	0.51
75	1	0	0.62	0.56	0.45	0.44	0.51
76	1	0	0.62	0.56	0.45	0.44	0.51
77	1	0	0.62	0.56	0.45	0.44	0.51
78	1	0	0.62	0.56	0.45	0.44	0.51
79	1	0	0.62	0.56	0.45	0.44	0.51
80	1	0	0.62	0.56	0.45	0.44	0.51
81	1	0	0.62	0.56	0.45	0.44	0.51
82	1	0	0.62	0.56	0.45	0.44	0.51
83	1	0	0.62	0.56	0.45	0.44	0.51
84	1	0	0.62	0.56	0.45	0.44	0.51
85	1	0	0.62	0.56	0.45	0.44	0.51
86	1	0	0.62	0.56	0.45	0.44	0.51
87	1	0	0.62	0.56	0.45	0.44	0.51
88	1	0	0.62	0.56	0.45	0.44	0.51
89	1	0	0.62	0.56	0.45	0.44	0.51
90	1	0	0.62	0.56	0.45	0.44	0.51
91	1	0	0.62	0.56	0.45	0.44	0.51
92	1	0	0.62	0.56	0.45	0.44	0.51
93	1	0	0.62	0.56	0.45	0.44	0.51
94	1	0	0.62	0.56	0.45	0.44	0.51
95	1	0	0.62	0.56	0.45	0.44	0.51
96	1	0	0.62	0.56	0.45	0.44	0.51
97	1	0	0.62	0.56	0.45	0.44	0.51
98	1	0	0.62	0.56	0.45	0.44	0.51
99	1	0	0.62	0.56	0.45	0.44	0.51
100	1	0	0.62	0.56	0.45	0.44	0.51
101	1	0	0.62	0.56	0.45	0.44	0.51
102	1	0	0.62	0.56	0.45	0.44	0.51
103	1	0	0.62	0.56	0.45	0.44	0.51
104	1	0	0.62	0.56	0.45	0.44	0.51
105	1	0	0.62	0.56	0.45	0.44	0.51
106	1	0	0.62	0.56	0.45	0.44	0.51
107	1	0	0.62	0.56	0.45	0.44	0.51
108	1	0	0.62	0.56	0.45	0.44	0.51
109	1	0	0.62	0.56	0.45	0.44	0.51
110	1	0	0.62	0.56	0.45	0.44	0.51
111	1	0	0.62	0.56	0.45	0.44	0.51
112	1	0	0.62	0.56	0.45	0.44	0.51
113	1	0	0.62	0.56	0.45	0.44	0.51
114	1	0	0.62	0.56	0.45	0.44	0.51
