SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
0	0.18	0	0.18	0.079	0	9.6e-06	9.6e-06	0.00047	0.18	0.18	0	0	0	0.00045	0	0	0.00047	0	0.18	0	0	0.19
1	0.17	0	0.17	0.071	0	3.3e-06	3.3e-06	0.031	0.17	0.17	0.0027	0	5.1e-05	0.03	0	0	0.031	0	0.17	0	0	0.19
2	0.14	9.1e-05	0.14	0.058	9.1e-05	0	0	0.049	0.14	0.14	0.016	9.1e-05	0.098	0.047	0	9.1e-05	0.049	8.6e-05	0.14	0	0	0.19
3	0.17	0	0.17	0.071	0	2.7e-05	2.7e-05	0.032	0.17	0.17	0.0047	0	0.00022	0.031	0	0	0.032	0	0.17	0	0	0.19
4	0.18	0	0.18	0.078	0	2.7e-05	2.7e-05	0.0021	0.18	0.18	5.8e-06	0	0	0.002	0	0	0.0021	0	0.18	0	0	0.19
5	0.12	0.00016	0.12	0.05	0.00016	0	0	0.083	0.12	0.12	0.0053	0.00016	0.11	0.081	0	0.00016	0.083	0.00015	0.12	0	0	0.19
6	0.18	0	0.18	0.078	0	0	0	0.0024	0.18	0.18	2.5e-06	0	0	0.0023	0	0	0.0024	0	0.18	0	0	0.19
7	0.13	0	0.13	0.054	0	0	0	0.089	0.13	0.13	0.044	0	0.0062	0.086	0	0	0.089	0	0.13	0	0	0.19
8	0.12	6e-05	0.12	0.05	6e-05	0	0	0.079	0.12	0.12	0.085	6e-05	0.042	0.077	0	6e-05	0.079	5.6e-05	0.12	0	0	0.19
9	0.17	0	0.17	0.072	0	0.00015	0.00015	0.027	0.17	0.17	0.0046	0	0.00031	0.026	0	0	0.027	0	0.17	0	0	0.19
10	0.18	0	0.18	0.078	0	3.4e-05	3.4e-05	0.0058	0.18	0.18	7.4e-05	0	0	0.0056	0	0	0.0058	0	0.18	0	0	0.19
11	0.17	0	0.17	0.072	0	0.00013	0.00013	0.029	0.17	0.17	0.0053	0	0.00039	0.028	0	0	0.029	0	0.17	0	0	0.19
12	0.14	2.7e-05	0.14	0.058	2.7e-05	0	0	0.029	0.14	0.14	0.12	2.7e-05	0.063	0.028	0	2.7e-05	0.029	2.5e-05	0.14	0	0	0.19
13	0.18	0	0.18	0.079	0	0.00011	0.00011	0.0013	0.18	0.18	2.6e-06	0	0	0.0012	0	0	0.0013	0	0.18	0	0	0.19
14	0.022	0	0.022	0.0095	0	0.44	0.44	0	0.022	0.022	0	0	0	0	0	0	0	0	0.022	0	5	0.084
15	0.15	0	0.15	0.064	0	0	0	0.061	0.15	0.15	0.01	0	0.00034	0.059	0	0	0.061	0	0.15	0	0	0.19
16	0.17	0	0.17	0.072	0	0	0	0.028	0.17	0.17	0.0012	0	7.5e-06	0.027	0	0	0.028	0	0.17	0	0	0.19
