SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
0	0.31	0.052	0.042	0.081	0.046	0.31	0	0	0	0	0.081	0.078	0	0.14
1	0.39	0.035	0.052	0.055	0.031	0.39	0	0	0	0	0.055	0.00018	0	0.14
2	0.47	0.00014	0.063	0.00023	0.00013	0.47	0	0	0	0	0.00023	0	0	0.14
3	0.45	0.0084	0.061	0.013	0.0074	0.45	0	0	0	0	0.013	8.4e-06	0	0.14
4	1.5e-05	0	0	0	0	1.5e-05	0	0.00094	0.00094	1	0	0	9	0.016
5	0.45	0.0073	0.061	0.011	0.0064	0.45	0	0.0023	0.0023	0	0.011	0.00068	0	0.14
6	0.35	0	0.047	0	0	0.35	0	0.13	0.13	0	0	0	0	0.14
7	0.46	0.0022	0.063	0.0035	0.002	0.46	0	0.00019	0.00019	0	0.0035	6.1e-06	0	0.14
8	0.46	0.0051	0.062	0.008	0.0045	0.46	0	2.9e-05	2.9e-05	0	0.008	1.5e-05	0	0.14
9	0.42	0.022	0.057	0.034	0.019	0.42	0	3e-06	3e-06	0	0.034	0.00017	0	0.14
10	0.46	0.00017	0.062	0.00027	0.00015	0.46	0	0.0094	0.0094	0	0.00027	0	0	0.14
11	0.46	0.0038	0.062	0.0061	0.0034	0.46	0	2.2e-05	2.2e-05	0	0.0061	6.1e-06	0	0.14
12	0.41	0.023	0.056	0.037	0.021	0.41	0	0.00013	0.00013	0	0.037	0.0028	0	0.14
13	0.46	4.7e-05	0.062	7.4e-05	4.2e-05	0.46	0	0.012	0.012	0	7.4e-05	0	0	0.14
14	0.47	0.0002	0.063	0.00031	0.00018	0.47	0	5e-06	5e-06	0	0.00031	0	0	0.14
15	0.47	0.0014	0.063	0.0021	0.0012	0.47	0	0	0	0	0.0021	0	0	0.14
16	0	0	0	0	0	0	0	0	0	1	0	0	9	0.016
17	0.46	0.0018	0.063	0.0029	0.0016	0.46	0	0	0	0	0.0029	0	0	0.14
18	0.47	0.00058	0.063	0.00092	0.00052	0.47	0	2.7e-05	2.7e-05	0	0.00092	0	0	0.14
19	0.34	0.044	0.046	0.069	0.039	0.34	0	0	0	0	0.069	0.058	0	0.14
20	0.15	0.13	0.021	0.21	0.12	0.15	0	0	0	0	0.21	0.0053	3	0.22
21	0.26	0.085	0.036	0.13	0.075	0.26	0	0	0	0	0.13	0.0083	0	0.14
22	0.46	0.0053	0.062	0.0084	0.0047	0.46	0	1.3e-05	1.3e-05	0	0.0084	1e-05	0	0.14
23	0.46	0.0044	0.062	0.007	0.0039	0.46	0	2.7e-06	2.7e-06	0	0.007	2.3e-06	0	0.14
24	0.47	0.00067	0.063	0.001	0.00059	0.47	0	8.9e-06	8.9e-06	0	0.001	0	0	0.14
25	0.38	0.038	0.051	0.059	0.033	0.38	0	6.5e-06	6.5e-06	0	0.059	0.0016	0	0.14
26	0.46	0.0016	0.063	0.0025	0.0014	0.46	0	6e-06	6e-06	0	0.0025	0	0	0.14
27	0.32	0.06	0.043	0.094	0.053	0.32	0	0	0	0	0.094	0.014	0	0.14
28	0.44	0.014	0.059	0.022	0.012	0.44	0	9.6e-06	9.6e-06	0	0.022	0.0001	0	0.14
29	0.46	0.0035	0.062	0.0054	0.0031	0.46	0	0.00022	0.00022	0	0.0054	2.1e-05	0	0.14
30	0.34	0.056	0.046	0.088	0.049	0.34	0	0	0	0	0.088	1.6e-05	0	0.14
31	0.46	0.0027	0.063	0.0043	0.0024	0.46	0	8.3e-06	8.3e-06	0	0.0043	0	0	0.14
32	0.44	0.014	0.059	0.021	0.012	0.44	0	0.00024	0.00024	0	0.021	0.00084	0	0.14
33	0.46	0.0028	0.063	0.0044	0.0025	0.46	0	1.3e-05	1.3e-05	0	0.0044	0	0	0.14
34	0.18	0.12	0.024	0.2	0.11	0.18	0	0	0	0	0.2	4.6e-06	3	0.22
35	0.41	0.024	0.056	0.037	0.021	0.41	0	0	0	0	0.037	3e-06	0	0.14
36	0.28	0.08	0.038	0.13	0.071	0.28	0	0	0	0	0.13	0.0012	0	0.14
37	0.28	0.079	0.038	0.12	0.07	0.28	0	0	0	0	0.12	0.0023	0	0.14
38	0.44	0.014	0.059	0.022	0.012	0.44	0	0	0	0	0.022	3.3e-05	0	0.14
39	0.43	0.016	0.058	0.025	0.014	0.43	0	7.6e-05	7.6e-05	0	0.025	0.00062	0	0.14
40	0.43	0.015	0.059	0.023	0.013	0.43	0	2.4e-05	2.4e-05	0	0.023	0.00023	0	0.14
41	0.47	0.00056	0.063	0.00089	0.0005	0.47	0	0	0	0	0.00089	0	0	0.14
42	0.47	0.00074	0.063	0.0012	0.00065	0.47	0	6.1e-05	6.1e-05	0	0.0012	0	0	0.14
43	0.43	0.016	0.058	0.026	0.014	0.43	0	0	0	0	0.026	0	0	0.14
44	0.45	0.0074	0.061	0.012	0.0065	0.45	0	7.3e-05	7.3e-05	0	0.012	7.3e-05	0	0.14
45	0.47	0.00062	0.063	0.00098	0.00055	0.47	0	0	0	0	0.00098	0	0	0.14
46	0.45	0.0088	0.061	0.014	0.0078	0.45	0	1.8e-05	1.8e-05	0	0.014	4.6e-05	0	0.14
47	0.44	0.012	0.059	0.02	0.011	0.44	0	7.1e-05	7.1e-05	0	0.02	0.00036	0	0.14
48	0.35	0.047	0.048	0.074	0.041	0.35	0	0	0	0	0.074	0.012	0	0.14
49	0.4	0.029	0.054	0.045	0.025	0.4	0	3.3e-05	3.3e-05	0	0.045	0.0039	0	0.14
50	0.28	0.08	0.038	0.13	0.071	0.28	0	0	0	0	0.13	0.0012	0	0.14
51	0.42	0.019	0.057	0.03	0.017	0.42	0	0	0	0	0.03	0	0	0.14
52	0.37	0.04	0.051	0.063	0.036	0.37	0	0	0	0	0.063	0.0009	0	0.14
53	0.46	5.7e-05	0.062	8.9e-05	5e-05	0.46	0	0.013	0.013	0	8.9e-05	0	0	0.14
54	0.39	0.029	0.053	0.045	0.025	0.39	0	4.2e-05	4.2e-05	0	0.045	0.013	0	0.14
55	0.46	0.0038	0.062	0.006	0.0034	0.46	0	4.8e-06	4.8e-06	0	0.006	2.8e-06	0	0.14
56	0.31	5.8e-05	0.042	9.2e-05	5.2e-05	0.31	0	0.12	0.12	0.083	9.2e-05	0	0	0.14
57	0.46	0.0052	0.062	0.0082	0.0046	0.46	0	7.9e-06	7.9e-06	0	0.0082	8.5e-06	0	0.14
58	0.46	0.0036	0.062	0.0056	0.0032	0.46	0	8.3e-06	8.3e-06	0	0.0056	3.3e-06	0	0.14
59	0.41	0.025	0.055	0.04	0.023	0.41	0	5.2e-05	5.2e-05	0	0.04	0.0034	0	0.14
60	0.31	0.064	0.043	0.1	0.056	0.31	0	0	0	0	0.1	0.0086	0	0.14
61	0.41	0.027	0.055	0.042	0.024	0.41	0	0	0	0	0.042	0	0	0.14
62	0.44	0.00011	0.059	0.00017	9.5e-05	0.44	0	0.032	0.032	8.1e-06	0.00017	0	0	0.14
63	0.45	0.0093	0.061	0.015	0.0082	0.45	0	3e-06	3e-06	0	0.015	2e-05	0	0.14
64	0.47	5.7e-05	0.063	8.9e-05	5e-05	0.47	0	0	0	0	8.9e-05	0	0	0.14
65	0.45	0.0098	0.06	0.015	0.0087	0.45	0	7.7e-06	7.7e-06	0	0.015	4.3e-05	0	0.14
66	0.46	0.005	0.062	0.0079	0.0044	0.46	0	4.6e-05	4.6e-05	0	0.0079	2.4e-05	0	0.14
67	0.38	0.033	0.052	0.052	0.029	0.38	0	2.1e-06	2.1e-06	0	0.052	0.016	0	0.14
68	0.46	0.0036	0.062	0.0056	0.0032	0.46	0	0	0	0	0.0056	0	0	0.14
69	0.39	0.028	0.052	0.044	0.025	0.39	0	0	0	0	0.044	0.033	0	0.14
70	0.46	0.0051	0.062	0.0081	0.0046	0.46	0	3.8e-06	3.8e-06	0	0.0081	5.1e-06	0	0.14
71	0.45	0.0084	0.061	0.013	0.0074	0.45	0	0.0009	0.0009	0	0.013	0.00067	0	0.14
72	0.38	0.039	0.051	0.061	0.035	0.38	0	0	0	0	0.061	0.00011	0	0.14
73	0.36	0.045	0.049	0.071	0.04	0.36	0	0	0	0	0.071	0.0078	0	0.14
74	0.4	0.03	0.054	0.048	0.027	0.4	0	5.9e-06	5.9e-06	0	0.048	0.001	0	0.14
75	0.46	0.0017	0.063	0.0026	0.0015	0.46	0	4.2e-05	4.2e-05	0	0.0026	0	0	0.14
76	0.41	0.026	0.055	0.041	0.023	0.41	0	0	0	0	0.041	4.3e-05	0	0.14
77	0.46	0.0014	0.063	0.0022	0.0013	0.46	0	0	0	0	0.0022	0	0	0.14
78	0.43	0.00071	0.059	0.0011	0.00062	0.43	0	0.033	0.033	0.0046	0.0011	1.3e-05	0	0.14
79	0.46	5.7e-05	0.062	8.9e-05	5e-05	0.46	0	0.013	0.013	0	8.9e-05	0	0	0.14
80	0.45	0.0058	0.062	0.0091	0.0051	0.45	0	4.4e-06	4.4e-06	0	0.0091	7.6e-06	0	0.14
81	0.4	0.027	0.055	0.043	0.024	0.4	0	0	0	0	0.043	9.3e-05	0	0.14
82	0.22	0.1	0.03	0.16	0.092	0.22	0	0	0	0	0.16	0.00071	0	0.14
83	0.46	0.0036	0.062	0.0057	0.0032	0.46	0	0	0	0	0.0057	0	0	0.14
84	0.28	0.081	0.037	0.13	0.072	0.28	0	0	0	0	0.13	0.0061	0	0.14
85	0.45	0.0082	0.061	0.013	0.0072	0.45	0	8.9e-06	8.9e-06	0	0.013	3e-05	0	0.14
86	0.41	0.024	0.056	0.038	0.022	0.41	0	0	0	0	0.038	3.2e-05	0	0.14
87	0.45	0.0062	0.061	0.0098	0.0055	0.45	0	0.00035	0.00035	0	0.0098	0.00016	0	0.14
88	0.37	0.039	0.05	0.061	0.034	0.37	0	0	0	0	0.061	0.013	0	0.14
89	0.38	0.033	0.051	0.053	0.03	0.38	0	2.1e-06	2.1e-06	0	0.053	0.03	0	0.14
