SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.035	0	0.84	0	0	0	0.012	0.035	0	0	0	0	0	0	0	0.079	2	0.19	0
1	0	0	0	0.24	0	8.2e-06	0	0	0	0	0	0.025	4.2e-05	0	0.74	0	14	0.41	0.26
2	0	0	0	0.36	0	0.021	0	0	0	0	0	0.36	1.3e-05	0	0.26	0	3	0.24	0.26
3	0.032	0	0.84	0	0	0	0.05	0.032	0	0	0	0	0	0	0	0.049	2	0.19	0
4	0	0	0	0.0025	0	0	0	0	0	0	0	0.042	0.0001	0	0.96	0	14	0.41	0.26
5	0	0.99	0	0.0004	0	0	0	0	0	0	0	0	0.0053	0	0	0	1	0.24	0.13
6	0	3.8e-05	0	0.85	0	0.033	0	0	0	0	0	0.005	0.03	0	0.086	0	3	0.24	0.26
7	0	0.00054	0	0.62	0	0	0	0	0	0	0	0.053	0.13	0	0.2	0	3	0.24	0.26
8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.053	0.11
9	0.003	0	0.34	0	0	0	0.65	0.003	0	0	0	0	0	0	0	0.0011	6	0.11	0
10	0.0008	1	0	6.9e-06	0	0	0	0.0008	0	0	0	0	0.0015	0	0	0	1	0.24	0.13
11	0	0	4.1e-05	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.11	0
12	0.036	0.00016	0.32	0	3.9e-05	0	0.57	0.036	0	1.7e-05	0	0	0	0	0	0.041	6	0.11	0
13	0	0.0036	0	0.029	0	0	0	0	0	0	0	0.0007	0.82	0	0.14	0	12	0.3	0.18
14	0.011	0.14	0.055	0.0018	0	6.2e-05	0.00055	0.011	0	0.14	0	0.00015	0.013	0	0.0034	0.63	15	0.24	0
15	0	9.8e-05	0	0.027	0	0.0035	0	0	0	0	0	0.36	0.012	0	0.6	0	14	0.41	0.26
16	0	0.26	0	9.7e-05	0	0	0	0	0	0	0	0	0.74	0	1.8e-05	0	12	0.3	0.18
17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.24	0.13
18	0	0	0	0.0053	0	0	0	0	0	0	0	0.0044	0.001	0	0.99	0	14	0.41	0.26
19	0	0.9	0	0.00011	0	0	0	0	0	0	0	0	0.097	0	0	0	1	0.24	0.13
20	0	0.026	0	0.12	0	0.22	0	0	0	0	0	0.14	0.061	0	0.44	0	14	0.41	0.26
21	0	0.86	0	0.11	0	0	0	0	0	0	0	0	0.031	0	0	0	1	0.24	0.13
22	0	0.12	0	0.0014	0	0	0	0	0	0	0	3.8e-05	0.86	0	0.022	0	12	0.3	0.18
23	0	0	0	0	0.0086	0	0	0	0.99	0	0	0	0	0	0	0	8	0	0.11
24	0.014	0	0.39	0	0	0	5.7e-05	0.014	0	0.00034	0	0	0	0	0	0.58	15	0.24	0
25	0	1.1e-05	0	0.18	0	0.12	0	0	0	0	0	0.4	0.00091	0	0.29	0	11	0.41	0.33
26	0	0.81	0	0.00051	0	0	0	0	0	0	0	0	0.19	0	3.7e-05	0	1	0.24	0.13
27	0	1	0	0	0	0	0	0	0	0	0	0	1.6e-05	0	0	0	1	0.24	0.13
28	0	0	0	0	0	0.017	0	0	0	0	0	0.1	6.7e-06	0	0.88	0	14	0.41	0.26
29	0	0.99	0	0.00027	0	0	0	0	0	0	0	0	0.014	0	0	0	1	0.24	0.13
30	0.0017	0.99	0	3.4e-06	0	0	0	0.0017	0	0	0	0	0.0069	0	0	0	1	0.24	0.13
