SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1
0	0	0	1	0	0	0	0.00021	0	0	0	0	2	0.18	0
1	0	0	0.88	0.00045	0	0	0.12	0	0	0	0	2	0.18	0
2	0	0	0	0	9.1e-05	1	0	0	3e-06	0	0	5	0	0.38
3	0	0	0	0.00039	0.66	5.4e-05	0	0	2.5e-06	0	0.34	4	0	0.19
4	0	0	0	0	0.98	0.0084	0	0	7.6e-06	0	0.0078	4	0	0.19
5	0	0	0.054	0	0	0	0.95	0	0	0	0	6	0.09	0
6	0	0	0	0	0.91	0	0	0	0	0	0.089	4	0	0.19
7	0	0	0	0	0.21	0.72	0	0	0.055	0.0068	0.0035	5	0	0.38
8	0	0	0	0	0	0	1	0	0	0	0	6	0.09	0
9	0	0	0	0	0.86	0.048	0	0	0.0038	0.00011	0.088	4	0	0.19
10	1	0	0	5.9e-06	0	0	0	0.0032	0	0	0	0	0.27	0.57
11	0	0	0	0	0.0001	1	0	0	6.9e-05	7.1e-06	0	5	0	0.38
12	0	0	0	5.8e-05	0.74	0.17	0	3.6e-06	0.019	0.0013	0.069	4	0	0.19
13	0	0	0	0	0	0.43	0	0	0.002	0.57	0	9	0	0.51
14	0	0	0.00091	0.00076	0	0	1	0	0	0	0	6	0.09	0
15	1	0	0	2.5e-06	0	0	0	0.0018	0	0	0	0	0.27	0.57
16	1	0	0	0	0	0	0	9e-06	0	0	0	0	0.27	0.57
17	0	0	0	0	0.069	0	0	0	0	0	0.93	10	0	0.14
18	0	0	0	0	0.0015	0.91	0	0	0.042	0.044	2.3e-06	5	0	0.38
19	1	0	0	0	0	0	0	0	0	0	0	0	0.27	0.57
20	0	0	0	0	0.93	0.0027	0	0	3.7e-05	0	0.068	4	0	0.19
21	1	0	0	0.00039	0	0	0	0	0	0	0	0	0.27	0.57
22	0	0	0.1	0	0	0	0.9	0	0	0	0	6	0.09	0
23	1	0	0	0.00085	0	0	0	0	0	0	0	0	0.27	0.57
24	0.96	0	0	0.04	0	0	0	0	0	0	0	0	0.27	0.57
25	0	0	0.00025	0	0	0	1	0	0	0	0	6	0.09	0
26	0	0	0	0	0.99	0.0013	0	0	2.2e-06	0	0.011	4	0	0.19
27	1	0	0	0	0	0	0	0	0	0	0	0	0.27	0.57
28	0.9	0	0	0	0	0	0	0.1	0	0	0	0	0.27	0.57
29	0	0	0	0	0.25	0.75	0	0	0.00095	5e-05	0.00025	5	0	0.38
30	0.99	0	0	0.0054	0	0	0	0	0	0	0	0	0.27	0.57
31	0	0	0	0	0.95	0.001	0	0.0042	1.3e-06	0	0.045	4	0	0.19
32	0.022	0	0	0	0.0028	0.77	0	0.2	0.0044	0.0051	0	5	0	0.38
33	0.59	0	0	0.00056	0	0	0	0.41	0	0	0	0	0.27	0.57
34	0	0	0	0	0	0	0	0	1	0	0	8	0.03	0.38
35	1	0	0	0	0	0	0	0.00047	0	0	0	0	0.27	0.57
36	0.98	0	0	0.02	0	0	0	0	0	0	0	0	0.27	0.57
37	0	0	0	0	0.85	0.00011	0	0.00057	0	0	0.15	4	0	0.19
38	0	0	0	0	0.96	0.014	0	0.011	4.3e-05	0	0.014	4	0	0.19
39	1	0	0	0	0	0	0	0	0	0	0	0	0.27	0.57
40	0.82	0	0	0.18	0	0	0	0	0	0	0	0	0.27	0.57
41	0.9	0	0	0.098	0	0	0	0	0	0	0	0	0.27	0.57
42	0	0	0	0	0.99	0	0	0	0	0	0.01	4	0	0.19
43	0	0	0	0	0.98	0.00025	0	0	0	0	0.019	4	0	0.19
44	0.88	0	0	0.12	0	0	0	3.4e-06	0	0	0	0	0.27	0.57
45	0.98	0	0	0.015	0	0	0	7.6e-05	0	0	0	0	0.27	0.57
46	0	0	0.00027	0	0	0	1	0	0	0	0	6	0.09	0
47	1	0	0	0	0	0	0	0	0	0	0	0	0.27	0.57
48	1	0	0	0	0	0	0	0	0	0	0	0	0.27	0.57
49	0	0	0	1	0	0	0	0	0	0	0	3	0.35	0.62
50	1	0	0	0	0	0	0	0.0019	0	0	0	0	0.27	0.57
51	0.077	0	0	0	0	0	0	0.92	0	0	0	7	0.27	0.33
52	0.93	0	0	0	0	0	0	0.071	0	0	0	0	0.27	0.57
53	1	0	0	0	0	0	0	6.7e-06	0	0	0	0	0.27	0.57
54	1	0	0	0.0029	0	0	0	0	0	0	0	0	0.27	0.57
55	0	0	0	0	0	0.96	0	0	0.0069	0.031	0	5	0	0.38
56	0	0	0	0	0.00028	1	0	0	0.00041	0.00014	0	5	0	0.38
57	0.96	0	0	0	0	0	0	0.044	0	0	0	0	0.27	0.57
58	0	0	0	0	0.03	0.92	0	0	0.037	0.01	0.00013	5	0	0.38
59	0.94	0	0	0.064	0	0	0	0	0	0	0	0	0.27	0.57
60	0	0	0	0	0.00042	0.98	0	0	0.0078	0.01	0	5	0	0.38
61	0	0	0	0	0.94	0.008	0	0	0.0001	0	0.05	4	0	0.19
62	1	0	0	0.00071	0	0	0	0.0027	0	0	0	0	0.27	0.57
63	0.88	0	0	0.12	0	0	0	0.00092	0	0	0	0	0.27	0.57
64	0	0	0.77	0	0	0	0.23	0	0	0	0	2	0.18	0
65	0	0	0.00019	0	0	0	1	0	0	0	0	6	0.09	0
66	0.96	0	0	0.0055	0	0	0	0.03	0	0	0	0	0.27	0.57
67	0.99	0	0	0.0025	0	0	0	0.0037	0	0	0	0	0.27	0.57
68	1	0	0	0.00013	0	0	0	0.0029	0	0	0	0	0.27	0.57
69	0	0	0	0	0.00027	1	0	0	0.0013	0.0028	0	5	0	0.38
70	0	0	0.89	0	0	0	0.11	0	0	0	0	2	0.18	0
71	0	0	0	0	0.99	3.3e-05	0	0	0	0	0.015	4	0	0.19
72	1	0	0	0.00053	0	0	0	0	0	0	0	0	0.27	0.57
73	0	0	0	0	0	0	0	0	1	0	0	8	0.03	0.38
74	0	0	0	0	0	0	0	0	1	0	0	8	0.03	0.38
75	0.00035	0	0	0	0	0	0	1	0	0	0	7	0.27	0.33
76	0	0	0.94	0	0	0	0.057	0	0	0	0	2	0.18	0
77	1	0	0	0	0	0	0	5.9e-05	0	0	0	0	0.27	0.57
78	5.9e-06	0	0	0	0	0	0	1	0	0	0	7	0.27	0.33
79	1	0	0	0	0	0	0	0	0	0	0	0	0.27	0.57
80	0	0	4.2e-05	0	0	0	1	0	0	0	0	6	0.09	0
81	0.0019	0	0	0	0	0	0	1	0	0	0	7	0.27	0.33
82	0.32	0	0	0.0036	0	0	0	0.68	0	0	0	7	0.27	0.33
83	1	0	0	0	0	0	0	0.00014	0	0	0	0	0.27	0.57
84	0.85	0	0	0	0	0	0	0.15	8.9e-05	0	0	0	0.27	0.57
85	0.58	0	0	0.42	0	0	0	0	0	0	0	0	0.27	0.57
86	0	0	0	0	0	1	0	0	1.6e-05	0.0025	0	5	0	0.38
87	1	0	0	0	0	0	0	3.7e-06	0	0	0	0	0.27	0.57
88	0	0	0	0	0	0.3	0	0	0.00068	0.7	0	9	0	0.51
89	0	0	0.6	0	0	0	0.4	0	0	0	0	2	0.18	0
90	0.98	0	0	0.02	0	0	0	0.00053	0	0	0	0	0.27	0.57
91	0.97	0	0	0.028	0	0	0	0.0041	0	0	0	0	0.27	0.57
92	0	0	0	0	0.94	0.048	0	0	0.00018	2.6e-06	0.011	4	0	0.19
93	0	0	1	0	0	0	0.0001	0	0	0	0	2	0.18	0
94	0.97	0	0	0.028	0	0	0	0	0	0	0	0	0.27	0.57
95	0.99	0	0	0	0	0	0	0.011	0	0	0	0	0.27	0.57
96	0	0	0	0	0	0	0	1	0	0	0	7	0.27	0.33
97	1	0	0	0	0	0	0	0.00047	0	0	0	0	0.27	0.57
98	0	0	0	9.6e-05	0.83	0.061	0	0	0.006	0.00022	0.1	4	0	0.19
99	0	0	0	0	0	0	0	0	1	0	0	8	0.03	0.38
100	0.99	0	0	0.0096	0	0	0	6e-06	0	0	0	0	0.27	0.57
101	0.95	0	0	0.033	0	0	0	0.014	0	0	0	0	0.27	0.57
102	0.69	0	0	0	0	0	0	0.31	0	0	0	0	0.27	0.57
103	1	0	0	0.00012	0	0	0	0	0	0	0	0	0.27	0.57
104	0	0	0.099	0	0	0	0.9	0	0	0	0	6	0.09	0
105	0	0	0	0	0.93	0.00022	0	0	0	0	0.071	4	0	0.19
106	0	0	0.94	0	0	0	0.061	8.8e-05	0	0	0	2	0.18	0
107	1	0	0	0	0	0	0	0	0	0	0	0	0.27	0.57
108	0	0	0.00023	0	0	0	1	0	0	0	0	6	0.09	0
109	1	0	0	3.8e-05	0	0	0	0	0	0	0	0	0.27	0.57
110	0	0	0.078	0	0	0	0.92	0	0	0	0	6	0.09	0
111	1	0	0	0	0	0	0	0.0015	0	0	0	0	0.27	0.57
112	1	0	0	0	0	0	0	0	0	0	0	0	0.27	0.57
113	0	0	0	0	0	0	1	0	0	0	0	6	0.09	0
114	1	0	0	0	0	0	0	3.3e-06	0	0	0	0	0.27	0.57
