SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0
0	0.1	0.23	0.0033	0.016	0.1	0.1	0.23	0.016	0	0.1	0.016	0.016	0.016	0.016	0.016	0	0	0	1	0.18
1	0.11	0.25	0.002	0.0068	0.11	0.11	0.25	0.0068	0	0.11	0.0068	0.0068	0.0068	0.0068	0.0068	0	0	0	1	0.18
2	0.086	0.19	0.0044	0.038	0.086	0.086	0.19	0.038	0	0.086	0.038	0.038	0.038	0.038	0.038	0	0	0	1	0.18
3	0.1	0.23	0.0028	0.018	0.1	0.1	0.23	0.018	0	0.1	0.018	0.018	0.018	0.018	0.018	0	0	0	1	0.18
4	0.094	0.21	0.004	0.028	0.094	0.094	0.21	0.028	0	0.094	0.028	0.028	0.028	0.028	0.028	0	0	0	1	0.18
5	0.077	0.17	0.0038	0.049	0.077	0.077	0.17	0.049	0	0.077	0.049	0.049	0.049	0.049	0.049	0	0	0	1	0.18
6	0.099	0.22	0.0037	0.022	0.099	0.099	0.22	0.022	0	0.099	0.022	0.022	0.022	0.022	0.022	0	0	0	1	0.18
7	0.1	0.23	0.0036	0.018	0.1	0.1	0.23	0.018	0	0.1	0.018	0.018	0.018	0.018	0.018	0	0	0	1	0.18
8	0.11	0.25	0.0032	0.0094	0.11	0.11	0.25	0.0094	0	0.11	0.0094	0.0094	0.0094	0.0094	0.0094	0	0	0	1	0.18
9	0.093	0.21	0.0032	0.03	0.093	0.093	0.21	0.03	0	0.093	0.03	0.03	0.03	0.03	0.03	0	0	0	1	0.18
10	0.072	0.16	0.0046	0.055	0.072	0.072	0.16	0.055	0	0.072	0.055	0.055	0.055	0.055	0.055	0	0	0	1	0.18
11	0.1	0.23	0.0041	0.02	0.1	0.1	0.23	0.02	0	0.1	0.02	0.02	0.02	0.02	0.02	0	0	0	1	0.18
12	0.089	0.2	0.0045	0.034	0.089	0.089	0.2	0.034	0	0.089	0.034	0.034	0.034	0.034	0.034	0	0	0	1	0.18
13	0.069	0.15	0.0048	0.059	0.069	0.069	0.15	0.059	0	0.069	0.059	0.059	0.059	0.059	0.059	0	0	0	1	0.18
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	1	17	0
15	0.088	0.2	0.0052	0.035	0.088	0.088	0.2	0.035	0	0.088	0.035	0.035	0.035	0.035	0.035	0	0	0	1	0.18
16	0.11	0.25	0.0027	0.007	0.11	0.11	0.25	0.007	0	0.11	0.007	0.007	0.007	0.007	0.007	0	0	0	1	0.18
17	0.11	0.25	0.0022	0.006	0.11	0.11	0.25	0.006	0	0.11	0.006	0.006	0.006	0.006	0.006	0	0	0	1	0.18
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0.02
19	0.11	0.24	0.003	0.011	0.11	0.11	0.24	0.011	0	0.11	0.011	0.011	0.011	0.011	0.011	0	0	0	1	0.18
20	0.082	0.18	0.005	0.043	0.082	0.082	0.18	0.043	0	0.082	0.043	0.043	0.043	0.043	0.043	0	0	0	1	0.18
21	0.11	0.25	0.0026	0.0076	0.11	0.11	0.25	0.0076	0	0.11	0.0076	0.0076	0.0076	0.0076	0.0076	0	0	0	1	0.18
22	0.038	0.085	0.0048	0.096	0.038	0.038	0.085	0.096	0	0.038	0.096	0.096	0.096	0.096	0.096	0	0	0	3	0.14
23	0.084	0.19	0.0045	0.04	0.084	0.084	0.19	0.04	0	0.084	0.04	0.04	0.04	0.04	0.04	0	0	0	1	0.18
24	0.11	0.26	0.0021	0.0046	0.11	0.11	0.26	0.0046	0	0.11	0.0046	0.0046	0.0046	0.0046	0.0046	0	0	0	1	0.18
25	0.099	0.22	0.0036	0.022	0.099	0.099	0.22	0.022	0	0.099	0.022	0.022	0.022	0.022	0.022	0	0	0	1	0.18
26	0.11	0.24	0.0032	0.015	0.11	0.11	0.24	0.015	0	0.11	0.015	0.015	0.015	0.015	0.015	0	0	0	1	0.18
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0.99	17	0
28	0.093	0.21	0.0044	0.029	0.093	0.093	0.21	0.029	0	0.093	0.029	0.029	0.029	0.029	0.029	0	0	0	1	0.18
29	0.12	0.26	0.00039	0.00013	0.12	0.12	0.26	0.00013	0	0.12	0.00013	0.00013	0.00013	0.00013	0.00013	0	0	0	1	0.18
30	0.1	0.24	0.0032	0.015	0.1	0.1	0.24	0.015	0	0.1	0.015	0.015	0.015	0.015	0.015	0	0	0	1	0.18
31	0.094	0.21	0.004	0.028	0.094	0.094	0.21	0.028	0	0.094	0.028	0.028	0.028	0.028	0.028	0	0	0	1	0.18
32	0.12	0.26	0.00035	9.6e-05	0.12	0.12	0.26	9.6e-05	0	0.12	9.6e-05	9.6e-05	9.6e-05	9.6e-05	9.6e-05	0	0	0	1	0.18
33	0.1	0.24	0.0037	0.015	0.1	0.1	0.24	0.015	0	0.1	0.015	0.015	0.015	0.015	0.015	0	0	0	1	0.18
34	0.1	0.23	0.0033	0.021	0.1	0.1	0.23	0.021	0	0.1	0.021	0.021	0.021	0.021	0.021	0	0	0	1	0.18
35	0.079	0.18	0.0049	0.046	0.079	0.079	0.18	0.046	0	0.079	0.046	0.046	0.046	0.046	0.046	0	0	0	1	0.18
36	0.087	0.2	0.0048	0.037	0.087	0.087	0.2	0.037	0	0.087	0.037	0.037	0.037	0.037	0.037	0	0	0	1	0.18
37	0.09	0.2	0.0043	0.033	0.09	0.09	0.2	0.033	0	0.09	0.033	0.033	0.033	0.033	0.033	0	0	0	1	0.18
38	0.1	0.23	0.0039	0.016	0.1	0.1	0.23	0.016	0	0.1	0.016	0.016	0.016	0.016	0.016	0	0	0	1	0.18
39	0.12	0.26	0.00059	0.00028	0.12	0.12	0.26	0.00028	0	0.12	0.00028	0.00028	0.00028	0.00028	0.00028	0	0	0	1	0.18
40	0.12	0.26	0.0018	0.0025	0.12	0.12	0.26	0.0025	0	0.12	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	1	0.18
41	0.084	0.19	0.0049	0.04	0.084	0.084	0.19	0.04	0	0.084	0.04	0.04	0.04	0.04	0.04	0	0	0	1	0.18
42	0.1	0.23	0.0035	0.018	0.1	0.1	0.23	0.018	0	0.1	0.018	0.018	0.018	0.018	0.018	0	0	0	1	0.18
43	0.038	0.086	0.0049	0.096	0.038	0.038	0.086	0.096	0	0.038	0.096	0.096	0.096	0.096	0.096	0	0	0	3	0.14
44	0.11	0.24	0.0026	0.011	0.11	0.11	0.24	0.011	0	0.11	0.011	0.011	0.011	0.011	0.011	0	0	0	1	0.18
45	0.096	0.21	0.0039	0.026	0.096	0.096	0.21	0.026	0	0.096	0.026	0.026	0.026	0.026	0.026	0	0	0	1	0.18
46	0.095	0.21	0.0049	0.027	0.095	0.095	0.21	0.027	0	0.095	0.027	0.027	0.027	0.027	0.027	0	0	0	1	0.18
47	0.12	0.26	0.0015	0.0021	0.12	0.12	0.26	0.0021	0	0.12	0.0021	0.0021	0.0021	0.0021	0.0021	0	0	0	1	0.18
48	0.12	0.26	0.0014	0.0016	0.12	0.12	0.26	0.0016	0	0.12	0.0016	0.0016	0.0016	0.0016	0.0016	0	0	0	1	0.18
49	0.11	0.25	0.0027	0.0092	0.11	0.11	0.25	0.0092	0	0.11	0.0092	0.0092	0.0092	0.0092	0.0092	0	0	0	1	0.18
50	0.12	0.26	0.0008	0.00043	0.12	0.12	0.26	0.00043	0	0.12	0.00043	0.00043	0.00043	0.00043	0.00043	0	0	0	1	0.18
51	0.11	0.25	0.003	0.0067	0.11	0.11	0.25	0.0067	0	0.11	0.0067	0.0067	0.0067	0.0067	0.0067	0	0	0	1	0.18
52	0.066	0.15	0.005	0.063	0.066	0.066	0.15	0.063	0	0.066	0.063	0.063	0.063	0.063	0.063	0	0	0	1	0.18
53	0.11	0.25	0.0025	0.007	0.11	0.11	0.25	0.007	0	0.11	0.007	0.007	0.007	0.007	0.007	0	0	0	1	0.18
