SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	0	0.29	0.59	0.57	0.4
1	1	0	0	0	0.29	0.59	0.57	0.4
2	1	0	0	0	0.29	0.59	0.57	0.4
3	0	1	0	1	0.032	0.14	0.048	0.089
4	1	0	0	0	0.29	0.59	0.57	0.4
5	1	0	0	0	0.29	0.59	0.57	0.4
6	0	1	0	1	0.032	0.14	0.048	0.089
7	1	0	0	0	0.29	0.59	0.57	0.4
8	0	1	0	1	0.032	0.14	0.048	0.089
9	0.00057	1	0	1	0.032	0.14	0.048	0.089
10	1	0	0	0	0.29	0.59	0.57	0.4
11	1	0	0	0	0.29	0.59	0.57	0.4
12	1	0	0	0	0.29	0.59	0.57	0.4
13	0	1	0.0024	1	0.032	0.14	0.048	0.089
14	1	0	0	0	0.29	0.59	0.57	0.4
15	0	1	0	1	0.032	0.14	0.048	0.089
16	1	0	0	0	0.29	0.59	0.57	0.4
17	1	0	0	0	0.29	0.59	0.57	0.4
18	1	0	0	0	0.29	0.59	0.57	0.4
19	0.99	0.0059	0	0	0.29	0.59	0.57	0.4
20	1	0	0	0	0.29	0.59	0.57	0.4
21	1	0	0	0	0.29	0.59	0.57	0.4
22	1	0	0	0	0.29	0.59	0.57	0.4
23	1	0	0	0	0.29	0.59	0.57	0.4
24	0	1	0	1	0.032	0.14	0.048	0.089
25	1	0	0	0	0.29	0.59	0.57	0.4
26	0	0	1	2	0.13	0	0.38	0
27	1	0	0	0	0.29	0.59	0.57	0.4
28	1	0	0	0	0.29	0.59	0.57	0.4
29	1	0	0	0	0.29	0.59	0.57	0.4
30	1	0	0	0	0.29	0.59	0.57	0.4
31	1	0	0	0	0.29	0.59	0.57	0.4
32	1	0	0	0	0.29	0.59	0.57	0.4
33	1	0	0	0	0.29	0.59	0.57	0.4
34	1	0	0	0	0.29	0.59	0.57	0.4
35	0	1	0	1	0.032	0.14	0.048	0.089
36	1	0	0	0	0.29	0.59	0.57	0.4
37	1	0	0	0	0.29	0.59	0.57	0.4
38	1	0	0	0	0.29	0.59	0.57	0.4
39	1	0	0	0	0.29	0.59	0.57	0.4
40	1	0	0	0	0.29	0.59	0.57	0.4
41	0	0	1	2	0.13	0	0.38	0
42	0	1	0	1	0.032	0.14	0.048	0.089
43	1	0	0	0	0.29	0.59	0.57	0.4
44	0	1	0	1	0.032	0.14	0.048	0.089
45	1	0	0	0	0.29	0.59	0.57	0.4
46	0	1	0	1	0.032	0.14	0.048	0.089
47	1	0	0	0	0.29	0.59	0.57	0.4
48	1	0	0	0	0.29	0.59	0.57	0.4
49	1	0	0	0	0.29	0.59	0.57	0.4
50	1	0	0	0	0.29	0.59	0.57	0.4
51	1	0	0	0	0.29	0.59	0.57	0.4
52	1	0	0	0	0.29	0.59	0.57	0.4
53	0.99	0.0072	0	0	0.29	0.59	0.57	0.4
