SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0	0	0	0	0	1	0	0	0	0	5	0.03	0.35
1	0	0	0	0	0	1	0	0	0	0	5	0.03	0.35
2	0.65	0.18	0	0	0	0	0	0	0	0.17	0	0.27	0.35
3	0.8	0.15	0	0	0	0	0	0	0	0.05	0	0.27	0.35
4	0.72	0.25	0	0	0	0	0	0	0	0.028	0	0.27	0.35
5	0.79	0.12	0	0	0	0	0	0	0	0.091	0	0.27	0.35
6	0.93	0.051	0	0	0	0	0	0	0	0.015	0	0.27	0.35
7	0.25	0.71	0	0	0	0	0	0	0	0.046	1	0.47	0.65
8	0.88	0.077	0	0	0	0	0	0	0	0.046	0	0.27	0.35
9	0.98	0.0033	0	0	0	0	0	0	0	0.013	0	0.27	0.35
10	0.65	0.0087	0	0	0	0	0	0	0	0.34	0	0.27	0.35
11	0.00048	0	0.81	0	0.19	0	0	0	0	0	2	0.57	0.22
12	0.81	0.087	0	0	0	0	0	0	0	0.099	0	0.27	0.35
13	0	0	0.94	0	0.056	0	0	0	0	0	2	0.57	0.22
14	0.00016	0	0.77	0	0.23	0	0	0	0	0	2	0.57	0.22
15	0.73	0.11	0	0	0	0	0	0	0	0.16	0	0.27	0.35
16	0.8	0.031	0	0	0	0	0	0	0	0.17	0	0.27	0.35
17	0.0053	0.99	0	0	0	0	0	0	0	0.0055	1	0.47	0.65
18	0.018	0.97	0	0	0	0	0	0	0	0.014	1	0.47	0.65
19	0.53	0.16	0	0	0	0	0	0	0	0.31	0	0.27	0.35
20	0.91	0.019	0	0	0	0	0	0	0	0.069	0	0.27	0.35
21	0	0	0	0.99	0	0.011	0	0	0	0	3	0	0.42
22	0.65	0.27	0	0	0	0	0	0	0	0.085	0	0.27	0.35
23	0.5	0.48	0	0	0	0	0	0	0	0.019	0	0.27	0.35
24	0.32	0.099	0	0	0	0	0	0	0	0.58	9	0.58	0.65
25	0.53	0.4	0	0	0	0	0	0	0	0.061	0	0.27	0.35
26	0.59	0.36	0	0	0	0	0	0	0	0.044	0	0.27	0.35
27	2.6e-05	0	0.85	0	0.15	0	0	0	0	0	2	0.57	0.22
28	0.084	0.58	0	0	0	0	0	0	0	0.34	1	0.47	0.65
29	0.25	0.59	0	0	0	0	0	0	0	0.16	1	0.47	0.65
30	0.77	0.16	0	0	0	0	0	0	0	0.071	0	0.27	0.35
31	0.41	0.49	0.00011	0	0.0077	0	0	0	0	0.085	1	0.47	0.65
32	0.45	0.37	0	0	0	0	0	0	0	0.19	0	0.27	0.35
33	0.22	0.7	0	0	0	0	0	0	0	0.076	1	0.47	0.65
34	0	0	0	0	0	1	0	0	0	0	5	0.03	0.35
35	0	0	0	0	0	1	0	0	0	0	5	0.03	0.35
36	0.47	0.52	0	0	0	0	0	0	0	0.01	1	0.47	0.65
37	0.87	0.0055	0	0	0	0	0	0	0	0.12	0	0.27	0.35
38	0.69	0.3	0	0	0	0	0	0	0	0.011	0	0.27	0.35
39	0.019	0.98	0	0	0	0	0	0	0	0.0034	1	0.47	0.65
40	0.92	0.0019	0	0	0	0	0	0	0	0.073	0	0.27	0.35
41	0.8	0.065	0	0	0	0	0	0	0	0.13	0	0.27	0.35
42	0	0	0.98	0	0.022	0	0	0	0	0	2	0.57	0.22
43	0	0	0	0	0	1	0	0	0	0	5	0.03	0.35
44	0.51	0.086	0	0	3.8e-06	0	0	0	0	0.4	0	0.27	0.35
45	0.32	0.64	0	0	0	0	0	0	0	0.039	1	0.47	0.65
46	0.93	0.038	0	0	0	0	0	0	0	0.036	0	0.27	0.35
47	0.53	0.31	0	0	0	0	0	0	0	0.16	0	0.27	0.35
48	0.83	0.17	0	0	1.7e-06	0.0017	0	0	0	0.002	0	0.27	0.35
49	0	0	0.049	0	0.95	0	0	0	0	0	4	0.49	0.29
50	0.43	0.56	0	0	0	0	0	0	0	0.0039	1	0.47	0.65
51	0.5	0.39	0	0	0	0	0	0	0	0.11	0	0.27	0.35
52	0.014	0.98	0	0	0	0	0	0	0	0.0026	1	0.47	0.65
53	0.62	0.31	0	0	0	0	0	0	0	0.066	0	0.27	0.35
54	0.71	0.22	0.0035	0	0.0077	0	0	0	0	0.058	0	0.27	0.35
55	0.37	0.04	0	0	0	0	0	0	0	0.59	9	0.58	0.65
56	0.35	0	0.024	0	0.62	0	0	0	0	0	4	0.49	0.29
57	0.12	0.85	0	0	0	0	0	0	0	0.03	1	0.47	0.65
58	0	0	1	0	3.1e-05	0	0	0	0	0	2	0.57	0.22
59	0.83	9.4e-05	0	0	0	0	0	0	0	0.17	0	0.27	0.35
60	0.16	0.82	0	0	0	0	0	0	0	0.02	1	0.47	0.65
61	0.86	0.0084	0	0	0	0	0	0	0	0.13	0	0.27	0.35
62	0.65	0.29	0	0	0	0	0	0	0	0.062	0	0.27	0.35
63	0.42	0.37	0	0	0	0	0	0	0	0.21	0	0.27	0.35
64	0.053	0.7	0	0	0	0	0	0	0	0.25	1	0.47	0.65
65	0.76	0.14	0	0	0	0	0	0	0	0.096	0	0.27	0.35
66	0	0	0	0	0	0	0	1	0	0	7	0.09	0.039
67	0.86	0.091	0	0	0	0	0	0	0	0.044	0	0.27	0.35
68	0	0	0	0.99	0	0.0054	0	0	0	0	3	0	0.42
69	0.32	0.62	0	0	0	0	0	0	0	0.063	1	0.47	0.65
70	0.49	0.49	0	0	0	0	0	0	0	0.022	1	0.47	0.65
71	0.16	0.78	0	0	0	0	0	0	0	0.059	1	0.47	0.65
72	0	0	0.98	0	0.023	0	0	0	0	0	2	0.57	0.22
73	0	0	0	0	0	0	0	1	0	0	7	0.09	0.039
74	0.4	0.41	0	0	0	0	0	0	0	0.19	1	0.47	0.65
75	0.54	0.34	0.0013	0	0.0091	0	0	0	0	0.11	0	0.27	0.35
76	0.68	0.2	0	0	0	0	0	0	0	0.13	0	0.27	0.35
77	0	0	0	0	0	0	0	1	0	0	7	0.09	0.039
78	0.97	0.014	0	0	0	0	0	0	0	0.017	0	0.27	0.35
79	3.4e-05	0	0.51	0	0.49	0	0	0	0	0	2	0.57	0.22
80	0.7	0.25	0	0	0	0	0	0	0	0.05	0	0.27	0.35
81	0.19	0.79	0	0	0	0	0	0	0	0.024	1	0.47	0.65
82	0.71	0.17	0	0	0	0	0	0	0	0.13	0	0.27	0.35
83	0.79	0.12	0	0	0	0	0	0	0	0.084	0	0.27	0.35
84	0.5	0.17	0	0	0	0	0	0	0	0.33	0	0.27	0.35
85	0	0	0	0.8	0	0.2	0	0	0	0	3	0	0.42
86	0.9	0.058	0	0	0	0	0	0	0	0.038	0	0.27	0.35
87	0.48	0.49	0	0	0	0	0	0	0	0.033	1	0.47	0.65
88	0.49	0	0.46	0	0.039	0	0	0.0082	0	0	0	0.27	0.35
89	0.062	0.94	0	0	0	0	0	0	0	0.00039	1	0.47	0.65
90	0.6	0.15	0.00018	0	0.0006	0	0	0	0	0.24	0	0.27	0.35
91	0.25	0.5	0	0	0	0	0	0	0	0.25	1	0.47	0.65
92	0.63	0.23	0	0	0	0	0	0	0	0.14	0	0.27	0.35
93	0.036	0.96	0	0	0	0	0	0	0	0.0019	1	0.47	0.65
94	0.85	0.018	0	0	0	0	0	0	0	0.13	0	0.27	0.35
95	0.55	0	0.28	0	0.17	0	0	0	0	0	0	0.27	0.35
96	0.88	0.1	0	0	0	0	0	0	0	0.015	0	0.27	0.35
97	0.75	0.2	1.8e-06	0	2.9e-05	0	0	0	0	0.051	0	0.27	0.35
98	0.83	0.12	0	0	0	0	0	0	0	0.048	0	0.27	0.35
99	1	0.00033	0	0	0	0	0	0	0	0	0	0.27	0.35
100	0.3	0.7	0	0	0	0	0	0	0	4.5e-05	1	0.47	0.65
101	0.98	0.016	0	0	0	0	0	0	0	0.00038	0	0.27	0.35
102	0.066	0	0.82	0	0.11	0	0	0	0	0	2	0.57	0.22
103	0.54	0.46	0	0	0	0	0	0	0	0.0019	0	0.27	0.35
104	0.42	0.56	0	0	0	0	0	0	0	0.017	1	0.47	0.65
105	0.22	0.78	0	0	0	0	0	0	0	0.00077	1	0.47	0.65
106	0.69	0.28	0	0	0	0	0	0	0	0.033	0	0.27	0.35
107	0.67	0.33	0	0	0	0	0	0	0	0.0011	0	0.27	0.35
108	0.31	0.69	0	0	0	0	0	0	0	0.0014	1	0.47	0.65
109	4e-05	0	4.9e-05	0	0	0	0	1	0	0	7	0.09	0.039
110	0.4	0.59	0	0	0	0	0	0	0	0.015	1	0.47	0.65
111	0.12	0.34	0	0	0	0	0	0	0	0.54	9	0.58	0.65
112	0.66	0.17	0	0	0	0	0	0	0	0.17	0	0.27	0.35
113	0.051	0.95	0	0	0	0	0	0	0	0.0025	1	0.47	0.65
114	0.058	0.00089	0.56	0	0.38	0	0	0	0	0.00054	2	0.57	0.22
115	0	0	0	0	0	1	0	0	0	0	5	0.03	0.35
116	0.56	0.4	0	0	0	0	0	0	0	0.041	0	0.27	0.35
117	0.77	0.15	0	0	0	0	0	0	0	0.083	0	0.27	0.35
118	0.71	0.033	0	0	0	0	0	0	0	0.26	0	0.27	0.35
119	1	9.8e-05	0	0	0	0	0	0	0	0.0027	0	0.27	0.35
120	0.51	0.44	0	0	0	0	0	0	0	0.046	0	0.27	0.35
121	0.68	0.28	0	0	0	0	0	0	0	0.041	0	0.27	0.35
122	0.7	0.29	0	0	0	0	0	0	0	0.009	0	0.27	0.35
123	0.58	0.28	0	0	0	0	0	0	0	0.14	0	0.27	0.35
124	0.9	0.028	0	0	0	0	0	0	0	0.074	0	0.27	0.35
125	0	0	0	0	0	0	1	0	0	0	6	0	0.12
126	0	0	0.71	0	0.29	0	0	0	0	0	2	0.57	0.22
127	0.63	0.22	0	0	0	0	0	0	0	0.15	0	0.27	0.35
128	0.77	0.21	0	0	0	0	0	0	0	0.025	0	0.27	0.35
129	0.92	0.027	0	0	0	0	0	0	0	0.048	0	0.27	0.35
130	0	0	0	0.99	0	0.0061	0	0	0	0	3	0	0.42
131	0.9	0.058	0	0	0	0	0	0	0	0.04	0	0.27	0.35
132	0.68	0.27	0	0	0	0	0	0	0	0.049	0	0.27	0.35
133	0.37	0.33	0	0	0	0	0	0	0	0.3	0	0.27	0.35
134	0.67	0.11	0	0	8.6e-06	0	0	0	0	0.22	0	0.27	0.35
135	0.032	0.96	0	0	0	0	0	0	0	0.0057	1	0.47	0.65
136	0.5	0.0014	0	0	0	0	0	0	0	0.5	0	0.27	0.35
137	0.41	0.55	0	0	0	0	0	0	0	0.041	1	0.47	0.65
138	0	0	0.98	0	0.017	0	0	0	0	0	2	0.57	0.22
139	0	2.4e-06	0	0.91	0	0.086	0	0	0	0	3	0	0.42
140	0	0	1	0	0.0027	0	0	0	0	0	2	0.57	0.22
141	0	0	0	0	0	0	0	1	0	0	7	0.09	0.039
142	0	0	0	0.98	0	0.023	0	0	0	0	3	0	0.42
143	0.81	0.14	0	0	0	0	0	0	0	0.054	0	0.27	0.35
144	0.61	0.11	0	0	0	0	0	0	0	0.27	0	0.27	0.35
145	0.66	0.17	8.7e-06	0	4.2e-05	0	0	0	0	0.16	0	0.27	0.35
146	0.03	0.94	0	0	0	0	0	0	0	0.025	1	0.47	0.65
147	0.36	0.59	0	0	0	0	0	0	0	0.043	1	0.47	0.65
148	0.0093	0.92	0	0	0	0	0	0	0	0.069	1	0.47	0.65
149	0	0	0	0.99	0	0.011	0	0	0	0	3	0	0.42
150	0.83	0.1	0	0	0	0	0	0	0	0.071	0	0.27	0.35
151	0.86	0.022	0	0	0	0	0	0	0	0.12	0	0.27	0.35
152	0	0	0	0	0	0	1	3.1e-06	0	0	6	0	0.12
153	0.88	0.023	0	0	0	0	0	0	0	0.1	0	0.27	0.35
154	0	0	0	0	0	0	1	0	0	0	6	0	0.12
155	0.92	0.063	0	0	0	0	0	0	0	0.017	0	0.27	0.35
156	0.66	0.23	0	0	0	0	0	0	0	0.11	0	0.27	0.35
157	0.26	0.72	0	0	0	0	0	0	0	0.021	1	0.47	0.65
158	0.72	0.00049	0	0	0	0	0	0	0	0.28	0	0.27	0.35
159	0	0	0	0	0	0	1	0.00048	0	0	6	0	0.12
160	0.44	0.53	0	0	0	0	0	0	0	0.029	1	0.47	0.65
161	0.73	0.26	0	0	0	0	0	0	0	0.018	0	0.27	0.35
162	0	0	0	0	0	0	1	0	0	0	6	0	0.12
163	0.68	0.17	0	0	0	0	0	0	0	0.16	0	0.27	0.35
164	0.82	0.11	0	0	0	0	0	0	0	0.074	0	0.27	0.35
165	0.96	0.015	0	0	0	0	0	0	0	0.02	0	0.27	0.35
166	0.57	0.43	0	0	0	0	0	0	0	0.0028	0	0.27	0.35
167	0.82	0.064	0	0	0	0	0	0	0	0.12	0	0.27	0.35
168	0.76	0.067	0	0	0	0	0	0	0	0.17	0	0.27	0.35
169	0.66	0.24	0	0	0	0	0	0	0	0.095	0	0.27	0.35
170	0.73	0.18	0	0	0	0	0	0	0	0.087	0	0.27	0.35
171	0	0	1	0	5.4e-05	0	0	0	0	0	2	0.57	0.22
172	1	0	0	0	0	0	0	0	0	0	0	0.27	0.35
173	1	0.0022	0	0	0	0	0	0	0	0.0024	0	0.27	0.35
