SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0	0.051	0	0.04	0	0.073
1	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
2	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
3	0	0	1	0	2	0.051	0.16	0	0	0
4	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
5	0.86	0	0.14	1.6e-05	0	0.051	0	0.04	0	0.073
6	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
7	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
8	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
9	0	0	1	0	2	0.051	0.16	0	0	0
10	0	0	1	0	2	0.051	0.16	0	0	0
11	0	0	1	0	2	0.051	0.16	0	0	0
12	0	0	1	0	2	0.051	0.16	0	0	0
13	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
14	0.94	0	0.057	0	0	0.051	0	0.04	0	0.073
15	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
16	0	0	1	1.9e-05	2	0.051	0.16	0	0	0
17	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
18	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
19	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
20	1	0	0	0	0	0.051	0	0.04	0	0.073
21	1	0	0	0	0	0.051	0	0.04	0	0.073
22	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
23	1	0	0	0	0	0.051	0	0.04	0	0.073
24	1	0	0	0	0	0.051	0	0.04	0	0.073
25	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
26	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
27	1	0	0	0	0	0.051	0	0.04	0	0.073
28	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
29	1	0	0	0	0	0.051	0	0.04	0	0.073
30	1	0	0.00065	0	0	0.051	0	0.04	0	0.073
31	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
32	1	0	0	0	0	0.051	0	0.04	0	0.073
33	0	0.0043	0	1	3	0.2	0.16	0.04	0.1	0.037
34	1	0	0	0	0	0.051	0	0.04	0	0.073
35	1	0	0	0	0	0.051	0	0.04	0	0.073
36	1	0	0.0024	0	0	0.051	0	0.04	0	0.073
37	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
38	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
39	0	0	0	1	3	0.2	0.16	0.04	0.1	0.037
40	1	0	0	0	0	0.051	0	0.04	0	0.073
41	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
42	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
43	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
44	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
45	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
46	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
47	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
48	1	0	0	0	0	0.051	0	0.04	0	0.073
49	1	0	0	0	0	0.051	0	0.04	0	0.073
50	1	0	3.5e-06	0	0	0.051	0	0.04	0	0.073
51	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
52	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
53	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
54	0	1	0	0	1	0.54	0.51	0.36	0.53	0.33
