SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1	dcf2
0	0.53	0.026	0	0.42	0	0	0.02	0	0.22	0.58	0.22
1	0	1	0	0.00021	0	0	0.00033	1	0.14	0.26	0.14
2	0.00034	0.063	0	0.77	0	0	0.17	3	0.22	0.42	0.22
3	0	1	0.00059	0	0	0	0	1	0.14	0.26	0.14
4	0.0083	0.0038	0	0.078	0	0	0.91	6	0.14	0.42	0.22
5	0.0023	0.57	0	0.35	0	0	0.081	1	0.14	0.26	0.14
6	0.001	5.8e-05	0	0.5	0	0	0.5	3	0.22	0.42	0.22
7	0.034	0.72	0	0.017	0	0	0.23	1	0.14	0.26	0.14
8	0.99	0.0053	0	0.00041	0	0	5.8e-05	0	0.22	0.58	0.22
9	0.0002	0.13	0	0.00062	0	0	0.87	6	0.14	0.42	0.22
10	0	0	0	0.012	0	0	0.99	6	0.14	0.42	0.22
11	2.4e-06	0.92	0	0.0017	0	0	0.076	1	0.14	0.26	0.14
12	0	1	0	0	0	0	0.00014	1	0.14	0.26	0.14
13	0.079	0.12	0	0.73	0	0	0.073	3	0.22	0.42	0.22
14	0	1	0	0	0	0	0	1	0.14	0.26	0.14
15	0.19	0.16	0	0.066	0	0	0.58	6	0.14	0.42	0.22
16	2.8e-05	1.4e-05	0	0.083	0	0	0.92	6	0.14	0.42	0.22
17	0.015	0.27	0	0.4	0	0	0.32	3	0.22	0.42	0.22
18	0.32	0.53	0	0.15	0	0	0.0063	1	0.14	0.26	0.14
19	0.12	0.027	0	0.18	0	0	0.68	6	0.14	0.42	0.22
20	0.0013	0.12	0	0.66	0	0	0.21	3	0.22	0.42	0.22
21	0.025	0.42	0	0.06	0	0	0.5	6	0.14	0.42	0.22
22	0.0026	0.00013	0	1	0	0	0	3	0.22	0.42	0.22
23	0.11	0.38	0	0.16	0	0	0.34	1	0.14	0.26	0.14
24	0.0033	0.62	0	0.27	0	0	0.11	1	0.14	0.26	0.14
25	0.051	0.26	0	0.63	0	0	0.054	3	0.22	0.42	0.22
26	5.7e-05	1	0	0.0038	0	0	0.0011	1	0.14	0.26	0.14
27	0.0039	0.99	0	0.0005	0	0	0.00092	1	0.14	0.26	0.14
28	0	0	1	0	0	0	0	2	0.062	0.12	0.062
29	0.0083	0.85	0	0.056	0	0	0.087	1	0.14	0.26	0.14
30	0.71	0.088	0	0.069	0	0	0.14	0	0.22	0.58	0.22
31	0.037	0.91	0	0.011	0	0	0.043	1	0.14	0.26	0.14
