SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	0	0	0.28	0.33	0.41	0.41
1	1	0	0	0	0	0.28	0.33	0.41	0.41
2	1	0	0	0	0	0.28	0.33	0.41	0.41
3	1	0	0	0	0	0.28	0.33	0.41	0.41
4	1	0	0	0	0	0.28	0.33	0.41	0.41
5	1	0	0	0	0	0.28	0.33	0.41	0.41
6	1	0	0	0	0	0.28	0.33	0.41	0.41
7	1	0	0	0	0	0.28	0.33	0.41	0.41
8	0	0	1	0	2	0	0	0.18	0
9	1	0	0	0	0	0.28	0.33	0.41	0.41
10	1	0	0	0	0	0.28	0.33	0.41	0.41
11	0	0	0	1	3	0.28	0	0	0
12	1	0	0	0	0	0.28	0.33	0.41	0.41
13	1	0	0	0	0	0.28	0.33	0.41	0.41
14	0	1	0	0	1	0.031	0.073	0.091	0.091
15	0	1	0	0	1	0.031	0.073	0.091	0.091
16	0	0	1	0	2	0	0	0.18	0
17	0	0	1	0	2	0	0	0.18	0
18	1	0	0	0	0	0.28	0.33	0.41	0.41
19	1	0	0	0	0	0.28	0.33	0.41	0.41
20	1	0	0	0	0	0.28	0.33	0.41	0.41
21	1	0	0	0	0	0.28	0.33	0.41	0.41
22	1	0	0	0	0	0.28	0.33	0.41	0.41
23	1	0	0	0	0	0.28	0.33	0.41	0.41
24	1	0	0	0	0	0.28	0.33	0.41	0.41
25	1	0	0	0	0	0.28	0.33	0.41	0.41
26	0	1	0	0	1	0.031	0.073	0.091	0.091
27	1	0	0	0	0	0.28	0.33	0.41	0.41
28	1	0	0	0	0	0.28	0.33	0.41	0.41
29	1	0	0	0	0	0.28	0.33	0.41	0.41
30	1	0	0	0	0	0.28	0.33	0.41	0.41
31	1	0	0	0	0	0.28	0.33	0.41	0.41
32	1	0	0	0	0	0.28	0.33	0.41	0.41
33	1	0	0	0	0	0.28	0.33	0.41	0.41
34	1	0	0	0	0	0.28	0.33	0.41	0.41
35	1	0	0	0	0	0.28	0.33	0.41	0.41
36	1	0	0	0	0	0.28	0.33	0.41	0.41
37	1	0	0	0	0	0.28	0.33	0.41	0.41
38	0	1	0	0	1	0.031	0.073	0.091	0.091
39	1	0	0	0	0	0.28	0.33	0.41	0.41
40	1	0	0	0	0	0.28	0.33	0.41	0.41
41	1	0	0	0	0	0.28	0.33	0.41	0.41
42	1	0	0	0	0	0.28	0.33	0.41	0.41
43	1	0	0	0	0	0.28	0.33	0.41	0.41
44	1	0	0	0	0	0.28	0.33	0.41	0.41
45	1	0	0	0	0	0.28	0.33	0.41	0.41
46	1	0	0	0	0	0.28	0.33	0.41	0.41
47	1	0	0	0	0	0.28	0.33	0.41	0.41
48	1	0	0	0	0	0.28	0.33	0.41	0.41
49	0	0	1	0	2	0	0	0.18	0
50	0	0	1	0	2	0	0	0.18	0
51	1	0	0	0	0	0.28	0.33	0.41	0.41
52	0	1	0	0	1	0.031	0.073	0.091	0.091
53	1	0	0	0	0	0.28	0.33	0.41	0.41
54	1	0	0	0	0	0.28	0.33	0.41	0.41
55	1	0	0	0	0	0.28	0.33	0.41	0.41
56	1	0	0	0	0	0.28	0.33	0.41	0.41
57	1	0	0	0	0	0.28	0.33	0.41	0.41
58	1	0	0	0	0	0.28	0.33	0.41	0.41
59	1	0	0	0	0	0.28	0.33	0.41	0.41
60	0	0	0	1	3	0.28	0	0	0
61	1	0	0	0	0	0.28	0.33	0.41	0.41
62	1	0	0	0	0	0.28	0.33	0.41	0.41
63	1	0	0	0	0	0.28	0.33	0.41	0.41
64	1	0	0	0	0	0.28	0.33	0.41	0.41
65	0	0	1	0	2	0	0	0.18	0
66	1	0	0	0	0	0.28	0.33	0.41	0.41
67	1	0	0	0	0	0.28	0.33	0.41	0.41
68	1	0	0	0	0	0.28	0.33	0.41	0.41
69	1	0	0	0	0	0.28	0.33	0.41	0.41
70	1	0	0	0	0	0.28	0.33	0.41	0.41
71	1	0	0	0	0	0.28	0.33	0.41	0.41
72	1	0	0	0	0	0.28	0.33	0.41	0.41
73	1	0	0	0	0	0.28	0.33	0.41	0.41
74	1	0	0	0	0	0.28	0.33	0.41	0.41
75	1	0	0	0	0	0.28	0.33	0.41	0.41
76	1	0	0	0	0	0.28	0.33	0.41	0.41
77	1	0	0	0	0	0.28	0.33	0.41	0.41
78	1	0	0	0	0	0.28	0.33	0.41	0.41
79	1	0	0	0	0	0.28	0.33	0.41	0.41
80	1	0	0	0	0	0.28	0.33	0.41	0.41
81	0	0	1	0	2	0	0	0.18	0
82	1	0	0	0	0	0.28	0.33	0.41	0.41
83	0	1	0	0	1	0.031	0.073	0.091	0.091
84	1	0	0	0	0	0.28	0.33	0.41	0.41
85	1	0	0	0	0	0.28	0.33	0.41	0.41
86	0	0	1	0	2	0	0	0.18	0
87	1	0	0	0	0	0.28	0.33	0.41	0.41
88	0	0	1	0	2	0	0	0.18	0
89	1	0	0	0	0	0.28	0.33	0.41	0.41
90	1	0	0	0	0	0.28	0.33	0.41	0.41
91	1	0	0	0	0	0.28	0.33	0.41	0.41
92	1	0	0	0	0	0.28	0.33	0.41	0.41
93	1	0	0	0	0	0.28	0.33	0.41	0.41
94	1	0	0	0	0	0.28	0.33	0.41	0.41
95	1	0	0	0	0	0.28	0.33	0.41	0.41
96	0	1	0	0	1	0.031	0.073	0.091	0.091
97	1	0	0	0	0	0.28	0.33	0.41	0.41
98	1	0	0	0	0	0.28	0.33	0.41	0.41
99	0	0	1	0	2	0	0	0.18	0
100	1	0	0	0	0	0.28	0.33	0.41	0.41
101	1	0	0	0	0	0.28	0.33	0.41	0.41
102	1	0	0	0	0	0.28	0.33	0.41	0.41
103	1	0	0	0	0	0.28	0.33	0.41	0.41
104	1	0	0	0	0	0.28	0.33	0.41	0.41
105	1	0	0	0	0	0.28	0.33	0.41	0.41
106	0	1	0	0	1	0.031	0.073	0.091	0.091
107	1	0	0	0	0	0.28	0.33	0.41	0.41
108	1	0	0	0	0	0.28	0.33	0.41	0.41
109	1	0	0	0	0	0.28	0.33	0.41	0.41
110	1	0	0	0	0	0.28	0.33	0.41	0.41
111	1	0	0	0	0	0.28	0.33	0.41	0.41
112	1	0	0	0	0	0.28	0.33	0.41	0.41
113	1	0	0	0	0	0.28	0.33	0.41	0.41
114	1	1.5e-05	0	0	0	0.28	0.33	0.41	0.41
115	1	0	0	0	0	0.28	0.33	0.41	0.41
116	0	0	1	0	2	0	0	0.18	0
117	1	0	0	0	0	0.28	0.33	0.41	0.41
118	1	0	0	0	0	0.28	0.33	0.41	0.41
119	1	0	0	0	0	0.28	0.33	0.41	0.41
120	1	0	0	0	0	0.28	0.33	0.41	0.41
121	1	0	0	0	0	0.28	0.33	0.41	0.41
122	1	0	0	0	0	0.28	0.33	0.41	0.41
123	1	0	0	0	0	0.28	0.33	0.41	0.41
124	1	0	0	0	0	0.28	0.33	0.41	0.41
125	1	0	0	0	0	0.28	0.33	0.41	0.41
126	1	0	0	0	0	0.28	0.33	0.41	0.41
127	1	0	0	0	0	0.28	0.33	0.41	0.41
128	1	0	0	0	0	0.28	0.33	0.41	0.41
129	1	0	0	0	0	0.28	0.33	0.41	0.41
130	1	0	0	0	0	0.28	0.33	0.41	0.41
131	1	0	0	0	0	0.28	0.33	0.41	0.41
132	1	0	0	0	0	0.28	0.33	0.41	0.41
133	1	0	0	0	0	0.28	0.33	0.41	0.41
134	1	0	0	0	0	0.28	0.33	0.41	0.41
135	1	0	0	0	0	0.28	0.33	0.41	0.41
136	1	0	0	0	0	0.28	0.33	0.41	0.41
137	1	0	0	0	0	0.28	0.33	0.41	0.41
138	1	0	0	0	0	0.28	0.33	0.41	0.41
139	1	0	0	0	0	0.28	0.33	0.41	0.41
140	1	0	0	0	0	0.28	0.33	0.41	0.41
141	1	0	0	0	0	0.28	0.33	0.41	0.41
142	1	0	0	0	0	0.28	0.33	0.41	0.41
143	0	0	0	1	3	0.28	0	0	0
144	1	0	0	0	0	0.28	0.33	0.41	0.41
145	0	0	0	1	3	0.28	0	0	0
146	1	0	0	0	0	0.28	0.33	0.41	0.41
147	0	1	0	0	1	0.031	0.073	0.091	0.091
148	1	0	0	0	0	0.28	0.33	0.41	0.41
149	1	0	0	0	0	0.28	0.33	0.41	0.41
150	1	0	0	0	0	0.28	0.33	0.41	0.41
151	0	1	0	0	1	0.031	0.073	0.091	0.091
152	0	1	0	0	1	0.031	0.073	0.091	0.091
153	0	0	1	0	2	0	0	0.18	0
154	1	0	0	0	0	0.28	0.33	0.41	0.41
155	1	0	0	0	0	0.28	0.33	0.41	0.41
156	0	0	0	1	3	0.28	0	0	0
157	1	0	0	0	0	0.28	0.33	0.41	0.41
158	1	0	0	0	0	0.28	0.33	0.41	0.41
159	1	0	0	0	0	0.28	0.33	0.41	0.41
160	1	0	0	0	0	0.28	0.33	0.41	0.41
161	1	0	0	0	0	0.28	0.33	0.41	0.41
162	0	1	0	0	1	0.031	0.073	0.091	0.091
163	1	0	0	0	0	0.28	0.33	0.41	0.41
164	0	1	0	0	1	0.031	0.073	0.091	0.091
165	1	0	0	0	0	0.28	0.33	0.41	0.41
166	0	0	1	0	2	0	0	0.18	0
167	0	0	1	0	2	0	0	0.18	0
168	1	0	0	0	0	0.28	0.33	0.41	0.41
169	0	0	1	0	2	0	0	0.18	0
170	1	0	0	0	0	0.28	0.33	0.41	0.41
171	1	0	0	0	0	0.28	0.33	0.41	0.41
