SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0
0	0.00081	0.35	0	0.42	0.22	0	0	3	0.24
1	0.12	0.52	1.7e-05	0.03	0.33	0.0024	0	1	0.16
2	0.0066	0.6	0	0.0089	0.38	0	0	1	0.16
3	0.011	0	0.034	0	0	0.96	0	5	0.071
4	0.72	0.14	0.00035	2.6e-05	0.091	0.046	0	0	0.11
5	0.28	0.41	0.00097	0.02	0.26	0.031	0	1	0.16
6	0.25	0.46	0	0	0.29	4.2e-06	0	1	0.16
7	0.32	0.39	0.00099	0.012	0.24	0.035	0	1	0.16
8	0.0041	0.56	0	0.08	0.36	0	0	1	0.16
9	0.75	0.12	0.00044	1.6e-05	0.077	0.055	0	0	0.11
10	0.0005	0.61	0	0.0077	0.38	0	0	1	0.16
11	0.38	0.37	7.2e-05	0.0011	0.24	0.012	0	0	0.11
12	0.48	0.029	0.037	1.3e-05	0.018	0.43	0	0	0.11
13	0.0016	0.52	0	0.14	0.33	0	0	1	0.16
14	0.21	0.45	0.00038	0.032	0.29	0.016	0	1	0.16
15	0.71	0.18	0	0	0.11	0.00076	0	0	0.11
16	0.65	0.086	0.0071	5.5e-05	0.054	0.2	0	0	0.11
17	0.1	0.55	0	4.4e-06	0.35	3.7e-06	0	1	0.16
18	0.048	2.4e-05	0.22	0	1.5e-05	0.74	0	5	0.071
19	0.55	0.12	0.016	0.00043	0.074	0.24	0	0	0.11
20	0.14	0.52	5.2e-06	0.0087	0.33	0.0015	0	1	0.16
21	0.59	0.15	0.0062	0.00037	0.094	0.16	0	0	0.11
22	0.58	0.14	0.0083	0.00044	0.091	0.18	0	0	0.11
23	0.27	0.00015	0.03	0	9.6e-05	0.7	0	5	0.071
24	0.56	0.24	0.00078	0.00047	0.15	0.051	0	0	0.11
25	0.062	6.6e-06	0.11	0	4.2e-06	0.83	0	5	0.071
26	0.52	0.14	0.017	0.00094	0.091	0.23	0	0	0.11
27	0.049	0.58	0	0.0064	0.37	6.2e-05	0	1	0.16
28	0.036	0.59	0	0.00025	0.37	2.9e-06	0	1	0.16
29	0.43	0.31	0.0016	0.0037	0.2	0.057	0	0	0.11
30	0.37	0.0012	0.031	0	0.00079	0.6	0	5	0.071
31	0.044	1.5e-05	0.21	0	9.6e-06	0.75	0	5	0.071
32	0.76	0.044	0.003	2.4e-06	0.028	0.17	0	0	0.11
33	0.59	0.08	0.015	0.0001	0.051	0.27	0	0	0.11
34	0.67	0.16	0.00094	8.1e-05	0.099	0.069	0	0	0.11
35	0.79	0.066	0.0012	4.2e-06	0.042	0.1	0	0	0.11
36	0.68	0.15	0.00097	7.6e-05	0.097	0.071	0	0	0.11
37	0.25	0.0022	0.09	0	0.0014	0.66	0	5	0.071
38	0.83	0.09	6.7e-05	1.2e-06	0.057	0.026	0	0	0.11
39	0.73	0.0071	0.0037	0	0.0045	0.25	0	0	0.11
40	0.76	0.15	3.2e-06	0	0.093	0.0052	0	0	0.11
41	0.01	0.53	0	0.12	0.34	8.6e-06	0	1	0.16
42	0.11	0.48	9.3e-05	0.1	0.3	0.005	0	1	0.16
43	0.21	0.47	0.0001	0.016	0.3	0.0084	0	1	0.16
44	0.6	0.00016	0.0028	0	0.0001	0.4	0	0	0.11
45	0.27	0.41	0.0012	0.027	0.26	0.033	0	1	0.16
46	0.39	0.34	0.0016	0.0065	0.21	0.052	0	0	0.11
47	9.6e-06	0.13	0	0.79	0.08	0	0	3	0.24
48	0.0021	0.59	0	0.036	0.37	0	0	1	0.16
49	0.32	0.34	0.007	0.029	0.21	0.091	0	1	0.16
50	0.66	0.051	0.009	1.2e-05	0.032	0.25	0	0	0.11
51	0.16	0.5	4.5e-05	0.021	0.32	0.0047	0	1	0.16
52	0.0019	0.61	0	0.0089	0.38	0	0	1	0.16
53	0.87	0.067	2.2e-05	0	0.042	0.017	0	0	0.11
54	0.0085	0.6	0	0.014	0.38	0	0	1	0.16
55	0.8	0.013	0.0018	0	0.0084	0.17	0	0	0.11
56	0.008	0.6	0	0.013	0.38	0	0	1	0.16
57	0.63	0.2	0.00049	0.00013	0.12	0.047	0	0	0.11
58	0.3	0.39	0.0015	0.021	0.25	0.04	0	1	0.16
59	0.67	0.041	0.0084	5.7e-06	0.026	0.25	0	0	0.11
60	0.3	0.37	0.003	0.028	0.24	0.057	0	1	0.16
61	0.19	0.00053	0.089	0	0.00034	0.72	0	5	0.071
62	0.00033	0.61	0	0.0062	0.39	0	0	1	0.16
63	0.069	0.57	0	0.003	0.36	9.7e-05	0	1	0.16
64	0.78	0.016	0.0026	0	0.01	0.19	0	0	0.11
65	0.0009	0.52	0	0.14	0.33	0	0	1	0.16
66	0.31	0.42	1.6e-06	0.00019	0.27	0.0016	0	1	0.16
67	0.98	0.0079	0	0	0.005	0.0042	0	0	0.11
68	0.0026	0.6	0	0.015	0.38	0	0	1	0.16
69	0.00016	0.36	0	0.41	0.23	0	0	3	0.24
70	0.8	0.12	0	0	0.077	3.5e-05	0	0	0.11
71	0.0022	0.51	0	0.16	0.33	0	0	1	0.16
72	0.0061	0.58	0	0.04	0.37	0	0	1	0.16
73	0.12	7.1e-05	0.098	0	4.5e-05	0.78	0	5	0.071
74	0.43	0.014	0.045	2.2e-06	0.009	0.5	0	5	0.071
75	0.11	0.0011	0.22	0	0.0007	0.66	0	5	0.071
76	0.014	0	0.27	0	0	0.72	0	5	0.071
77	0.2	0.00045	0.081	0	0.00028	0.72	0	5	0.071
78	0.54	0.0068	0.017	0	0.0043	0.43	0	0	0.11
79	0.22	0.47	8.7e-05	0.012	0.3	0.0082	0	1	0.16
80	0.039	0.59	0	0.00076	0.37	7.8e-06	0	1	0.16
81	0.74	0.0016	0.002	0	0.001	0.25	0	0	0.11
82	0.076	1.9e-05	0.088	0.085	1.2e-05	0.75	0	5	0.071
83	0.0021	0.59	0	0.03	0.38	0	0	1	0.16
84	0.57	0.0066	0.0087	0.057	0.0042	0.35	0	0	0.11
85	0.34	0.008	0.051	0.07	0.0051	0.53	0	5	0.071
86	0.33	0.4	0.00033	0.0061	0.25	0.023	0	1	0.16
87	0.72	0.17	0	0.0012	0.11	0.0031	0	0	0.11
88	0.85	0.051	0.00041	0	0.032	0.068	0	0	0.11
89	0.91	0.049	4.1e-06	0	0.031	0.0082	0	0	0.11
90	0.68	0.045	0.0078	7.1e-06	0.029	0.24	0	0	0.11
91	0.047	4.1e-06	0.14	0	2.6e-06	0.81	0	5	0.071
92	0.17	0.5	2.7e-05	0.013	0.32	0.0039	0	1	0.16
93	0.0015	0.28	0	0.54	0.18	0	0	3	0.24
94	0.26	0.45	0	5.8e-05	0.29	0.00036	0	1	0.16
95	0.1	0.55	0	0.0045	0.35	0.00037	0	1	0.16
96	0.56	0.26	9e-05	0.00013	0.16	0.018	0	0	0.11
97	0.89	0.025	0.00027	0	0.016	0.066	0	0	0.11
98	0.026	0.56	0	0.052	0.36	7.9e-05	0	1	0.16
99	0.23	0.46	7.5e-05	0.0061	0.29	0.008	0	1	0.16
100	0.17	0.47	0.00024	0.049	0.3	0.011	0	1	0.16
101	0.7	0.032	0.0065	1.8e-06	0.02	0.24	0	0	0.11
102	0.93	0.02	8.2e-05	0	0.012	0.041	0	0	0.11
103	0.51	0.3	8e-06	4.9e-05	0.19	0.0053	0	0	0.11
104	0.0045	0.58	0	0.049	0.37	0	0	1	0.16
105	0.21	0.48	9.3e-06	0.0032	0.31	0.0027	0	1	0.16
106	0.011	0.6	0	0.0053	0.38	0	0	1	0.16
107	0.32	0.42	1.7e-06	0.00018	0.26	0.0017	0	1	0.16
108	0.82	0.0012	0.00073	0	0.00075	0.18	0	0	0.11
109	0.084	0.56	0	0.0033	0.35	0.00018	0	1	0.16
110	0.79	0.095	0.00035	5.5e-06	0.06	0.053	0	0	0.11
111	0.76	0.0062	0.0025	0	0.0039	0.23	0	0	0.11
112	0.24	0.00033	0.05	0	0.00021	0.71	0	5	0.071
113	0.31	0.00036	0.03	0	0.00023	0.66	0	5	0.071
114	0.045	0.57	0	0.03	0.36	0.00014	0	1	0.16
115	0.77	0.042	0.0024	1.7e-06	0.027	0.15	0	0	0.11
116	0.15	4.5e-05	0.057	0	2.8e-05	0.79	0	5	0.071
117	0.6	0.009	0.012	0	0.0057	0.37	0	0	0.11
118	0.38	0.36	0.0006	0.0041	0.23	0.032	0	0	0.11
119	0.48	0.013	0.032	1e-06	0.0082	0.47	0	0	0.11
120	0.13	0.00016	0.11	0	0.0001	0.76	0	5	0.071
121	0.56	0.26	1.4e-06	7.4e-06	0.17	0.0025	0	0	0.11
122	0.053	0.58	0	0.00014	0.37	5.5e-06	0	1	0.16
123	0.46	0.3	0.0011	0.002	0.19	0.049	0	0	0.11
124	0.99	0.0035	0	0	0.0022	0.0015	0	0	0.11
125	0.33	0.011	0.082	3.2e-06	0.0069	0.57	0	5	0.071
126	0.15	2.6e-06	0.019	0	1.6e-06	0.83	0	5	0.071
127	0.05	0.58	0	6.4e-05	0.37	2.9e-06	0	1	0.16
128	0.0022	0	0.34	0	0	0.65	0	5	0.071
129	0.65	0.1	0.006	8.3e-05	0.064	0.18	0	0	0.11
130	0.83	0.012	0.0012	0	0.0076	0.15	0	0	0.11
131	0.1	5.9e-05	0.12	0	3.7e-05	0.78	0	5	0.071
132	0.091	3.6e-05	0.11	0	2.3e-05	0.79	0	5	0.071
133	0.00078	0	0.48	0	0	0.52	0	5	0.071
134	0.43	0.32	0.00063	0.0022	0.21	0.036	0	0	0.11
135	0.0025	0.6	0	0.024	0.38	0	0	1	0.16
136	0.0023	0.57	0	0.069	0.36	0	0	1	0.16
137	0.025	1.1e-05	0.32	0	6.7e-06	0.65	0	5	0.071
