SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
0	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
1	0	1	0	0.00063	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
2	0	0.99	0	0.01	0.0015	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
3	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
4	0	0.99	0	0.0069	0.00012	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
5	0	0.23	0	0.77	5.7e-05	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
6	0	0.99	0	0.0015	0.0071	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
7	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
8	0	0.72	0	0.14	0.15	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
9	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0.54
10	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
11	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
12	0	0.55	0	0.17	0.28	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
13	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
14	0	0.89	0	0.043	0.067	0	0.00016	0	1	0.52	0.26	0.29	0.14	0.23	0.54
15	0	0.71	0	0.28	0.013	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
16	0	0.98	0	0.021	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
17	0	0.86	0	0.14	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
18	0	0.99	0	0.013	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
19	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
20	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
21	0	1	0	0.00025	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
22	0	0.75	0	0.25	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
23	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
24	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
25	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
26	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
27	0	0.99	0	0.013	2e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
28	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
29	0	0.9	0	0.094	0.0085	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
30	0	0.9	0	0.098	0.00059	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
31	0	0.48	0	0.52	7.5e-05	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
32	0	1	0	1.7e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
33	0	1	0	1.4e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
34	0	0.53	0	0.39	0.074	0	0.0025	0	1	0.52	0.26	0.29	0.14	0.23	0.54
35	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
36	0	1	0	0.00083	3.2e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
37	0	0.98	0	0.015	0.0048	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
38	0	0.94	0	0.059	3.6e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
39	0	0.87	0	0.13	4.7e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
40	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
41	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
42	0	0.98	0	0.017	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
43	0	0.47	0	0.53	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
44	0	0.96	0	0.039	6.4e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
45	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
46	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
47	0	0.99	0	0.013	1.6e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
48	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
49	0	0.98	0	0.02	0.0009	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
50	0	0.91	0	0.087	0.00016	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
51	0	1	0	0.00027	1.4e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
52	0	1	0	0.0036	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
53	0	0.95	0	0.027	0.021	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
54	0	0.99	0	0.0058	0.00011	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
55	0	0.98	0	0.02	0.0025	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
56	0	1	0	0.0019	9.2e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
57	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
58	0	0	0	0	1	0	0	0	4	0.52	0.26	0.34	0.14	0.23	0.74
59	0	1	0	7.1e-05	0.0021	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
60	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
61	0	0	0	0	1	0	0	0	4	0.52	0.26	0.34	0.14	0.23	0.74
62	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
63	0	1.1e-05	0	8.7e-06	1	0	0	0	4	0.52	0.26	0.34	0.14	0.23	0.74
64	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
65	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
66	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
67	0	0.99	0	0	0.012	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
68	0	0.78	0	0.22	5.5e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
69	0	0.99	0	0.0071	0.00029	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
70	0	1	0	0.0022	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
71	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
72	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
73	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
74	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
75	0	1	0	4.2e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
76	0	0.92	0	0.051	0.025	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
77	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
78	0	0.46	0	0.13	0.12	0	0.3	0	1	0.52	0.26	0.29	0.14	0.23	0.54
79	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
80	0	0.04	0	0.96	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
81	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
82	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
83	0	0.84	0	0.11	0.042	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
84	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
85	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
86	0	0	0	0	0	0	1	0	6	1	0.51	0.38	0.22	0.4	0.54
87	0	0.93	0	0.058	0.0077	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
88	0	0.65	0	0.35	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
89	0	1	0	0.00012	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
90	0	1	0	0.004	1e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
91	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
92	0	0	0	0	0	0	1	0	6	1	0.51	0.38	0.22	0.4	0.54
93	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
94	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
95	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
96	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
97	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
98	0	1	0	1.4e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
99	0	1	0	0.0014	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
100	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
101	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
102	0	0	0	0	0	0	1	0	6	1	0.51	0.38	0.22	0.4	0.54
103	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
104	0	0.81	0	0.19	0.00049	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
105	0	0.69	0	0.31	6.2e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
106	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
107	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0.54
108	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
109	0	0.99	0	0.0057	0.0036	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
110	0	0.97	0	0.03	0.00071	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
111	0	0.94	0	0.059	2e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
112	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
113	0	0	0	0	0	0	1	0	6	1	0.51	0.38	0.22	0.4	0.54
114	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
115	0	0.91	0	0.082	0.0043	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
116	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
117	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
118	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0.54
119	0	0	0	0	0	0	1	0	6	1	0.51	0.38	0.22	0.4	0.54
120	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
121	0	1	0	0.00015	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
122	0	0.0035	0	0	0	0	1	0	6	1	0.51	0.38	0.22	0.4	0.54
123	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0.54
124	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
125	0.022	0.98	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
126	0	1	0	0.00016	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
127	0	0.99	0	0.0058	1.2e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
128	0	1	0	1.4e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
129	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
130	0	0.99	0	0.0078	1.8e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
131	0.95	0	0.0067	0	0	0	0.044	0	0	0.16	0.058	0.064	0.031	0.026	0.051
132	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
133	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
134	0	0.73	0	0.00097	5.8e-06	0	0.27	0	1	0.52	0.26	0.29	0.14	0.23	0.54
135	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
136	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
137	0	1	0	1.4e-06	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
138	0	0.88	0	0.02	0.099	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
139	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
140	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
141	0	0.61	0	0.39	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
142	0	0.46	0	0.54	7e-05	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
143	0.00017	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
144	1	0	0	0.002	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
145	0	0.84	0	0.1	0.063	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
146	0	0.12	0	0.88	0.00012	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
147	0	0.98	0	0.017	0.00014	0	1.5e-05	0	1	0.52	0.26	0.29	0.14	0.23	0.54
148	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
149	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
150	0	0.99	0	0.0076	0.0026	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
151	0	0.98	0	0.022	9.7e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
152	0	0	0.00016	0	0.073	0	0	0.93	7	0	0	0	0	0	0.54
153	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
154	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
155	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
156	0	1	0	0.00019	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
157	0	0.99	0	0.0073	8.3e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
158	0	1	0	0.0015	4.1e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
159	0	1	0	7.3e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
160	0	0.85	0	0.035	0.12	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
161	0	1	0	0.0019	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
162	0	0.92	0	0.082	0.00015	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
